Question	Scientists know that Earth is constantly changing. They are familiar with the processes that are repeated daily, monthly, and yearly. Which of these is a natural event that can be predicted to occur monthly?	question
Answer	phases of the moon	answer
0	a moon phase is a kind of natural event	gold
1	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
2	daily means every day; once per day	nongold
3	a new moon is a kind of phase of the moon	nongold
4	a full moon is a kind of phase of the moon	nongold
5	each of the moon's phases occurs once per month	gold
6	yearly means every year	nongold
7	lunar phase is synonymous with moon phase	nongold
8	a phase of the moon is a kind of state	nongold
9	type of moon; kind of moon means moon phase	nongold
10	monthly means once per month	gold
11	a moon is a kind of celestial object; body	nongold
12	the first quarter phase of the moon occurs after the new moon	nongold
13	the moon orbiting the Earth occurs once per month	nongold
14	a cycle happens; occurs repeatedly	nongold
15	the moon orbits the Earth	nongold
16	everyday means daily	nongold
17	a moon phase occurs 28 days after the last time it occurred	nongold
18	phase means state	nongold
19	a different moon phase occurs once per week	nongold
20	annual means once per year	nongold
21	a process is a kind of event	nongold
22	the moon orbiting the Earth occurs approximately 13 times per year	nongold
23	a last quarter is a kind of phase of the moon	nongold
24	a first quarter is a kind of phase of the moon	nongold
25	a cycle is a kind of process	nongold
26	cycles of day and night occur once per day	nongold
27	a waning crescent is a kind of phase of the moon	nongold
28	Earth is a kind of planet	nongold
29	a waning gibbous is a kind of phase of the moon	nongold
30	the Moon is Earth's moon	nongold
31	a rotation of the moon takes 1; one month	nongold
32	the moon rising occurs once per day	nongold
33	revolving is a kind of motion	nongold
34	to happen means to occur	nongold
35	month is a kind of period of time	nongold
36	a scientist is a kind of human	nongold
37	events occur at a specific place; at a specific time; with a specific frequency	nongold
38	revolving  around something means orbiting that something	nongold
39	the sun setting is a kind of event	nongold
40	the moon rotates on its axis	nongold
41	a new moon occurs 14 days after a full moon	nongold
42	a change is a kind of event	nongold
43	a revolution of the moon around the Earth takes 1; one month	nongold
44	event is similar to occurrence	nongold
45	a process usually requires all of the stages in that process	nongold
46	a part of a process means a stage in a process	nongold
47	setting is a kind of motion	nongold
48	something that happens is a kind of event	nongold
49	change is a kind of process	nongold
50	an event is a kind of action	nongold
51	the new moon is when the lighted half of the moon faces the Sun	nongold
52	a waxing gibbous is a kind of phase of the moon	nongold
53	the new moon is when the dark half of the moon faces the Earth	nongold
54	movements of celestial bodies are a kind of event	nongold
55	the phases of the Moon change the appearance of the Moon	nongold
56	an increase is a kind of change	nongold
57	a motion is a kind of event; action	nongold
58	a step in a process means a stage in a process	nongold
59	days are a kind of unit for measuring time	nongold
60	a full moon occurs after a waxing gibbous moon	nongold
61	once per means every	nongold
62	a waxing crescent is a kind of phase of the moon	nongold
63	revolving is a kind of action	nongold
64	the day time is part of one day	nongold
65	Venus has moon-like phases	nongold
66	the night time is part of one day	nongold
67	months are a kind of unit for measuring time	nongold
68	high is similar to increase	nongold
69	increase means more	nongold
70	the sun rising; setting occurs once per day	nongold
71	the sun rising is a kind of event	nongold
72	moons are large; solid; spherical	nongold
73	if an event is required for a process then that event must occur before that process can occur	nongold
74	to pass means to occur	nongold
75	a planet is a kind of celestial object; body	nongold
76	an increase is the opposite of a decrease	nongold
77	the sun rising and setting causes cycles of day and night	nongold
78	variable means able to change	nongold
79	to vary means to change	nongold
80	the solar system contains the moon	nongold
81	the Earth revolves around the sun	nongold
82	to turn means to change	nongold
83	a decrease is a kind of change	nongold
84	years are a kind of unit for measuring time	nongold
85	constant means not changing	nongold
86	occur is similar to appear	nongold
87	to keep a process or event happening is similar to causing that process or event to happen	nongold
88	becoming is similar to changing	nongold
89	length of time means period of time	nongold
90	a phase change is a kind of physical change	nongold
91	answering questions requires information	nongold
92	all the time means at day and at night	nongold
93	once means one time	nongold
94	1 year is equal to 365 days	nongold
95	1 year is equal to 12 months	nongold
96	to lower means to decrease	nongold
97	if it is night then the sun has set	nongold
98	different seasons occur during different times of the year	nongold
99	to add means to increase	nongold
