Question	What is the major function of the human excretory system?	question
Answer	eliminate waste materials	answer
0	excretion  is when  the excretory system removes waste from the body	gold
1	eliminate means remove	gold
2	removing waste is a kind of function	gold
3	all living things eliminate waste	nongold
4	the excretory system is a kind of body system	nongold
5	get rid of means eliminate; remove	nongold
6	the function of something is what that something  is used to do	nongold
7	role means function	nongold
8	dead organisms are a kind of waste	nongold
9	to be a vehicle for is a kind of function	nongold
10	a human is a kind of animal	nongold
11	if something performs a task then that task is that something's function	nongold
12	causing is a kind of function	nongold
13	waste must be removed	nongold
14	the kidney removes; filters bodily waste; cell waste; byproducts from the blood	nongold
15	function is similar to purpose	nongold
16	an animal is a kind of organism	nongold
17	human is a kind of organism	nongold
18	destroying is a kind of function	nongold
19	the respiratory system is a kind of human; organ; body system	nongold
20	if a human discards an object then that object will become waste	nongold
21	remove means decrease	nongold
22	providing is a kind of function	nongold
23	harming something has a  negative impact on; effect on that something	nongold
24	a function is an activity	nongold
25	removing an inhibitor of a process causes that process	nongold
26	producing is a kind of function	nongold
27	to have a function is similar to to be responsible for	nongold
28	trash is synonymous with waste	nongold
29	human waste often causes harm to an environment	nongold
30	purpose means role	nongold
31	material means substance	nongold
32	humans discarding waste in an environment causes harm to that environment	nongold
33	garbage means waste	nongold
34	an animal is a kind of living thing	nongold
35	waste has a  negative impact on the environment	nongold
36	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
37	part means role	nongold
38	humans move waste to a  landfill for disposal;storage	nongold
39	role is similar to importance	nongold
40	the digestive system is a kind of body; human system	nongold
41	lysosomes process; eliminate cellular waste	nongold
42	something is used for that something's purpose	nongold
43	if something causes a process then that something is required for that process	nongold
44	a function is a kind of characteristic	nongold
45	an organism is a living thing	nongold
46	converting is a kind of function	nongold
47	a body system is a part of the body; an animal	nongold
48	to work means to function	nongold
49	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
50	digestion is a kind of bodily process	nongold
51	to be involved in something means to have a role in something	nongold
52	the body is a part of an organism	nongold
53	if an organism dies then that organism can not perform its function	nongold
54	protecting is a kind of function	nongold
55	destroying something causes harm to that something	nongold
56	death means to die	nongold
57	person is synonymous with human	nongold
58	the waste of an animal contains nitrogen	nongold
59	breathing is a kind of  function	nongold
60	to cause means to be responsible for	nongold
61	processes sometimes produce waste products	nongold
62	breaking down is a kind of function	nongold
63	food is a kind of substance	nongold
64	function means job	nongold
65	a part of a process means a stage in a process	nongold
66	to be used for something means to be required by that something	nongold
67	bringing substances to the body is a kind of function	nongold
68	An example of avoiding waste is using an object; a material more than once	nongold
69	releasing energy is a kind of function	nongold
70	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
71	absorbing is a kind of function	nongold
72	killing means harming something causing death	nongold
73	loss is similar to removal	nongold
74	a germ is a kind of harmful substance	nongold
75	if something is eliminated then the amount of that something decreases	nongold
76	producer is a kind of role in the food chain process; in an ecosystem	nongold
77	if something is a raw material in a process then that something is required for that process	nongold
78	high is similar to increase	nongold
79	organisms are a part of an environment	nongold
80	recycling is a kind of method of disposal	nongold
81	a process usually requires all of the stages in that process	nongold
82	the respiratory system performs respiration	nongold
83	gas is a kind of material	nongold
84	to emit means to release	nongold
85	to exhale means to release	nongold
86	producing is similar to discharging	nongold
87	the blood is a vehicle for moving chemical waste and excess water from the body to the kidneys	nongold
88	a producer is a kind of living thing	nongold
89	requiring is similar to needing help	nongold
90	the bladder is used for storing urine by animals until the body excretes it	nongold
91	negative impact is the opposite of positive impact	nongold
92	destruction means to destroy	nongold
93	regulating is a kind of function	nongold
94	conducting is a kind of function	nongold
95	a body system is a kind of object	nongold
96	a living thing is a kind of object	nongold
97	providing structure is a kind of function	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	to cause something means to contribute to that something happening	nongold
