Question	Jenny's class made an instrument to measure air pressure. The instrument is a	question
Answer	barometer.	answer
0	a barometer is a kind of instrument for measuring air pressure	gold
1	a barometer is used to measure air pressure	gold
2	Jonny is a name for a human	nongold
3	instrument means device	nongold
4	air pressure is a property of air; the atmosphere	nongold
5	a thermometer is a kind of instrument for measuring temperature	nongold
6	a bar is a kind of object	nongold
7	instrument means tool	nongold
8	air is a kind of gas	nongold
9	a device is a kind of object	nongold
10	air is a kind of matter	nongold
11	a thermometer is used to measure temperature	nongold
12	water pressure is a kind of pressure	nongold
13	atmosphere means  air	nongold
14	an instrument is a piece of equipment	nongold
15	device means tool	nongold
16	a tool is a kind of object	nongold
17	air temperature is a kind of temperature	nongold
18	as air pressure increases , the reading on a barometer will rise	nongold
19	a meter is a kind of unit for measuring distance; measuring length	nongold
20	the air is a kind of substance	nongold
21	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	nongold
22	John is a name for a human	nongold
23	to cause means to make	nongold
24	air pressure affects wind speed	nongold
25	gas is a kind of object	nongold
26	to belong to a class means to be a kind of something	nongold
27	measuring requires reading a measurement	nongold
28	an anemometer is a kind of instrument for measuring wind speed	nongold
29	gas is a kind of substance	nongold
30	seconds are used to measure time	nongold
31	seconds are a kind of unit for measuring time	nongold
32	pressure is a kind of condition	nongold
33	gas is a kind of state of matter	nongold
34	the function of something is what that something  is used to do	nongold
35	air mass means a volume of air	nongold
36	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
37	a living thing is a kind of object	nongold
38	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
39	objects are made of materials; substances; matter	nongold
40	a machine is a kind of  device	nongold
41	property is similar to measurement	nongold
42	material means substance	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	variable means able to change	nongold
45	a student is a kind of human	nongold
46	particles in objects are a kind of matter	nongold
47	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
48	measuring is used for describing an object	nongold
49	a human is a kind of animal	nongold
50	make means produce	nongold
51	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
52	high is similar to increase	nongold
53	to measure means to calculate	nongold
54	can be means able to be	nongold
55	an animal is a kind of living thing	nongold
56	extreme means very high in value	nongold
57	milliliters is a kind of unit for measuring volume of liquids	nongold
58	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
59	the atmosphere contains gases; liquids; solids	nongold
60	temperature is a measure of heat energy	nongold
61	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
62	an part of an object is smaller than the entire object	nongold
63	an anemometer is used to measure wind speed	nongold
64	a musical instrument is a kind of object	nongold
65	answering questions requires information	nongold
66	speed is a measure of how fast an object is moving	nongold
67	air is a vehicle for sound	nongold
68	quantity means amount	nongold
69	a liquid is a kind of substance	nongold
70	liquid is a kind of state of matter	nongold
71	a component of something means a part of that something	nongold
72	form means kind	nongold
73	class is a measure of how a rock is formed	nongold
74	a balance is a kind of instrument for measuring mass; measuring weight	nongold
75	a component means a part of	nongold
76	to make means to form	nongold
77	a centimeter is a kind of unit of measurement	nongold
78	a measurement is a kind of data	nongold
79	vapor is synonymous with gas	nongold
80	a type is synonymous with a kind	nongold
81	counter means reduce; stop; resist	nongold
82	increase means more	nongold
83	gas is a kind of material	nongold
84	substances are made of matter	nongold
85	low means down	nongold
86	sound is a kind of air vibration	nongold
87	an event is a kind of action	nongold
88	rate is similar to speed	nongold
89	a motion is a kind of event; action	nongold
90	length is a measure of distance from one end of an object to the other end of that object	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	solid is a kind of state of matter	nongold
93	a rain gauge is a kind of graduated cylinder	nongold
94	an animal is a kind of organism	nongold
95	a particle is a kind of object	nongold
96	heat means heat energy	nongold
97	a liquid is a kind of fluid	nongold
98	a surface is a part of an object	nongold
99	calculation means measurement	nongold
