Question	Which of the following describes an instinctive behavior?	question
Answer	a behavior that an animal is born knowing how to do	answer
0	an animal knows how to do  instinctive behaviors when it is born	gold
1	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
2	animal instinct means instinctive behavior	nongold
3	actions mean behavior	nongold
4	a behavior is a kind of characteristic	nongold
5	if an animal is trained to do something then that something is a learned behavior	nongold
6	an animal is a kind of organism	nongold
7	conditioned behavior is a kind of learned behavior	nongold
8	An example of an instinctive behavior is a baby bird pecking at its shell to hatch	nongold
9	trait is synonymous with characteristic	nongold
10	the ability to do means be able to do	nongold
11	a human is a kind of animal	nongold
12	a learned characteristic is a kind of acquired characteristic	nongold
13	the properties of something are used for describing that something	nongold
14	doing something more is a kind of conditioned behavior	nongold
15	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
16	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
17	skills are learned characteristics; behaviors	nongold
18	an animal is a kind of living thing	nongold
19	intelligence is an acquired characteristic	nongold
20	ability is a kind of characteristic	nongold
21	if something has the ability to do something else , then that something can do that something else	nongold
22	following orders is a learned characteristic	nongold
23	knowing sometimes requires determing	nongold
24	An example of an instinct is the kangaroo's ability to crawl into its mother's pouch to drink milk	nongold
25	can means having the ability to	nongold
26	an organism is a living thing	nongold
27	an inherited characteristic is a kind of characteristic	nongold
28	animals learn some behaviors from watching their parents	nongold
29	a living thing is a kind of object	nongold
30	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
31	if an organism can do something , then that organism is able to do that something	nongold
32	learned behaviors are learned over the  lifetime of the animal	nongold
33	a sense is a kind of ability	nongold
34	action means activity	nongold
35	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	nongold
36	something's function can be used to describe; identify that something	nongold
37	measuring is used for describing an object	nongold
38	the function of something is what that something  is used to do	nongold
39	information is used to describe something	nongold
40	performance is similar to ability	nongold
41	what an object is made of is a kind of characteristic	nongold
42	begging for food is a kind of conditioned behavior	nongold
43	a type is synonymous with a kind	nongold
44	can be means able to be	nongold
45	human is a kind of organism	nongold
46	form means kind	nongold
47	a child is a kind of young human	nongold
48	trait means property	nongold
49	high is similar to increase	nongold
50	a description sometimes provides information	nongold
51	a kind of something is an example of that something	nongold
52	undertaking is similar to doing	nongold
53	an animal being born; being hatched when temperatures are warm has a positive impact on that animal's survival; health	nongold
54	an animal's brain controls that animal	nongold
55	senses are an inherited characteristic	nongold
56	determining is similar to learning	nongold
57	a predator is a kind of animal	nongold
58	locomotion is a generally learned behavior	nongold
59	a brain is a part of an animal	nongold
60	sense is a kind of characteristic of an animal	nongold
61	to act on means to affect	nongold
62	inability is the opposite of ability	nongold
63	personality is an acquired characteristic	nongold
64	an adaptation is a kind of characteristic	nongold
65	answering questions requires information	nongold
66	migration is an instinctive behavior	nongold
67	reproductive behavior is an inherited characteristic	nongold
68	if something performs a task then that task is that something's function	nongold
69	affected means changed	nongold
70	learning; studying information causes one to know that information	nongold
71	following an order means performing an action on command	nongold
72	a body system is a part of the body; an animal	nongold
73	knowing the properties of something means knowing information about that something	nongold
74	using tools is a learned characteristic	nongold
75	experiment is synonymous with test	nongold
76	an event is a kind of action	nongold
77	a motion is a kind of event; action	nongold
78	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
79	to happen means to occur	nongold
80	a process usually requires all of the stages in that process	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	newborn means just born	nongold
83	a human is a kind of mammal	nongold
84	a reaction is a kind of process	nongold
85	children; young is synonymous with offspring	nongold
86	food is a kind of object	nongold
87	to reproduce means to have; to produce offspring	nongold
88	adaptation is when an organism develops a trait over time for survival	nongold
89	to produce means to result in	nongold
90	a part of a process means a stage in a process	nongold
91	a process is a kind of event	nongold
92	to be formed by is to be the result of	nongold
93	the body is a part of an organism	nongold
94	if an organism undertakes an action with a positive effect , then that organism will learn to do that action more	nongold
95	to slow; to slow down decreases speed	nongold
96	a predator avoiding some types of prey is a learned behavior	nongold
97	result means outcome	nongold
98	an organism eating is a kind of action	nongold
99	playing with toys is a learned characteristic	nongold
