Question	In a grassland ecosystem, if the population of eagles suddenly decreased, what will most likely be the effect on the rest of the ecosystem?	question
Answer	The ecosystem will become overpopulated with snakes.	answer
0	a snake is a kind of animal	gold
1	if the population of an organism increases then the ecosystem may become overpopulated with that organism	gold
2	a grassland is a kind of environment	nongold
3	an eagle is a kind of carnivore	nongold
4	hawks;eagles eat snakes;lizards; rats; rabbits; mice	gold
5	an eagle is a kind of bird	nongold
6	an eagle is a kind of predator	nongold
7	an eagle is a kind of animal	gold
8	impact means effect	nongold
9	as population of predators increases , the population of prey will decrease in an environment	nongold
10	An example of an environment is a forest; a river; a grassland; an ocean	nongold
11	as population of predators decreases , the population of prey will increase in an environment	gold
12	an environment is similar to an ecosystem	gold
13	an ecosystem is a kind of habitat	nongold
14	an animal is a kind of living thing	nongold
15	as  population of prey decreases , the population of predators will  decrease	nongold
16	harming an animal species causes that animal's population to decrease	nongold
17	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
18	an ecosystem contains a large community of; large numbers of living organisms	nongold
19	an animal; living thing requires nutrients for survival	nongold
20	to impact means to affect	nongold
21	an environment means an area	nongold
22	to cause means to have an effect	nongold
23	to reduce means to decrease	nongold
24	a population is made of one type of organism in an area	nongold
25	to change means to have an effect	nongold
26	an increase is the opposite of a decrease	nongold
27	to lower means to decrease	nongold
28	an animal is a kind of organism	gold
29	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
30	humans changing an environment causes animal populations to decrease in that environment	nongold
31	grass snakes live in grass	nongold
32	if an organism dies then the population of that organism will decrease	nongold
33	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
34	an organism is a living thing	nongold
35	as the cause of something decreases , that something will decrease	nongold
36	a decrease is a kind of change	nongold
37	less is similar to decrease	nongold
38	organisms are a part of an environment	nongold
39	if an amount of objects decreases then those objects are fewer in number	nongold
40	most predators live in; live near the same environment as their prey	nongold
41	killing a living thing decreases the number; population size of that living thing	nongold
42	increase means more	nongold
43	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
44	harming something has a  negative impact on; effect on that something	nongold
45	fewer means lower; less in number	nongold
46	negative impacts on a species will decrease populations of a species	nongold
47	habitat is similar to environment	nongold
48	population increase means more survive	nongold
49	a bird is a kind of living thing	nongold
50	an increase is a kind of change	nongold
51	animals; living things live and feed in their habitats; near their habitats	nongold
52	killing means harming something causing death	nongold
53	a bird is a kind of animal	nongold
54	high is similar to increase	nongold
55	change is a kind of impact	nongold
56	as the population of a species increases , overcrowding of that species will increase	nongold
57	low is similar to decrease	nongold
58	if the population of an animal decreases then that animal may no longer be found in that place	nongold
59	eagles eat rabbits	nongold
60	if there is a loss of something then that something decreases	nongold
61	less means a reduced amount	nongold
62	death means to die	nongold
63	endangered means low in population	nongold
64	to limit means to decrease	nongold
65	food supply often limits predator population size in an ecosystem	nongold
66	if a living thing requires something then that something has a positive impact on that living thing	nongold
67	the Earth contains many ecosystems	nongold
68	eagles live in trees	nongold
69	if a habitat can no longer support animals then those animals will move to another area	nongold
70	a predator is a kind of animal	nongold
71	nonliving; non-living; die is the opposite of living; alive; live	nongold
72	a lack of something that a living thing requires prevents the survival of that living thing	nongold
73	predators eat prey	gold
74	an animal requires a habitat for survival	nongold
75	a living thing is a kind of object	nongold
76	often is similar to likely	nongold
77	destroying animal habitats changes an ecosystem	nongold
78	to act on means to affect	nongold
79	an animal is a member of an animal species	nongold
80	a predator eats other animals for food	nongold
81	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
82	as the amount of a source of something decreases , the amount of that something will decrease	nongold
83	becoming is similar to changing	nongold
84	survive means live	nongold
85	survive means live	nongold
86	killing means changing a living thing from alive to dead by harming	nongold
87	all the other means the rest of	nongold
88	most means over 50% of something	nongold
89	if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water	nongold
90	when an animal moves away from an area then the population of that animal decreases in that area	nongold
91	a community is made of many types of organisms in an area	nongold
92	negative impact is the opposite of positive impact	nongold
93	species means a group of like organisms	nongold
94	the brown tree snake is nonnative to Guam	nongold
95	hunting; overhunting decreases animal populations	nongold
96	to add means to increase	nongold
97	a region is similar to an environment	nongold
98	a plant; living thing requires food for survival	nongold
99	if members of a species are born; survive then the population of that species increases	nongold
