Question	While a sailor was out fishing, he got lost at sea. Which object would help him direct the boat back to shore?	question
Answer	Magnetic compass	answer
0	a compass is used to navigate oceans; seas	gold
1	a compass is a kind of object	gold
2	a compass is used for determining direction	gold
3	a needle floating in water is a kind of compass	nongold
4	a compass's needle lines up with Earth's magnetic poles	nongold
5	An example of navigation is directing a boat	gold
6	a compass is a kind of tool for determining direction by pointing north	nongold
7	if a person is lost at sea then that person may not know the direction of land	gold
8	Earth's magnetic field causes compasses to point North	nongold
9	to be used  for something means to help to do that something	nongold
10	navigation requires knowing direction	gold
11	when the needle of a compass lines up with Earth's magnetic poles , the needle points north	nongold
12	a shore is the land found at the edge of a body of water	gold
13	natural magnetism is used for pointing north by a compass	nongold
14	helping something has a  positive impact on that something	nongold
15	an ocean is a kind of body of water	nongold
16	to help; to benefit means to be of use	nongold
17	a boat is similar to a ship	nongold
18	sea means ocean	nongold
19	helping means to assist in a change	nongold
20	maritime means close to the ocean	nongold
21	requiring is similar to needing help	nongold
22	an aquatic animal is a kind of animal	nongold
23	instrument means device	nongold
24	a tool is a kind of object	nongold
25	a fish is a kind of animal	nongold
26	if a person is lost then that person might not know their location	nongold
27	a human is a kind of animal	nongold
28	a device is a kind of object	nongold
29	instrument means tool	nongold
30	a fish is a kind of aquatic animal	nongold
31	travelling requires  navigation	nongold
32	to enable is to help	nongold
33	to return means to get back	nongold
34	fishing is when a human kills; catches fish for food	nongold
35	marine is similar to water	nongold
36	to help means to aid	nongold
37	Atlantic Ocean is a kind of ocean	nongold
38	an instrument is a piece of equipment	nongold
39	a body of water is a source of water	nongold
40	water is a kind of object	nongold
41	motion is when moves an object; something to a direction	nongold
42	a coast is where land meets the edge of a body of water	nongold
43	the floating arrow on a compass always points towards the north	nongold
44	a fish lives in water	nongold
45	a body of water is a kind of environment	nongold
46	far means great in distance	nongold
47	a vehicle is a kind of tool for travel; transport	nongold
48	an animal is a kind of living thing	nongold
49	a living thing is a kind of object	nongold
50	metal is sometimes magnetic	nongold
51	an island is a kind of landform	nongold
52	an electromagnet is a kind of device	nongold
53	an anchor is a kind of object	nongold
54	an animal is a kind of organism	nongold
55	travel means to move	nongold
56	finding something means locating that something	nongold
57	a body of water meets land at a beach	nongold
58	to be helpful means to help to do	nongold
59	help means advantage	nongold
60	a needle is a kind of object	nongold
61	to make something easier means to help	nongold
62	to reach somewhere requires traveling	nongold
63	seeking something means trying to find; searching for something	nongold
64	coastline means coast	nongold
65	answering questions requires information	nongold
66	distant means great in distance	nongold
67	objects are made of materials; substances; matter	nongold
68	device means tool	nongold
69	the function of something is what that something  is used to do	nongold
70	a coast is a kind of environment	nongold
71	away is a kind of direction	nongold
72	returning is a kind of movement	nongold
73	toward is a kind of direction	nongold
74	down is a kind of direction	nongold
75	near; close is the opposite of far; away	nongold
76	location is a kind of information	nongold
77	an object; material; substance comes from that object or material's source	nongold
78	an event is a kind of action	nongold
79	a body of water contains water	nongold
80	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
81	aquatic animal means water animal	nongold
82	something is used for that something's purpose	nongold
83	to depend on; to rely on; to need means to require	nongold
84	distance moved; distance travelled is a measure of how far an object moves	nongold
85	a motion is a kind of event; action	nongold
86	out is synonymous with outside	nongold
87	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
88	a ship is used for moving people; products across bodies of water	nongold
89	locating means determining	nongold
90	bodies of water are located on Earth's surface	nongold
91	a vehicle is used for travel	nongold
92	loss means reduction	nongold
93	water is a kind of substance	nongold
94	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
95	close means low in distance	nongold
96	a meter is a kind of unit for measuring distance; measuring length	nongold
97	best means most positive	nongold
98	a type is synonymous with a kind	nongold
99	a measure of time is a length of time	nongold
