Question	A crop of corn plants is genetically modified so that the plants produce a natural pesticide. People are concerned that these corn plants might transfer modified genetic material to other plants. Which of the following is the best way to further modify the plants to prevent them from transferring their genetic materials to other plants?	question
Answer	changing the plants so they do not make pollen	answer
0	corn is a kind of crop	nongold
1	corn is a kind of plant	nongold
2	make means produce	gold
3	a pesticide is infrequently poisonous to humans	nongold
4	a pesticide is used for protecting plants by killing insects	nongold
5	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
6	corn is a kind of seed	nongold
7	to prevent means to make it not happen	nongold
8	a pesticide is usually very poisonous to insects	nongold
9	person is synonymous with human	nongold
10	if something required for a process is not produced then that process is prevented from occurring; cannot occur	gold
11	a plant is a kind of organism	nongold
12	to modify means to change	gold
13	a person is a kind of animal	nongold
14	a crop is a kind of food	nongold
15	harming something has a  negative impact on; effect on that something	nongold
16	to keep something from happening means to prevent that something	nongold
17	protecting something means preventing harm to that something	nongold
18	plant reproduction; seed production requires pollination	nongold
19	transfer is a kind of change	nongold
20	crops are a kind of edible plant for eating	nongold
21	pollination requires pollinators; pollinating animals	nongold
22	a source of something emits; produces; generates; provides that something	nongold
23	a plant is a kind of living thing	nongold
24	production is similar to making	nongold
25	using a pesticide usually requires spraying that pesticide on crops	nongold
26	having an impact on something means altering that something	nongold
27	green plants are a kind of producer	nongold
28	genetic engineering methods increase resistance to herbicides	nongold
29	pollen is part of a flower for reproduction	gold
30	to cause means to make	nongold
31	a producer is a kind of living thing	nongold
32	if something transfers something else then that something is a source of something else	nongold
33	negative impact is the opposite of positive impact	nongold
34	eating food that contains pesticides can have a negative impact on humans	nongold
35	convert is similar to transfer	nongold
36	best means most positive	nongold
37	converting is similar to producing	nongold
38	inhibitor means something that prevents something from happening	nongold
39	humans eat crops	nongold
40	a human is a kind of animal	nongold
41	providing something means making;delivering something	nongold
42	preventing something decreases the amount of that something	nongold
43	adverse effect means negative impact	nongold
44	a flower produces pollen and seeds	nongold
45	to change means to have an effect	nongold
46	producing is a kind of process	nongold
47	made by humans; artificial is the opposite of natural	nongold
48	transfer is a kind of process	nongold
49	something harmful can cause harm	nongold
50	affected means changed	nongold
51	an animal is a kind of organism	nongold
52	killing means harming something causing death	nongold
53	to prevent the occurence of an event means to decrease the occurence of the event	nongold
54	pesticides can cause pollution	nongold
55	if a living thing requires something then that something has a positive impact on that living thing	nongold
56	an organism is a living thing	nongold
57	to produce means to provide	nongold
58	helping something has a  positive impact on that something	nongold
59	to transfer means to bring; to get something to	nongold
60	a producer produces its own food	nongold
61	harming an organism can cause that organism to die	nongold
62	a concern; a problem is a possible negative impact	nongold
63	an animal is a kind of living thing	nongold
64	to inhibit means to prevent	nongold
65	pollinator means pollinating animal	nongold
66	to be used for something means to be required by that something	nongold
67	emit means produce	nongold
68	avoiding is similar to preventing	nongold
69	if an organism produces a substance then that organism has a gene that controls the production of that substance	nongold
70	to change means to cause a change	nongold
71	change is a kind of impact	nongold
72	plant reproduction often requires pollen	gold
73	pollination is a kind of process for plant reproduction	nongold
74	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
75	producing is similar to causing	nongold
76	a plant is a member of a plant species	nongold
77	killing means changing a living thing from alive to dead by harming	nongold
78	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
79	if something causes a process then that something is required for that process	nongold
80	solution is similar to a positive impact	nongold
81	if a plant dies then that plant will not produce food	nongold
82	change is a kind of process	nongold
83	harming an animal species has a  negative impact on the population size of that species	nongold
84	provide is similar to give; make	nongold
85	cropland is used for farming by humans	nongold
86	plants are a part of the environment	nongold
87	a negative impact is a kind of consequence; risk	nongold
88	if something is made by something else then that something is affected by that something else	nongold
89	pathogen is similar to harmful substance	nongold
90	a living thing is a kind of object	nongold
91	society is made of humans	nongold
92	pollinated means after pollination	nongold
93	a plant; living thing requires food for survival	nongold
94	to convert means to change	nongold
95	to turn means to change	nongold
96	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
97	if something is required for a process then that something positively impacts that process	nongold
98	human is a kind of organism	nongold
99	producers pass materials they use through the food chain	nongold
