Question	When a switch is used in an electrical circuit, the switch can	question
Answer	stop and start the flow of current.	answer
0	a switch is used to start; stop the flow of current by  closing; opening the electric circuit	gold
1	current means electric current	nongold
2	stop; stopped means zero; 0; no speed	nongold
3	stop means not move	nongold
4	electrical current means electrical energy	nongold
5	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
6	counter means reduce; stop; resist	nongold
7	when a switch in a simple series circuit is closed , electricity will flow through the circuit	nongold
8	when an electrical circuit is working properly , electrical current runs through that circuit; the wires in that circuit	nongold
9	flowing is a kind of motion	nongold
10	completing a circuit causes electricity; electric current to flow  through that circuit	nongold
11	a circuit is a kind of electrical component	nongold
12	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
13	electricity means electrical energy	nongold
14	to slow; to slow down decreases speed	nongold
15	electricity can  not flow through an open circuit	nongold
16	the function of something is what that something  is used to do	nongold
17	An electrical conductor is a vehicle for the flow of electricity	nongold
18	a resistor is used to control the amount of current in the electric circuit	nongold
19	can means having the ability to	nongold
20	closing an electric circuit causes an electrical device to function	nongold
21	a complete electrical circuit is a source of  electrical energy	nongold
22	flipping; pushing a switch means using; activating that switch	nongold
23	flowing is a kind of action	nongold
24	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
25	can be means able to be	nongold
26	to add means to increase	nongold
27	a source of something emits; produces; generates; provides that something	nongold
28	cannot is the opposite of  can	nongold
29	a machine is a kind of  device	nongold
30	to flow is similar to to transfer	nongold
31	to originate means to begin	nongold
32	flipping a switch completes an electrical circuit	nongold
33	an electromagnet is a kind of device	nongold
34	a device is a kind of object	nongold
35	electric devices require electrical energy to function	nongold
36	a mechanism is a kind of system that performs a function	nongold
37	faster means an increase; higher in speed	nongold
38	something is used for that something's purpose	nongold
39	to give off means to be the source of	nongold
40	to be used for something means to be required by that something	nongold
41	a component of something means a part of that something	nongold
42	where something  comes from is a source of that something	nongold
43	variable means able to change	nongold
44	when an electrical conductor is plugged into an outlet , a circuit is completed	nongold
45	answering questions requires information	nongold
46	metal is an  electrical; electrical energy conductor	nongold
47	to lower means to decrease	nongold
48	turning on is a kind of process	nongold
49	speed up means increase	nongold
50	speed is a measure of how fast an object is moving	nongold
51	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
52	a component means a part of	nongold
53	an event is a kind of action	nongold
54	electrical impulses are a kind of electrical energy	nongold
55	if electricity; electric current divides into more than one pathway then the circuit is parallel	nongold
56	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
57	a machine is a kind of object	nongold
58	an electrical device requires electricity to turn on	nongold
59	if the electrical  devices are connected in parallel circuit , then turning on or off any devices will not affect other devices	nongold
60	an object; material; substance comes from that object or material's source	nongold
61	electrical signals are made of electrical energy	nongold
62	rate is similar to speed	nongold
63	to turn means to change	nongold
64	conductivity is a measure of how easily electricity travels through a material	nongold
65	a button is similar to a switch	nongold
66	an insulator is the opposite of a conductor	nongold
67	material means substance	nongold
68	if something is required for a process then keeping that something from reaching that process can stop that process	nongold
69	electricity is made of moving charges; moving charged particles	nongold
70	if something transfers something else then that something is a source of something else	nongold
71	high is similar to increase	nongold
72	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
73	faster means increased rate	nongold
74	if something comes from something else then that something else is a source of that something	nongold
75	a source of something increases the amount of that something	nongold
76	if something releases something else then that something is the source of that something else	nongold
77	distorting is simiar to causing an interruption	nongold
78	electrical energy is a kind of energy	nongold
79	an electric motor is a kind of electrical device	nongold
80	electric currents produce magnetic fields	nongold
81	insulator means good insulator	nongold
82	moving a coil of wire in the magnetic field generates electrical current	nongold
83	if something is powered by something else then that something requires a source of that something else	nongold
84	if something has the ability to do something else , then that something can do that something else	nongold
85	a motion is a kind of event; action	nongold
86	a living thing is a kind of object	nongold
87	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
88	pushing a button sometimes completes a circuit	nongold
89	an electromagnet is a kind of electric magnet	nongold
90	inertia is when a stationary object resists being put into motion	nongold
91	if something emits something else then that something increases the amount of that something else	nongold
92	emit means produce	nongold
93	when electricity flows to a light bulb , the light bulb will turn on; come on	nongold
94	an increase is a kind of change	nongold
95	motion; movement means moving; to move	nongold
96	increase means more	nongold
97	motion is when moves an object; something to a direction	nongold
98	a process is a kind of event	nongold
99	to prompt means to cause	nongold
