Question	Which of the following is not an inherited trait of humans?	question
Answer	favorite food	answer
0	favorite means highest preference	gold
1	preferences are generally learned characteristics	gold
2	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
3	trait is synonymous with characteristic	gold
4	an inherited characteristic is a kind of characteristic	nongold
5	human is a kind of organism	nongold
6	a human is a kind of animal	nongold
7	a learned characteristic is a kind of acquired characteristic	nongold
8	a food preference is a kind of preference	gold
9	an animal is a kind of organism	nongold
10	an animal is a kind of living thing	nongold
11	an adaptation is a kind of characteristic	nongold
12	if a trait is chosen , then the trait is desirable	nongold
13	trait means property	nongold
14	characteristic means property	nongold
15	the  diet of an animal is an inherited characteristic	nongold
16	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
17	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
18	personality is an acquired characteristic	nongold
19	an organism is a living thing	nongold
20	food is what an animal eats	nongold
21	human is similar to individual	nongold
22	feature is synonymous with characteristic	nongold
23	an animal is a kind of consumer	nongold
24	an animal needs to eat food for nutrients	nongold
25	a living thing is a kind of object	nongold
26	a plant is a kind of organism	nongold
27	what an object is made of is a kind of characteristic	nongold
28	a behavior is a kind of characteristic	nongold
29	a part of something means a characteristic of something	nongold
30	species is an inherited characteristic	nongold
31	traits can be determined by one pair; many pairs of genes in an organism	nongold
32	food is a kind of object	nongold
33	answering questions requires information	nongold
34	to eat means to consume food	nongold
35	social behavior is a kind of learned behavior	nongold
36	intelligence is an acquired characteristic	nongold
37	senses are an inherited characteristic	nongold
38	a food contains nutrients for living things	nongold
39	diet means what an animal eats	nongold
40	trait is a kind of genetic information	nongold
41	taste is a kind of property	nongold
42	inherited characteristics can change over several generations	nongold
43	food is a kind of substance	nongold
44	inherited characteristics are a kind of hereditary information	nongold
45	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
46	style is an acquired characteristic	nongold
47	to be affected by something is similar to depending on something	nongold
48	curiosity is a kind of human quality	nongold
49	a plant is a kind of living thing	nongold
50	adaptation is when an organism develops a trait over time for survival	nongold
51	the color of; coloration of fur is an inherited characteristic	nongold
52	a plant; living thing requires food for survival	nongold
53	person is synonymous with human	nongold
54	a type is synonymous with a kind	nongold
55	if an organism passes on its traits then future generations will have those traits	nongold
56	unique  is the opposite of diverse	nongold
57	ability is a kind of characteristic	nongold
58	conditioned behavior is a kind of learned behavior	nongold
59	genes are able to determine the inherited characteristics of a living thing	nongold
60	not is similar to the opposite of	nongold
61	aspect of something is similar to part of something	nongold
62	animals learn some behaviors from watching their parents	nongold
63	an organism's environment affects that organism's acquired characteristics	nongold
64	eating certain foods is a kind of habit	nongold
65	an object is an item	nongold
66	cause is similar to influence	nongold
67	to give is similar to to cause	nongold
68	a person is a kind of animal	nongold
69	blood type is an inherited characteristic	nongold
70	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
71	can be means able to be	nongold
72	a component of something means a part of that something	nongold
73	sense is a kind of characteristic of an animal	nongold
74	an animal; living thing requires nutrients for survival	nongold
75	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
76	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
77	selection means choosing	nongold
78	genetic variation is similar to trait variation	nongold
79	a property is similar to a factor	nongold
80	a component means a part of	nongold
81	opposite is a kind of different	nongold
82	a structure of something is synonymous with a part of that something	nongold
83	reproductive behavior is an inherited characteristic	nongold
84	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
85	if something is made by something else then that something is affected by that something else	nongold
86	causing is a kind of affecting	nongold
87	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
88	a dessert is a kind of food	nongold
89	dimple is a dominant trait in human	nongold
90	each is similar to individual	nongold
91	an organism eating is a kind of action	nongold
92	to impact means to affect	nongold
93	a function is a kind of characteristic	nongold
94	an allele is a kind of gene	nongold
95	An example of an inherited behavior is a bird building a nest	nongold
96	sound of voice is an inherited characteristic	nongold
97	taste is a kind of sense	nongold
98	the condition of parts of an organism are acquired characteristics	nongold
99	a consumer is a kind of organism	nongold
