Question	Which trait do children most likely inherit from their parents?	question
Answer	shape of earlobes	answer
0	an earlobe is a kind of body part	gold
1	a baby is the offspring of a parent	nongold
2	a baby is the offspring of a parent	nongold
3	the shape of body parts is an inherited characteristic	gold
4	an attached earlobe is a recessive trait in human	nongold
5	structure is similar to shape	nongold
6	shape is a kind of characteristic	nongold
7	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
8	a free earlobe is a dominant trait in human	nongold
9	trait is synonymous with characteristic	gold
10	shape of the parts of something is a property of that something	nongold
11	children; young is synonymous with offspring	gold
12	a father is a kind of male parent	nongold
13	parents produce offspring	nongold
14	a child is a kind of young human	nongold
15	form means kind	nongold
16	an inherited characteristic is a kind of characteristic	nongold
17	offspring are a part of a generation	nongold
18	parents are a part of a generation	nongold
19	shape is a property of an object	nongold
20	a son is a kind of male offspring	nongold
21	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
22	inherited characteristics can change over several generations	nongold
23	a baby is a kind of young animal	nongold
24	trait means property	nongold
25	shape is an extensive property	nongold
26	if an organism passes on its traits then future generations will have those traits	nongold
27	classifying means grouping objects; materials by their properties	nongold
28	to reproduce means to have; to produce offspring	nongold
29	reproduction produces; produce offspring	nongold
30	shape is a kind of physical property	nongold
31	a mother is a kind of female parent	nongold
32	characteristic means property	nongold
33	a structure of something is synonymous with a part of that something	nongold
34	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
35	living things can all reproduce	nongold
36	a part of something means a characteristic of something	nongold
37	a human is a kind of animal	nongold
38	V-shaped; widow's peak hairline is a dominant trait in human	nongold
39	an animal is a kind of living thing	nongold
40	a structure is a kind of feature	nongold
41	identical twins have all of the same inherited characteristics	nongold
42	unique  is the opposite of diverse	nongold
43	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
44	a chin without a cleft is  a recessive trait in human	nongold
45	identical means copy	nongold
46	an ear is a kind of body part	nongold
47	a mother births offspring	nongold
48	offspring receives half of the genes from each parent	nongold
49	a part of a living thing is a natural structure	nongold
50	a type is synonymous with a kind	nongold
51	a learned characteristic is a kind of acquired characteristic	nongold
52	an animal is a kind of organism	nongold
53	feature is synonymous with characteristic	nongold
54	inherited characteristics are a kind of hereditary information	nongold
55	sister means one of the offspring	nongold
56	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
57	species is an inherited characteristic	nongold
58	a nose is a part of a body	nongold
59	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
60	newborn means just born	nongold
61	the color of; coloration of fur is an inherited characteristic	nongold
62	identical is the opposite of different	nongold
63	genetic; hereditary means of genes; heredity	nongold
64	the size of an organism is an inherited characteristic	nongold
65	if something gains something from something else then that something else is a source of that something	nongold
66	genes are able to determine the inherited characteristics of a living thing	nongold
67	a face is often a part of an animal	nongold
68	length is a property of the shape of an object	nongold
69	a living thing is a kind of object	nongold
70	reproduction occurs during adulthood	nongold
71	style is an acquired characteristic	nongold
72	width is a property of size; shape and includes ordered values of narrow; wide	nongold
73	the head is a part of an animal	nongold
74	newborn is similar to baby	nongold
75	dental is similar to tooth	nongold
76	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
77	the parts of something make up that something	nongold
78	to be characterized by  a property means to have that property	nongold
79	trait is a kind of genetic information	nongold
80	if something comes from something else then that something else is a source of that something	nongold
81	natural selection occurs over a period of 1 to many generations; centuries which is considered a  very long time to a human	nongold
82	intelligence is an acquired characteristic	nongold
83	genetic variation is similar to trait variation	nongold
84	a boy is a kind of young male human	nongold
85	a puppy is a young; baby dog	nongold
86	young means immature	nongold
87	the colors of parts of an organism are inherited characteristics	nongold
88	the shape  of an object can be discovered through feeling that object; touching that object	nongold
89	straight hairline is  a recessive trait in human	nongold
90	a Punnett square is used to show; identify; calculate the percent chance of a trait being passed down from a parent to its offspring	nongold
91	often is similar to likely	nongold
92	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
93	classifying is when one sorts something by kind; type	nongold
94	human is a kind of organism	nongold
95	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
96	a component of something means a part of that something	nongold
97	height is an inherited characteristic	nongold
98	Anna is a name for a human	nongold
99	a face dimple is depressed; indented in shape	nongold
