Question	In addition to oxygen, which gases make up the largest percentage of Earth's atmosphere?	question
Answer	carbon dioxide, water vapor, and nitrogen	answer
0	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	gold
1	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	gold
2	greatest means largest; highest; most amount of something	gold
3	carbon dioxide is a kind of gas	gold
4	the Earth's atmosphere is made of 78 percent nitrogen by mass	gold
5	water vapor is the largest amount of greenhouse gas in the atmosphere	nongold
6	nitrogen is a kind of gas	gold
7	largest amount means most	nongold
8	most means over 50% of something	nongold
9	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
10	largest means greatest in size	nongold
11	the majority of is similar to largest	nongold
12	water is made of hydrogen and oxygen	nongold
13	carbon dioxide is a kind of greenhouse gas	nongold
14	nitrogen is a kind of element	nongold
15	oxygen is a kind of gas at room temperature	nongold
16	vapor is synonymous with gas	nongold
17	oxygen is more common than hydrogen on Earth	nongold
18	made up of means contains; made of	nongold
19	a lot means large in amount; quantity	nongold
20	water vapor is a kind of greenhouse gas	nongold
21	atmosphere means  air	nongold
22	the atmosphere contains gases; liquids; solids	nongold
23	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
24	quantity means amount	nongold
25	air is a kind of gas	nongold
26	hydrogen is a kind of gas at room temperature	nongold
27	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
28	carbon monoxide is a kind of gas	nongold
29	water vapor is found in the atmosphere	nongold
30	oxygen  is a kind of element	nongold
31	amount is similar to number	nongold
32	carbon dioxide can be found in the air	nongold
33	gaseous means of gas	nongold
34	one in  two means half; 50%	nongold
35	a  gas is a kind of  element	nongold
36	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
37	carbon dioxide is more dense than air	nongold
38	atmospheric means of the atmosphere	nongold
39	a source of something emits; produces; generates; provides that something	nongold
40	oxygen gas is made of only  oxygen element	nongold
41	fossil fuels release carbon dioxide into the atmosphere	nongold
42	an animal; bacterium requires oxygen for survival; to breathe	nongold
43	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
44	oxygen rich means a high amount of oxygen	nongold
45	percents; ratios are a kind of data	nongold
46	carbon is a kind of element	nongold
47	water is a kind of substance	nongold
48	water contains dissolved oxygen	nongold
49	to be made of means to consist of	nongold
50	nitrogen as an elemental gas is more stable than nitrogen compounds	nongold
51	Earth is a kind of planet	nongold
52	the parts of something make up that something	nongold
53	An example of moisture is water vapor in the atmosphere	nongold
54	water is a kind of liquid at room temperature	nongold
55	liquid; solid means nongaseous	nongold
56	to add means to increase	nongold
57	gas is a kind of substance	nongold
58	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
59	higher means greater; above in value; amount; number	nongold
60	denitrification is when nitrogen becomes part of the lithosphere	nongold
61	high is similar to increase	nongold
62	all elements are a kind of pure substance	nongold
63	answering questions requires information	nongold
64	troposphere contains 75% the gases	nongold
65	sulfur dioxide is formed by the combustion of fossil fuels	nongold
66	a billion is a kind of  number	nongold
67	increase means more	nongold
68	an atom is the smallest particle; unit that has the properties of an element	nongold
69	a source of something increases the amount of that something	nongold
70	how many means what number	nongold
71	the number of parts of something is a property of that something	nongold
72	composed of means made of	nongold
73	hydrogen is a kind of element	nongold
74	furthest; farthest means greatest; most; highest in distance	nongold
75	Earth has air	nongold
76	many means high in number	nongold
77	oxygen is a kind of resource	nongold
78	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
79	accounting for means making up some amount	nongold
80	if something causes a process then that something is required for that process	nongold
81	troposphere contains almost all the water vapor	nongold
82	heat means heat energy	nongold
83	to give off means to be the source of	nongold
84	a component means a part of	nongold
85	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
86	made of is similar to contains	nongold
87	combustion is a kind of chemical change	nongold
88	substances are made of elements	nongold
89	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
90	Earth contains water; ice; (steam, water vapor)	nongold
91	an increase is the opposite of a decrease	nongold
92	usually means most of the time	nongold
93	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
94	a ratio is a measure of one measure over another measure; divided by another measure	nongold
95	humidity is a kind of water vapor	nongold
96	oceans are the source of most of water vapor in the atmosphere	nongold
97	greenhouse gases are a part of the atmosphere	nongold
98	to be used for something means to be required by that something	nongold
99	air is a kind of matter	nongold
