Question	Which of the following is found in all living organisms?	question
Answer	cell	answer
0	to be found in means to be contained in	gold
1	if something is a part of something then that something can be found in that something	nongold
2	found in means existing in	nongold
3	a living thing is made of cells	gold
4	an organism is a living thing	gold
5	if something is located  in somewhere , then something can be found in somewhere	nongold
6	life means living things	nongold
7	all living things are made of cells according to the cell theory	nongold
8	living things are made of organic molecules	nongold
9	RNA are found in the nucleus of the cell	nongold
10	DNA are found in the nucleus of the cell	nongold
11	cells are a smaller level of organization than tissues in living things	nongold
12	a cell nucleus is a part of a cell	nongold
13	an animal is a kind of living thing	nongold
14	living things perform biological processes	nongold
15	a living thing is a kind of object	nongold
16	organs are made of different types of  cellular tissues	nongold
17	virus is a kind of living thing	nongold
18	organisms mean life	nongold
19	classifying is when one sorts something by kind; type	nongold
20	a part of a living thing is a natural structure	nongold
21	biotic means living	nongold
22	vacuoles are found in cells	nongold
23	a fungus is a kind of eukaryote	nongold
24	a fungus is a kind of living thing	nongold
25	a part of something is present in that something	nongold
26	a fungus is a kind of organism	nongold
27	all cells perform cellular respiration	nongold
28	an animal is a kind of eukaryote	nongold
29	a protozoan is a kind of animal	nongold
30	a cell is very small	nongold
31	basic life functions occur in the cells of organisms	nongold
32	contains means located in	nongold
33	tissues are a smaller level of organization than organs in living things	nongold
34	the nucleus is a kind of cell organelle	nongold
35	a cell is a kind of object	nongold
36	cells are a part of the body	nongold
37	a body cell means a somatic cell	nongold
38	animals are a part of the biological kingdom Animalia	nongold
39	bacteria is a kind of living thing	nongold
40	the cell is the most basic structural unit of life	nongold
41	a prokaryotic cell does not contain a nucleus	nongold
42	the cell membrane is the membrane around the cell of all living things	nongold
43	all living things have life cycles	nongold
44	phytoplankton is a kind of plant	nongold
45	RNA is a kind of nucleic acid	nongold
46	a plant cell is a kind of cell	nongold
47	an paramecium is a kind of organism	nongold
48	phytoplanktons are found in bodies of water	nongold
49	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
50	eukaryotes are a part of the biological domain Eukaryota	nongold
51	a plant cell is box-like in shape	nongold
52	unique  is the opposite of diverse	nongold
53	organisms can be found in their habitats	nongold
54	a homozygous recessive organism contains only recessive genes	nongold
55	a plant is a kind of organism	nongold
56	a plant is made of plant cells	nongold
57	DNA is a kind of nucleic acid	nongold
58	a domain is the broadest group into which organisms can be classified	nongold
59	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
60	a single-celled organism is a kind of living thing	nongold
61	a plant is a kind of living thing	nongold
62	living things can all reproduce	nongold
63	living things carry out basic life functions	nongold
64	most chloroplasts are found in the leaves of a plant	nongold
65	a structure of something is synonymous with a part of that something	nongold
66	a mitochondrion is a kind of cellular organelle	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	a diatom is a kind of organism	nongold
69	different cellular tissues are made of different types of  somatic cells	nongold
70	a bacterium is a kind of organism	nongold
71	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
72	the parent cell is the original cell	nongold
73	made up of means contains; made of	nongold
74	fungi are sometimes single-celled organisms	nongold
75	a type is synonymous with a kind	nongold
76	an ecosystem contains a large community of; large numbers of living organisms	nongold
77	a decomposer is a kind of living thing	nongold
78	all living things grow	nongold
79	a worm is a kind of animal	nongold
80	a food contains nutrients for living things	nongold
81	organs are a smaller level of organization than organ systems in living things	nongold
82	an animal cell is a kind of cell	nongold
83	composed of means made of	nongold
84	an organism is made of organic matter	nongold
85	a single-celled organism is a kind of organism	nongold
86	plant and animal matter means organic matter	nongold
87	single-cell organism means unicellular organism	nongold
88	a worm is a kind of living thing	nongold
89	a decomposer is usually a bacterium; fungus	nongold
90	cell division means cell reproduction	nongold
91	organizing is sorting something by their properties in order	nongold
92	can be means able to be	nongold
93	genotype of  an organism means the genes of  an organism	nongold
94	nonliving things are not made of cells	nongold
95	mitosis produces cells that are identical to the parent cell	nongold
96	a cell membrane is a kind of cell structure	nongold
97	nucleus is synonymous with core; center	nongold
98	a multicellular organism is a kind of living thing	nongold
99	a structure is a kind of feature	nongold
