Question	The kinetic energies of particles in a sample of matter are increasing. This sample is most likely	question
Answer	a liquid that is warming.	answer
0	temperature is a measure of kinetic energy of molecules	nongold
1	temperature is a measure of heat energy	nongold
2	particles in a liquid have more kinetic energy than particles in a solid	nongold
3	particles in a gas have more kinetic energy than particles in a liquid	nongold
4	heat means temperature increases	nongold
5	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
6	kinetic energy is a kind of mechanical energy	nongold
7	as the kinetic energy of a molecule increases , the temperature will increase	gold
8	sample is similar to small amount of substance; matter	nongold
9	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
10	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
11	motion is a source of kinetic energy in an object	nongold
12	heat means heat energy	nongold
13	heating means adding heat	nongold
14	matter; materials; substances are made of atoms; particles	gold
15	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
16	particles in objects are a kind of matter	nongold
17	warm up means increase temperature	nongold
18	heat is a kind of energy	nongold
19	liquid is a kind of state of matter	nongold
20	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
21	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
22	increase means more	nongold
23	a liquid is a kind of substance	gold
24	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
25	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
26	An example of an object with kinetic energy is an object in motion	nongold
27	to add means to increase	nongold
28	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
29	heat energy can change the state of matter	nongold
30	as an object moves faster , the kinetic energy of that object will increase	nongold
31	solid is a kind of state of matter	nongold
32	cooling means temperature decreases	nongold
33	colder; cooler means lower in temperature	nongold
34	cold means low in temperature	nongold
35	high is similar to increase	gold
36	to lower means to decrease	nongold
37	boiling is when liquids are heated above their boiling point	nongold
38	gas is a kind of state of matter	nongold
39	an increase is a kind of change	nongold
40	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
41	water is a kind of liquid at room temperature	nongold
42	as the kinetic energy of particles increases , the particles will move faster	nongold
43	a source of something increases the amount of that something	nongold
44	an increase is the opposite of a decrease	nongold
45	a particle is a kind of object	nongold
46	substances are made of matter	gold
47	hot means high in heat energy; temperature	nongold
48	changes potential energy into kinetic energy through motion	nongold
49	melting is when solids are heated above their melting point	nongold
50	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
51	warm means medium heat energy; temperature	nongold
52	heating is the opposite of cooling	nongold
53	atoms are made of particles	nongold
54	a molecule is a kind of particle	gold
55	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
56	a solid is a kind of substance	nongold
57	warmer means greater; higher in temperature; warmth	gold
58	a decrease is a kind of change	nongold
59	to reduce means to decrease	nongold
60	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
61	material means substance	nongold
62	to give off means to be the source of	nongold
63	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
64	as kinetic energy increases , the potential energy will decrease	nongold
65	often is similar to likely	nongold
66	warm means warm temperature	nongold
67	water is a kind of matter	nongold
68	adding heat means increasing temperature	nongold
69	variable means able to change	nongold
70	plasma is a kind of state of matter	nongold
71	evaporating is a kind of phase change	nongold
72	thermal conduction is when heat flows from warmer object to cooler object	nongold
73	temperature changing can cause phase changes	nongold
74	gas is a kind of substance	nongold
75	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
76	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
77	state of matter means physical state	nongold
78	objects are made of materials; substances; matter	nongold
79	if something emits something else then that something increases the amount of that something else	nongold
80	as kinetic energy of an object increases , that object will travel faster	nongold
81	a material's response to heating and cooling can be used to study that material's thermal properties	nongold
82	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
83	low is similar to decrease	nongold
84	boiling is a kind of phase change	nongold
85	if one object absorbs more energy than another object , then the  object will be warmer	nongold
86	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
87	temperature  rise means temperature increase	nongold
88	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
89	gas is a kind of material	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	to slow; to slow down decreases speed	nongold
92	cool means cold	nongold
93	extreme means very high in value	nongold
94	state of matter at room temperature is a kind of physical property	nongold
95	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
96	temperature drop means cooling	nongold
97	warm; becoming warm means heat is added	nongold
98	phase means state	nongold
99	particles in a liquid flows past each other	nongold
