Question	Students are studying some leaves. They group the leaves by shape. Which science process are the students using when they put the leaves in different groups?	question
Answer	classifying	answer
0	grouping means putting; placing in different groups	gold
1	classifying is a kind of science process	gold
2	classifying is when one sorts something by kind; type	nongold
3	classifying means grouping objects; materials by their properties	gold
4	classify is similar to characterize	nongold
5	a leaf is a part of a  green plant	nongold
6	a leaf is a kind of object	gold
7	classifying requires comparing	nongold
8	a leaf is a kind of plant	nongold
9	a student is a kind of human	nongold
10	to categorize means to classify	nongold
11	a leaf is small in size	nongold
12	to belong to a class means to be a kind of something	nongold
13	shape is a property of an object	gold
14	a leaf is a part of a tree	nongold
15	a plant is a kind of living thing	nongold
16	a leaf performs photosynthesis; gas exchange	nongold
17	structure is similar to shape	nongold
18	a leaf is often green in color	nongold
19	leaves changing color is a kind of process	nongold
20	a living thing is a kind of object	nongold
21	sorting is similar to classifying	nongold
22	to belong to a group means to be classified in that group	nongold
23	to group means to separate	nongold
24	to belong to a group means to be a kind of something	nongold
25	classification is a kind of process	nongold
26	an organism is a living thing	nongold
27	to classify means to decide what class something belongs to	nongold
28	trees of different species have differently shaped leaves	nongold
29	two objects are usually different in size	nongold
30	together means in a group	nongold
31	an animal is a kind of living thing	nongold
32	to change means to become different	nongold
33	studying is similar to observing	nongold
34	a structure of something is synonymous with a part of that something	nongold
35	a plant is a kind of organism	nongold
36	color is a property of  an object; a material	nongold
37	a kind of something is classified as that something	nongold
38	a plant is a member of a plant species	nongold
39	classifying is a kind of skill	nongold
40	to be used for something means to be required by that something	nongold
41	when a plant grows , the size of; number of the leaves of that plant may increase	nongold
42	arrangement means how something is arranged	nongold
43	studying  something usually requires seeing that something	nongold
44	species means a group of like organisms	nongold
45	form means kind	nongold
46	different is the opposite of the same	nongold
47	living things in the same class are  more closely related than living things in different classes	nongold
48	shape is a kind of characteristic	nongold
49	to tell the difference between things means to classify those things	nongold
50	to be made of something means to be formed of that something	nongold
51	scientists make observations	nongold
52	shape is a property of the appearance of an object	nongold
53	a tree is a kind of living thing	nongold
54	shape of the parts of something is a property of that something	nongold
55	category means kind	nongold
56	coming together means forming a group	nongold
57	objects are made of materials; substances; matter	nongold
58	vegetation means plants	nongold
59	human is similar to individual	nongold
60	shape is a kind of physical property	nongold
61	opposite is a kind of different	nongold
62	a human is a kind of animal	nongold
63	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
64	the properties of something can be used to identify; used to describe that something	nongold
65	if an object is made of something then the parts of that object are made of that something	nongold
66	each is similar to individual	nongold
67	variety means different kinds; different types	nongold
68	process is similar to method	nongold
69	a tree is a kind of plant	nongold
70	an part of an object is smaller than the entire object	nongold
71	person is synonymous with human	nongold
72	an animal is a kind of organism	nongold
73	a tree is a kind of matter	nongold
74	definite shape means the shape of an object stays the same when moved to different spot	nongold
75	an object is made of its parts	nongold
76	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
77	a plant; living thing requires food for survival	nongold
78	a stem is often a part of plant	nongold
79	unique  is the opposite of diverse	nongold
80	to study means to examine	nongold
81	living things perform biological processes	nongold
82	studying is similar to investigating	nongold
83	green plants are a kind of producer	nongold
84	can be means able to be	nongold
85	organizing is sorting something by their properties in order	nongold
86	structure is a property of an object; a material; a substance	nongold
87	affected means changed	nongold
88	leaves are sometimes brown in color	nongold
89	a plant; living thing requires nutrients to grow	nongold
90	color is a kind of physical; visual property	nongold
91	according to is similar to be determined by	nongold
92	all living things grow	nongold
93	a part of a process means a stage in a process	nongold
94	a source of something emits; produces; generates; provides that something	nongold
95	using an object often requires creating that object	nongold
96	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
97	life means living things	nongold
98	a type is synonymous with a kind	nongold
99	width is a property of size; shape and includes ordered values of narrow; wide	nongold
