Question	Which of these describes a small range in the electromagnetic spectrum?	question
Answer	light	answer
0	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
1	a range of a spectrum means a part of a spectrum	gold
2	the range of visible light approximately is less than 10% in electromagnetic spectrum	nongold
3	region is similar to range	nongold
4	light is a kind of electromagnetic radiation	nongold
5	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
6	visible  light is the smallest range within the electromagnetic spectrum	gold
7	electromagnetic radiation means electromagnetic energy	nongold
8	the properties of something are used for describing that something	nongold
9	narrow band is similar to small range	nongold
10	visible light is a part of the electromagnetic spectrum	gold
11	electromagnetic wave is a kind of  wave	nongold
12	measuring is used for describing an object	nongold
13	light is a kind of wave	nongold
14	visible lights can be divided into smaller ranges of light waves by the range of colors	nongold
15	spectrum means a range of colors	nongold
16	light means light energy	nongold
17	frequency is a property of a wave; a particel of light; an event	nongold
18	infrared wave is a kind of  electromagnetic wave	nongold
19	a star is a kind of celestial object; celestial body	nongold
20	sunlight is a kind of light	nongold
21	electromagnetic energy travels as electromagnetic waves	nongold
22	UV light is a kind of light	nongold
23	visible light is a kind of  light	nongold
24	wavelength is a property of wave	nongold
25	electromagnetic energy is a kind of energy	nongold
26	light is made of photons	nongold
27	radio wave is a kind of electromagnetic wave	nongold
28	a description sometimes provides information	nongold
29	a source of something emits; produces; generates; provides that something	nongold
30	radiation means radiant energy	nongold
31	answering questions requires information	nongold
32	the location of an object can be used to describe that object	nongold
33	radiation is when electromagnetic waves transfers heat and light energy	nongold
34	electromagnetic radiation distorts the frequency of the radio waves	nongold
35	a wave is a kind of object	nongold
36	little means small	nongold
37	ionizing radiation is a kind of electromagnetic wave	nongold
38	high frequency means above 8000 hertz in  frequency	nongold
39	an increase is a kind of change	nongold
40	a type is synonymous with a kind	nongold
41	can be means able to be	nongold
42	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
43	lightning produces electromagnetic radiation of a wide range	nongold
44	information is used to describe something	nongold
45	classifying is when one sorts something by kind; type	nongold
46	human eyes can only see light in the range of visible light	nongold
47	a short wavelength has low; little distance before it repeats	nongold
48	high is similar to increase	nongold
49	matter; materials; substances are made of atoms; particles	nongold
50	light rays means light	nongold
51	the properties of something can be used to identify; used to describe that something	nongold
52	hertz ( Hz ) is an SI unit used for measuring the frequency of a wave	nongold
53	sunlight is made of ultraviolet, infrared, and visible light	nongold
54	something's function can be used to describe; identify that something	nongold
55	a light-year is used for describing long distances	nongold
56	to create means to make	nongold
57	a radio telescope is a kind of telescope	nongold
58	to produce means to create	nongold
59	ultraviolet light is a kind of electromagnetic energy	nongold
60	a kind of something is an example of that something	nongold
61	a photon is a kind of  particles	nongold
62	meters;centimeters;kilometers are used to describe distance; describe length	nongold
63	light waves travel as transverse waves	nongold
64	an x ray is a kind of electromagnetic energy	nongold
65	distant means great in distance	nongold
66	ultraviolet light is a kind of light	nongold
67	infrared light has a longer wavelength than visible light	nongold
68	radio signal is a kind of radio wave	nongold
69	to generate means to create	nongold
70	light is a kind of energy	nongold
71	light is a kind of energy	nongold
72	generate means produce	nongold
73	to generate means to form	nongold
74	if something is caused by something else , then that something can be explained by that something else	nongold
75	substances are made of matter	nongold
76	classifying means grouping objects; materials by their properties	nongold
77	microwave is a part of the electromagnetic spectrum	nongold
78	objects are made of materials; substances; matter	nongold
79	form means kind	nongold
80	composed of means made of	nongold
81	smaller means less; lower in size	nongold
82	electromagnetic wave is not a mechanical wave	nongold
83	approximately means about	nongold
84	a star is a source of light; light energy through nuclear reactions	nongold
85	high-frequency sound waves have low; short wavelengths	nongold
86	materials are made of matter	nongold
87	emit means produce	nongold
88	particles in objects are a kind of matter	nongold
89	different types of light have different wavelengths	nongold
90	to form means to create	nongold
91	intense means extreme	nongold
92	no longer means used to be	nongold
93	the sun is a source of light; light energy called sunlight	nongold
94	reflecting light; sound is the opposite of absorbing light; sound	nongold
95	radiation is when heat is transferred through waves; particles	nongold
96	typically means usually	nongold
97	creating means making	nongold
98	to turn means to change	nongold
99	where something  comes from is a source of that something	nongold
