Question	Which object would best help a student determine if a block of an unknown material is magnetic?	question
Answer	paper clip	answer
0	a paper clip is often made of magnetic metals; ferromagnetic metals	gold
1	a paper clip is a kind of object	gold
2	a block is a kind of object	gold
3	paper is always nonmagnetic	nongold
4	a student is a kind of human	nongold
5	a paper is a kind of object	nongold
6	paper is a kind of material	nongold
7	to be used  for something means to help to do that something	nongold
8	helping means to assist in a change	nongold
9	metal is sometimes magnetic	nongold
10	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	gold
11	determining often requires measuring; observing	nongold
12	to help; to benefit means to be of use	nongold
13	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	gold
14	to help means to aid	nongold
15	a magnet is a kind of object	nongold
16	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
17	helping something has a  positive impact on that something	nongold
18	an electromagnet is a kind of electric magnet	nongold
19	determine is similar to cause	nongold
20	if an object is made of a material then that object has the properties of that material	gold
21	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
22	material means substance	nongold
23	best means most positive	nongold
24	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
25	a device is a kind of object	nongold
26	objects are made of materials; substances; matter	nongold
27	if something contains a large amount of magnetic material then that something will attract magnets	nongold
28	identifying is similar to determining	nongold
29	metal is a kind of material	gold
30	answering questions requires information	nongold
31	Magnetite is always magnetic	nongold
32	particles in objects are a kind of matter	nongold
33	a sheet of paper is a kind of object	nongold
34	to enable is to help	nongold
35	a particle is a kind of object	nongold
36	materials are made of matter	nongold
37	determining is similar to learning	nongold
38	a living thing is a kind of object	nongold
39	requiring is similar to needing help	nongold
40	paper can  not be melted	nongold
41	a tool is a kind of object	nongold
42	Magnetoplumbite is always magnetic	nongold
43	substances are made of matter	nongold
44	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
45	steel; carbon steel is always ferromagnetic; magnetic	nongold
46	magnetism can cause objects to repel each other	nongold
47	conductivity is a property of a material; substance	nongold
48	an electromagnet is a kind of device	nongold
49	magnetic force means magnetism	nongold
50	Siderite is always magnetic	nongold
51	matter; materials; substances are made of atoms; particles	nongold
52	metal is a kind of substance	nongold
53	magnetism is a kind of physical property	nongold
54	a human is a kind of animal	nongold
55	magnetism can affect objects that are not touching	nongold
56	magnetic energy is a kind of energy	nongold
57	paper is recyclable	nongold
58	to make something easier means to help	nongold
59	conductivity is a kind of physical property	nongold
60	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
61	device means tool	nongold
62	help means advantage	nongold
63	magnetism is a kind of energy	nongold
64	helping means something can be done; completed more easily; better	nongold
65	magnetic attraction pulls two objects together	nongold
66	a horseshoe magnet is a kind of magnet	nongold
67	an insulator is a kind of material	nongold
68	an part of an object is smaller than the entire object	nongold
69	electric currents produce magnetic fields	nongold
70	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
71	an object; material; substance comes from that object or material's source	nongold
72	to be helpful means to help to do	nongold
73	metal is an  electrical; electrical energy conductor	nongold
74	magnetism is a kind of force	nongold
75	charged particles are a kind of high-energy particles	nongold
76	determining is similar to controlling	nongold
77	if something is made of something; a material then that something contains that something; that material	nongold
78	a sheet of is similar to a piece of	nongold
79	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
80	an insulator is the opposite of a conductor	nongold
81	a piece of something is a kind of object	nongold
82	state of matter is a kind of physical property	nongold
83	can be means able to be	nongold
84	media; medium means the material something travel through	nongold
85	plastic is always nonmagnetic	nongold
86	electromagnetic energy is a kind of energy	nongold
87	a paper bag is a kind of object	nongold
88	Goslarite is always magnetic	nongold
89	an object has properties	nongold
90	solid is a kind of state of matter	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	a component of something means a part of that something	nongold
93	physical state means state of matter	nongold
94	an event is a kind of action	nongold
95	electromagnets generate magnetic fields	nongold
96	paper is not durable	nongold
97	Epidote is always magnetic	nongold
98	a piece is a part of a whole	nongold
99	soft iron; iron is always ferromagnetic; magnetic	nongold
