Question	A metal spoon was left in a pot of boiling soup. The cook burned a finger by touching the spoon. Why did the finger get burned?	question
Answer	The metal spoon conducted heat to the cook's hand.	answer
0	fire causes burning	nongold
1	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	nongold
2	a spoon is a kind of object	nongold
3	metal is a thermal; thermal energy conductor	gold
4	a finger is a part of a hand	gold
5	soup is a kind of liquid	gold
6	to combust means to catch fire	nongold
7	a pot is used for cooking food	nongold
8	pot;pan;frying pan is made of metal for cooking	nongold
9	boiling is when liquids are heated above their boiling point	nongold
10	a spoon sometimes is made of metal	nongold
11	a pot is a kind of object	nongold
12	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
13	soup is a kind of food	nongold
14	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
15	heating means adding heat	nongold
16	a hand is a kind of object	nongold
17	a plastic spoon is made of plastic	nongold
18	pots are used for cooking liquid food usually	nongold
19	if too much heat is transferred to an object then that object may burn	nongold
20	heat means heat energy	gold
21	water is an thermal; thermal energy conductor	nongold
22	a human is a kind of animal	nongold
23	to touch means to contact	nongold
24	a pot is a kind of container	nongold
25	if a body part was burned then that body part was exposed to a lot of heat energy	gold
26	burning a living thing usually causes harm to that living thing	nongold
27	if one surface; one substance; one object touches something then one is exposed to that something	gold
28	heat means the transfer of thermal energy	nongold
29	if an object is held under a substance then that object is touching that substance	nongold
30	a flame are a part of a fire	nongold
31	food is a kind of object	nongold
32	heat energy is synonymous with thermal energy	nongold
33	if one is holding an object then one is touching that object	nongold
34	a hand is a part of the body	gold
35	metal is a kind of substance	nongold
36	cookware is used for cooking	nongold
37	cooking causes a chemical reaction	nongold
38	conductivity is a property of a material; substance	nongold
39	a living thing is a kind of object	nongold
40	a container contains objects; material; substances	nongold
41	food is a kind of substance	nongold
42	touching is when a body part makes contact with the surface of an object	nongold
43	if heat is conducted to an object then that object will become hot	nongold
44	a hot substance is a source of heat	nongold
45	a container is a kind of object	nongold
46	a thermal conductor is made of materials that conduct thermal energy	nongold
47	a liquid is a kind of substance	nongold
48	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
49	fire is a kind of chemical reaction	nongold
50	absorbing energy causes objects; materials; substances to heat	nongold
51	objects are made of materials; substances; matter	nongold
52	temperature is a measure of heat energy	nongold
53	an animal is a kind of living thing	nongold
54	if a container contains something then that container touches that something	nongold
55	being  on something; placed in something; placed over something means touching  that something	nongold
56	person is synonymous with human	nongold
57	frying food is a kind of cooking	nongold
58	cooking food requires adding heat energy to the food	nongold
59	thermal conduction is when materials conduct heat through those materials through collision of particles	gold
60	fire gives off light; heat; smoke	nongold
61	a burner is a kind of object; surface	nongold
62	if an object is made of a material then that object has the properties of that material	nongold
63	a hot; warm something is a source of heat	gold
64	if liquid is boiling then that liquid is hot	gold
65	rubbing against something is a kind of contact	nongold
66	metal is a kind of material	gold
67	a source of something emits; produces; generates; provides that something	nongold
68	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
69	when a cooler object touches a warmer object , thermal conduction occurs	nongold
70	to serve as means to be used as	nongold
71	warm; becoming warm means heat is added	nongold
72	if food is cooked then heat energy is added to that food	nongold
73	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
74	if heat is transferred to an object , then the object will get hot	nongold
75	boiling is a kind of event	nongold
76	a person is a kind of animal	nongold
77	burning is a kind of action	nongold
78	metal is an  electrical; electrical energy conductor	nongold
79	thermal conduction is when heat flows from warmer object to cooler object	nongold
80	fire transfers heat through waves	nongold
81	a pan;frying pan is a kind of container for cooking; food	nongold
82	if something is places over a heat source then that something is exposed to that heat source	nongold
83	a stove generates heat for cooking usually	nongold
84	a surface is a part of an object	nongold
85	water is a kind of object	nongold
86	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
87	hot means high in heat energy; temperature	nongold
88	applying heat means adding heat energy	nongold
89	cooking is a kind of action	nongold
90	a body part is a kind of object	nongold
91	receive means get	nongold
92	material means substance	nongold
93	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
94	a thermal insulator slows; prevents the transfer of heat	nongold
95	heat energy  can be used to heat up  an object	nongold
96	boiling is a kind of phase change	nongold
97	when a force is applied to an object , that force is acting on that object	nongold
98	high temperatures can cause an object to combust	nongold
99	counter means reduce; stop; resist	nongold
