Question	Fossils of clam shells were found in the Appalachian Mountains. Which of these statements best explains why the clam shells were found in the Appalachian Mountains?	question
Answer	The mountain range was once under water.	answer
0	the Appalachians means the Appalachian Mountains	nongold
1	under water means covered by water; in water	nongold
2	the Appalachians are a kind of mountain range	nongold
3	the Appalachian Mountains are a kind of mountain	gold
4	many mountain ranges are no longer covered in water	nongold
5	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	gold
6	a clam is a kind of aquatic animal	gold
7	a mountain range contains mountains	nongold
8	a mountain; mountain range is a kind of environment	gold
9	the Appalachians were formed by rock folding	nongold
10	mountain area means mountain range	nongold
11	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
12	fossil means preserved remains of ancient organisms	nongold
13	a body of water contains water	nongold
14	a mountain is made of rocks; soil	nongold
15	a shell is a kind of fossil	nongold
16	once-living means dead	nongold
17	a shell is a part of some animals	nongold
18	the surface of the Earth contains mountains	nongold
19	shells can be fossilized	nongold
20	organisms lived in the water when they first appeared on Earth	nongold
21	no longer means used to be	nongold
22	a body of water is a kind of environment	nongold
23	found in means existing in	nongold
24	an animal is a kind of living thing	nongold
25	a mountain is a kind of landform	nongold
26	a body of water is a source of water	nongold
27	mountains can limit the water vapor reaching a location	nongold
28	if something is located  in somewhere , then something can be found in somewhere	nongold
29	a snail is a kind of animal	nongold
30	a mountain is high in altitude	nongold
31	something that contains water is similar to a body of water	nongold
32	aquatic animals; plants live in bodies of water	nongold
33	an animal is a kind of organism	nongold
34	underground means under ground	nongold
35	to be submerged means to be placed under	nongold
36	if something is a part of something then that something can be found in that something	nongold
37	usually a body of water is located outside	nongold
38	clams live at the bottom of the ocean	gold
39	prehistoric means before 300000000 years ago	nongold
40	an organism is a living thing	nongold
41	to lower means to decrease	nongold
42	place is synonymous with location	nongold
43	to be found in means to be contained in	nongold
44	water is a kind of liquid at room temperature	nongold
45	ancient means a long time in the past	nongold
46	animals; living things require water for survival	nongold
47	bodies of water are located on Earth's surface	nongold
48	if something used to be in the past then that something  has changed	nongold
49	a living thing is a kind of object	nongold
50	water exists in three states on Earth	nongold
51	region is similar to range	nongold
52	the Sierra Nevada is a kind of mountain range	nongold
53	if something is located in some place , then the presence of that something can be found in that location	nongold
54	preserved means from the past; from long ago	nongold
55	an aquatic animal is a kind of animal	gold
56	a reptile is a kind of animal	nongold
57	water is a kind of substance	nongold
58	water is a part of an environment	nongold
59	underwater means below water	nongold
60	aquatic animal means water animal	gold
61	a mountain is a kind of land feature	nongold
62	the Alps are a kind of mountain range	nongold
63	a mammal is a kind of animal	nongold
64	a landform is a kind of place	nongold
65	a landform is a kind of place	nongold
66	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
67	remains mean parts of a dead organism	nongold
68	a mountain; hill is taller than the land around it	nongold
69	history occurred a long time ago	nongold
70	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
71	valley is located between mountains; hills	nongold
72	precipitation is when water falls from the sky	nongold
73	organisms can be found in their habitats	nongold
74	if something required by something else is in a place then that something else may be in that place	nongold
75	bones can be fossilized	nongold
76	an ocean is a kind of body of water	gold
77	the Himalayas are a kind of mountain range	nongold
78	hills are a kind of small mountain	nongold
79	sinkholes; caves are formed by precipitation; infiltration	nongold
80	contains means located in	nongold
81	region means place	nongold
82	if a fossil is of an organism that cannot be identified then that organism is probably extinct	nongold
83	a body of water is a kind of land feature	nongold
84	to discover means to find	nongold
85	place means area	nongold
86	water is a kind of nonliving thing	nongold
87	usually something can be found  near a source in greater concentrations	nongold
88	H2O means water	nongold
89	a region is a kind of location	nongold
90	a state is a kind of place	nongold
91	low is similar to decrease	nongold
92	water causes the most soil and rock erosion	nongold
93	once means one time	nongold
94	organisms mean life	nongold
95	weathering; erosion usually occurs over a period of many years	nongold
96	water is a kind of object	nongold
97	remains is similar to dead organisms	nongold
98	an environment is a kind of place	gold
99	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
