Question	Materials combine chemically or physically. Which materials form a new substance when chemically combined?	question
Answer	baking soda and vinegar	answer
0	combining; mixing two substances chemically causes chemical reactions	gold
1	baking soda can react chemically with vinegar	gold
2	vinegar is a kind of liquid	nongold
3	an mixture is formed by two or more substances combined together physically	nongold
4	chemical reactions cause new substances; different substances to form	gold
5	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
6	vinegar is a kind of solution of acetic acid and water	nongold
7	soda is a kind of carbonated beverage	nongold
8	soda water is a kind of carbonated beverage	nongold
9	An example of a solution is vinegar mixed with water	nongold
10	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
11	vinegar is a kind of acid	nongold
12	to add means to combine	nongold
13	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
14	a mixture is a kind of substance	nongold
15	to be a combination of means to be made of	nongold
16	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
17	cooking causes a chemical reaction	nongold
18	to be made of something means to be formed of that something	nongold
19	baking soda is a kind of solid	nongold
20	chemical reactions cause chemical change	nongold
21	material means substance	nongold
22	form means kind	nongold
23	baking is similar to cooking	nongold
24	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
25	chemicals means substances	nongold
26	chemical change is the opposite of physical change	nongold
27	substances have chemical properties	nongold
28	a physical reaction is a kind of process	nongold
29	if a substance is mixed with another substance then those substances will undergo physical change	nongold
30	the reaction between baking soda and vinegar is a kind of endothermic reaction	nongold
31	to make means to form	nongold
32	mixing baking soda; water causes an explosion	nongold
33	soft drink means soda	nongold
34	chemical change is a kind of chemical reaction	nongold
35	ethanol is a kind of substance	nongold
36	salt is a kind of pure substance	nongold
37	food is a kind of substance	nongold
38	compound is a kind of chemical	nongold
39	water is a kind of substance	nongold
40	water is a kind of compound	nongold
41	chemical reaction means chemical bonds change	nongold
42	a compound is made of two or more elements that have been chemically combined	nongold
43	baking is when a human makes food by adding heat	nongold
44	composed of means made of	nongold
45	a solution is a kind of mixture	nongold
46	the chemistry of something is similar to what that something is made of	nongold
47	objects are made of materials; substances; matter	nongold
48	when two substances together form a compound then those substances cannot be physically separated	nongold
49	a mixture usually is made of objects with different physical properties	nongold
50	to be formed by is similar to being produced by	nongold
51	An example of a chemical property is how a material reacts chemically	nongold
52	sodium chloride dissolves in water when they are combined	nongold
53	a liquid is a kind of substance	nongold
54	a solution is formed by one substance being dissolved in another substance	nongold
55	if an object undergoes chemical change then that object will have new chemical properties	nongold
56	a compound is a kind of material	nongold
57	to change into means to form	nongold
58	products are formed; are produced; are created	nongold
59	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
60	temperature is a measure of heat energy	nongold
61	a compound can be chemically separated into the elements that it is made of	nongold
62	An example of combining two substances is pouring one substance into the other substance	nongold
63	soda bottles are a kind of manufactured product	nongold
64	forming is similar to converting	nongold
65	combustion is a kind of chemical change	nongold
66	a beverage is a kind of food	nongold
67	to cause the formation of means to form	nongold
68	vinegar is acidic	nongold
69	all elements are a kind of pure substance	nongold
70	state means form	nongold
71	forming something is a kind of change	nongold
72	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
73	new means different from the former one	nongold
74	substances are made of elements	nongold
75	a beverage is a kind of liquid	nongold
76	can be means able to be	nongold
77	mixture means solids combined together that maintain their physical properties	nongold
78	to form means to create	nongold
79	a chemical reaction is a kind of process	nongold
80	sugar dissolves in water when they are combined	nongold
81	to fuse means to combine	nongold
82	flour is a kind of substance	nongold
83	a soda can is made of aluminum	nongold
84	gas is a kind of material	nongold
85	most chemical reactions release or absorb heat energy	nongold
86	made of is similar to contains	nongold
87	a solution is made of one substance dissolved in another substance	nongold
88	gas is a kind of substance	nongold
89	formation of a state of matter is a kind of process	nongold
90	a reaction is a kind of process	nongold
91	composition means the (materials, substances) of which something is composed	nongold
92	matter; materials; substances are made of atoms; particles	nongold
93	a compound is a kind of substance	nongold
94	make means produce	nongold
95	cooking is a kind of process	nongold
96	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
97	acid can cause chemical change	nongold
98	to add means to increase	nongold
99	a chemical compound is a kind of compound	nongold
