Question	Which of these will always produce a magnetic field?	question
Answer	an electric current	answer
0	electric currents produce magnetic fields	gold
1	electromagnets generate magnetic fields	nongold
2	current means electric current	nongold
3	electrical current means electrical energy	nongold
4	a magnet moving in a coil of copper wire can cause an electric current	nongold
5	emit means produce	nongold
6	a source of something emits; produces; generates; provides that something	nongold
7	moving a coil of wire in the magnetic field generates electrical current	nongold
8	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
9	if something causes an increase in something else then that something produces that something else	nongold
10	passing a magnet through a closed loop of wire generates an electric current	nongold
11	an electromagnet is a kind of electric magnet	nongold
12	a magnet is a kind of object	nongold
13	electricity means electrical energy	nongold
14	generate means produce	nongold
15	electricity is made of moving charges; moving charged particles	nongold
16	steel; carbon steel is always ferromagnetic; magnetic	nongold
17	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
18	soft iron; iron is always ferromagnetic; magnetic	nongold
19	producing is similar to causing	nongold
20	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
21	converting is similar to producing	nongold
22	Magnetite is always magnetic	nongold
23	metal is sometimes magnetic	nongold
24	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
25	magnetic force means magnetism	nongold
26	a magnetic field is a kind of force	nongold
27	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
28	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
29	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
30	Siderite is always magnetic	nongold
31	a resistor is used to control the amount of current in the electric circuit	nongold
32	to change means to cause a change	nongold
33	magnetic energy is a kind of energy	nongold
34	metal is an  electrical; electrical energy conductor	nongold
35	cobalt is always ferromagnetic; magnetic	nongold
36	an electromagnet is a kind of device	nongold
37	an electromagnet contains a wire; cylindrical ferrous metal	nongold
38	to be a source of something means to cause that something	nongold
39	to produce means to provide	nongold
40	hematite is always ferromagnetic; magnetic	nongold
41	to give off means to be the source of	nongold
42	magnetism is a kind of energy	nongold
43	electrical energy is a kind of energy	nongold
44	Magnetoplumbite is always magnetic	nongold
45	matter; materials; substances are made of atoms; particles	nongold
46	make means produce	nongold
47	electric devices require electrical energy to function	nongold
48	magnetism is a kind of physical property	nongold
49	electromagnets can be powered by electricity	nongold
50	the core of an electromagnet is the metal	nongold
51	when an electrical circuit is working properly , electrical current runs through that circuit; the wires in that circuit	nongold
52	if something transfers something else then that something is a source of something else	nongold
53	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
54	a larger power source provides more current to a wire; a conductor; an electromagnet	nongold
55	to be formed by is similar to being produced by	nongold
56	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
57	Chromferide is always magnetic	nongold
58	electricity is used as an energy source by electrical devices	nongold
59	magnetism is a kind of force	nongold
60	a magnet contains a north pole; south pole	nongold
61	Epsomite is always magnetic	nongold
62	iron is always magnetic	nongold
63	a device is a kind of object	nongold
64	chromium is always nonmagnetic	nongold
65	variable means able to change	nongold
66	substances are made of matter	nongold
67	completing a circuit causes electricity; electric current to flow  through that circuit	nongold
68	if something releases something else then that something is the source of that something else	nongold
69	Franklinite is always magnetic	nongold
70	both means two	nongold
71	Trevorite is always magnetic	nongold
72	if something generates energy for something else then that something powers that something else	nongold
73	phase means state	nongold
74	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
75	a complete electrical circuit is a source of  electrical energy	nongold
76	affected means changed	nongold
77	producing is similar to releasing	nongold
78	a switch is used to start; stop the flow of current by  closing; opening the electric circuit	nongold
79	to produce means to create	nongold
80	Epidote is always magnetic	nongold
81	nickel is always ferromagnetic; magnetic	nongold
82	electrical devices are used for industrial purposes; household purposes by humans	nongold
83	can be means able to be	nongold
84	answering questions requires information	nongold
85	a circuit is a kind of electrical component	nongold
86	events occur at a specific place; at a specific time; with a specific frequency	nongold
87	a change is a kind of event	nongold
88	a generator is a kind of  device	nongold
89	convert is similar to transfer	nongold
90	material means substance	nongold
91	as the current supplied to an electromagnet increases , the strength of the electromagnet will increase	nongold
92	to convert means to change	nongold
93	to conduct is similar to to transfer	nongold
94	Platinum is always magnetic	nongold
95	to be used for something means to be required by that something	nongold
96	if something contains a large amount of magnetic material then that something will attract magnets	nongold
97	to add means to increase	nongold
98	objects are made of materials; substances; matter	nongold
99	copper is always nonmagnetic	nongold
