Question	Bones support the body. What pulls and pushes on bones to move them?	question
Answer	muscles	answer
0	muscles push; pull bones to move the bones	gold
1	pushing is a kind of motion	nongold
2	pulling is a kind of motion	nongold
3	a bone is a part of a body	nongold
4	push is a kind of force; application of force	nongold
5	pushing something can cause that something  to move	nongold
6	muscular movement helps animals move	nongold
7	pushing an object requires force	nongold
8	mechanical energy exerted by an object can be used to push or pull another object	nongold
9	a force is a kind of push or pull on an object	nongold
10	motion; movement means moving; to move	nongold
11	an animal is a kind of living thing	nongold
12	a pull is a kind of force	nongold
13	a living thing is a kind of object	nongold
14	a bone is a part of some animals	nongold
15	a skeletal system is a part of an animal for providing support; providing shape; providing protection	nongold
16	the muscular system is a kind of body; organ system	nongold
17	the muscular system contains muscles	nongold
18	muscle tissue is a kind of tissue	nongold
19	to anchor means to provide support	nongold
20	a motion is a kind of event; action	nongold
21	a human is a kind of animal	nongold
22	mechanical energy is used to move something by animals	nongold
23	a part of a living thing is a natural structure	nongold
24	the body is a part of an organism	nongold
25	an animal is a kind of organism	nongold
26	a skeletal system is a part of an animal	nongold
27	limbs are part of an animal	nongold
28	an organism is a living thing	nongold
29	the skeleton is a part of the skeletal system	nongold
30	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
31	bone is hard	nongold
32	an arm is a kind of limb	nongold
33	lowering is a kind of motion	nongold
34	moving something is a kind of function	nongold
35	skeletal system is made of bones	nongold
36	a limb often contains bones	nongold
37	kinetic energy is a kind of mechanical energy	nongold
38	the skeletal system is a kind of body system	nongold
39	breaking a part of the body means breaking a bone in that part of the body	nongold
40	the skeletal system gives structure to the body in animals	nongold
41	a body part is a kind of object	nongold
42	internal organs are a part of the body	nongold
43	to lift means to move up	nongold
44	squeezing is a kind of action	nongold
45	an increase is a kind of change	nongold
46	an animal requires energy to move	nongold
47	an object is made of its parts	nongold
48	a pulley is used for lifting; lowering objects	nongold
49	as the mass of an object increases , the force required to push that object will increase	nongold
50	the body of an animal contains arteries; veins	nongold
51	producing thrust causes something; an animal; an object to move	nongold
52	motion is a source of kinetic energy in an object	nongold
53	An example of mechanical energy is an object in motion	nongold
54	raising is a kind of motion	nongold
55	resistances are a property of living things	nongold
56	a kick is a kind of push	nongold
57	mechanical energy can  cause objects to move	nongold
58	bone cells are a part of the body	nongold
59	anatomy studies the body structure of organisms	nongold
60	a structure of something is synonymous with a part of that something	nongold
61	muscle cells are a part of muscles	nongold
62	a landform is a kind of object	nongold
63	a living thing is made of cells	nongold
64	movement is a kind of change	nongold
65	sliding is a kind of motion	nongold
66	an part of an object is smaller than the entire object	nongold
67	an event is a kind of action	nongold
68	objects are made of materials; substances; matter	nongold
69	a spine is a kind of object	nongold
70	sliding is a kind of movement	nongold
71	mechanical force is a kind of mechanical energy	nongold
72	a source of something emits; produces; generates; provides that something	nongold
73	distance moved; distance travelled is a measure of how far an object moves	nongold
74	bending is a kind of change of shape	nongold
75	breaking down is a kind of function	nongold
76	contracting is a kind of movement	nongold
77	a weight is a kind of object	nongold
78	the function of something is what that something  is used to do	nongold
79	a process is a kind of event	nongold
80	An example of an object with kinetic energy is an object in motion	nongold
81	a component means a part of	nongold
82	arms are a part of a person's body for manipulating objects	nongold
83	Weight is  the  force of gravity acting on an object	nongold
84	rolling is a kind of motion	nongold
85	providing support is a kind of function	nongold
86	An example of exerting force on an object is lifting an object	nongold
87	broken bones require healing	nongold
88	low means down	nongold
89	high is similar to increase	nongold
90	rotation is a kind of motion	nongold
91	a flipper is a kind of limb	nongold
92	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
93	a component of something means a part of that something	nongold
94	nutrients are a kind of matter	nongold
95	weight means the force of gravity acting on an object	nongold
96	a surface is a part of an object	nongold
97	strength is a property of an object; a material	nongold
98	life means living things	nongold
99	compression is a kind of stress	nongold
