Question	Which of these is a nonliving part of a forest?	question
Answer	Soil	answer
0	soil is a kind of nonliving thing	gold
1	nonliving means not living	nongold
2	a forest is a kind of environment	gold
3	a forest is a kind of ecosystem	nongold
4	soil is usually part of an environment	gold
5	roots are a part of a plant; tree	nongold
6	woodland means forest	nongold
7	water is a kind of nonliving thing	nongold
8	soil is a part of the ground outside	nongold
9	an ecosystem contains nonliving things	nongold
10	a forest contains  lots of plants; trees	nongold
11	forest is synonymous with wooded area	nongold
12	a plant is a kind of living thing	gold
13	nonliving; non-living; die is the opposite of living; alive; live	nongold
14	an animal is a kind of living thing	gold
15	often soil is found in an environment	nongold
16	An example of an environment is a forest; a river; a grassland; an ocean	nongold
17	a part of something means a characteristic of something	nongold
18	soil contains nutrients for plants	nongold
19	some animals live in forests	nongold
20	a plant requires soil for survival; to grow	nongold
21	a plant is a kind of organism	nongold
22	organisms are a part of an environment	nongold
23	soil is a kind of material	nongold
24	a tree is a kind of living thing	nongold
25	all living and nonliving materials are made of elements	nongold
26	plant parts are made of plants	nongold
27	unit is similar to part	nongold
28	vegetation means plants	nongold
29	plants are a part of the environment	nongold
30	the ground is part of the Earth	nongold
31	abiotic means nonliving	nongold
32	nonliving things are not made of cells	nongold
33	an organism is a living thing	nongold
34	an animal is a kind of organism	nongold
35	soil is found on the surface of the Earth	nongold
36	a component means a part of	nongold
37	a fungus is a kind of organism	nongold
38	a component of something means a part of that something	nongold
39	a tree is a kind of plant	gold
40	a structure of something is synonymous with a part of that something	nongold
41	a fungus is a kind of living thing	gold
42	air is a kind of nonliving thing	nongold
43	a whole is formed by its parts	nongold
44	a part of a living thing is a natural structure	nongold
45	a plant; living thing requires food for survival	nongold
46	aspect of something is similar to part of something	nongold
47	an object is made of its parts	nongold
48	an environment means an area	nongold
49	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
50	an animal; living thing requires nutrients for survival	nongold
51	objects in an environment are a part of that environment	nongold
52	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
53	a living thing is a kind of object	nongold
54	a rain forest is a kind of forest	nongold
55	if something is a part of something else then that something else contains that something	nongold
56	answering questions requires information	nongold
57	a plant is a member of a plant species	nongold
58	a tree is a kind of habitat	nongold
59	a tree contains wood	nongold
60	a seed is a part of a plant	nongold
61	a tree is a kind of matter	nongold
62	if something is a part of something then that something can be found in that something	nongold
63	all the other means the rest of	nongold
64	water is a part of an environment	nongold
65	a part of a process means a stage in a process	nongold
66	species means a group of like organisms	nongold
67	if an object is made of something then the parts of that object are made of that something	nongold
68	a leaf is a part of a tree	nongold
69	soil is made of solid particles	nongold
70	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
71	dirt means soil	nongold
72	a branch is a part of a tree	nongold
73	a plant; living thing requires nutrients to grow	nongold
74	an environment is similar to an ecosystem	nongold
75	a human is a kind of animal	nongold
76	life means living things	nongold
77	rock is a kind of nonliving thing	nongold
78	carnivores; omnivores; herbivores are a kind of animal	nongold
79	made of is similar to contains	nongold
80	an ecosystem contains a large community of; large numbers of living organisms	nongold
81	an ecosystem is a kind of habitat	nongold
82	a mammal is a kind of animal	nongold
83	a leaf is a part of a  green plant	nongold
84	a mushroom is a kind of fungus	gold
85	bacteria is a part of soil	nongold
86	a part of something is present in that something	nongold
87	a plants; living things require water for survival; to grow	nongold
88	a field contains soil	nongold
89	soil contains water; humus; weathered rocks; organic matter	nongold
90	an animal is a member of an animal species	nongold
91	a type is synonymous with a kind	nongold
92	to give is similar to to cause	nongold
93	biotic means living	nongold
94	land is a kind of environment	nongold
95	each is similar to individual	nongold
96	made up of means contains; made of	nongold
97	plant and animal matter means organic matter	nongold
98	soil erosion is a kind of slow; natural process	nongold
99	a shrub is a kind of plant	nongold
