Question	Some materials are electrical conductors. Which material best conducts electricity?	question
Answer	copper	answer
0	a good conductor is a conductor	nongold
1	metal is an  electrical; electrical energy conductor	gold
2	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
3	metal is a thermal; thermal energy conductor	nongold
4	a thermal conductor is made of materials that conduct thermal energy	nongold
5	best means most positive	nongold
6	conductivity is a property of a material; substance	nongold
7	electricity means electrical energy	gold
8	an insulator is the opposite of a conductor	gold
9	rubber is thermal;thermal energy insulator	gold
10	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
11	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
12	copper is a kind of metal	gold
13	better means good	nongold
14	electricity is used as an energy source by electrical devices	nongold
15	An electrical conductor is a vehicle for the flow of electricity	nongold
16	conductivity is a measure of how easily electricity travels through a material	nongold
17	wiring requires an electrical conductor	nongold
18	metal is a kind of material	gold
19	good means positive	nongold
20	plastic is a kind of electrical insulator	nongold
21	plastic is usually an electrical insulator	gold
22	plastic is a kind of thermal insulator	nongold
23	conductivity is a kind of physical property	nongold
24	a source of something emits; produces; generates; provides that something	nongold
25	heat means heat energy	nongold
26	material means substance	nongold
27	objects are made of materials; substances; matter	nongold
28	aluminum is a kind of metal	nongold
29	water is an thermal; thermal energy conductor	nongold
30	a wire is a part of an electrical circuit for conducting electricity	nongold
31	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
32	to be good for means to have a positive impact on	nongold
33	insulator means good insulator	nongold
34	wax is an electrical; electrical energy insulator	nongold
35	an insulator is a kind of material	nongold
36	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
37	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
38	helping something has a  positive impact on that something	nongold
39	a heating element converts electrical energy; electricity into heat energy for heating	nongold
40	metals usually have greater; higher conductivity than nonmetals	nongold
41	a source of heat can be used to heat something	nongold
42	a source of heat can be used to heat something	nongold
43	copper is a kind of element	nongold
44	wood is a thermal; thermal energy insulator	nongold
45	wood is an thermal; thermal energy insulator	gold
46	rubber is a kind of nonmetal	nongold
47	brick is an electrical; electrical energy insulator	nongold
48	heating means adding heat	nongold
49	metal is a kind of substance	nongold
50	electrical devices are used for industrial purposes; household purposes by humans	nongold
51	an element is a kind of material	nongold
52	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
53	all elements are a kind of pure substance	nongold
54	copper is always nonmagnetic	nongold
55	electricity sometimes is used for heating buildings; substances	nongold
56	temperature is a measure of heat energy	nongold
57	iron is a kind of metal	nongold
58	an object; material; substance comes from that object or material's source	nongold
59	steel is a kind of metal	nongold
60	if an object is made of a material then that object has the properties of that material	nongold
61	rubber is a kind of material	nongold
62	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
63	zinc is a kind of metal	nongold
64	metals are made of metal	nongold
65	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
66	electric devices require electrical energy to function	nongold
67	conducting is similar to exchanging	nongold
68	heat means the transfer of thermal energy	nongold
69	conduction is a kind of process	nongold
70	electrical current means electrical energy	nongold
71	a thermal insulator slows; prevents the transfer of heat	nongold
72	a complete electrical circuit is a source of  electrical energy	nongold
73	if something is places over a heat source then that something is exposed to that heat source	nongold
74	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
75	to conduct is similar to to transfer	nongold
76	substances are made of elements	nongold
77	aluminum is a kind of matter	nongold
78	a larger power source provides more current to a wire; a conductor; an electromagnet	nongold
79	nonmetal means not metal	nongold
80	to give off means to be the source of	nongold
81	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
82	materials are made of matter	nongold
83	absorbing energy causes objects; materials; substances to heat	nongold
84	if something transfers something else then that something is a source of something else	nongold
85	emit means produce	nongold
86	thermal conduction is when heat flows from warmer object to cooler object	nongold
87	substances are made of matter	nongold
88	soft iron; iron is always ferromagnetic; magnetic	nongold
89	aluminum is a kind of element	nongold
90	copper is a kind of transition metal	nongold
91	a metal is a kind of element	nongold
92	metal is sometimes magnetic	nongold
93	tungsten is a kind of metal	nongold
94	ceramic is a kind of material	nongold
95	electrical insulation requires wrapping a conductor in an insulator	nongold
96	nonmetal means nonmetals	nongold
97	electrical signals are made of electrical energy	nongold
98	a device is a kind of object	nongold
99	heat is a kind of energy	nongold
