Question	Since green plants make their own food, they are called	question
Answer	producers	answer
0	a producer is a kind of living thing	nongold
1	producer is a kind of role in the food chain process; in an ecosystem	nongold
2	green plants are a kind of producer	gold
3	a producer produces its own food	nongold
4	green plants provide food for themselves; animals; consumers by performing photosynthesis	gold
5	In the food chain process a  green plant has the role of  producer	nongold
6	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	make means produce	nongold
9	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
10	producing is a kind of process	nongold
11	to produce means to provide	nongold
12	production is similar to making	nongold
13	emit means produce	nongold
14	a consumer can not produce its own food	nongold
15	products are formed; are produced; are created	nongold
16	producing is similar to causing	nongold
17	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
18	producing is a kind of function	nongold
19	converting is similar to producing	nongold
20	producing is similar to releasing	nongold
21	an animal is a kind of consumer	nongold
22	In the food chain process some types of plankton have the role of producer	nongold
23	a consumer is a kind of organism	nongold
24	a producer is a source of energy for consumers	nongold
25	a leaf is a part of a  green plant	nongold
26	a producer is a source of sugar; food energy in an ecosystem	nongold
27	a plant; living thing requires food for survival	nongold
28	to contribute is similar to produce	nongold
29	produce is similar to release	nongold
30	producers pass materials they use through the food chain	nongold
31	to produce means to create	nongold
32	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
33	plant reproduction; seed production requires pollination	nongold
34	provide is similar to give; make	nongold
35	a plant is a kind of organism	nongold
36	a plant is a kind of living thing	nongold
37	an organism is a living thing	nongold
38	a vegetable is a kind of plant	nongold
39	living things eat their food source	nongold
40	a food web is made of organisms that consume other organisms; that produce their own food	nongold
41	a product is a kind of object	nongold
42	to be used for something means to be required by that something	nongold
43	an animal; living thing requires nutrients for survival	nongold
44	if a plant dies then that plant will not produce food	nongold
45	if something is a raw material in a process then that something is required for that process	nongold
46	to cause means to make	nongold
47	an animal is a kind of organism	nongold
48	generate means produce	nongold
49	to produce means to result in	nongold
50	an animal is a kind of living thing	nongold
51	a tree is a kind of plant	nongold
52	a food contains nutrients for living things	nongold
53	a leaf is a kind of plant	nongold
54	to eat means to consume food	nongold
55	a role in the ecosystem is a role in the food chain process	nongold
56	development is similar to production	nongold
57	a part of a process means a stage in a process	nongold
58	crops are a kind of edible plant for eating	nongold
59	organisms mean life	nongold
60	a vegetable is a kind of food	nongold
61	if an organism produces a substance then that organism has a gene that controls the production of that substance	nongold
62	a stem is often a part of plant	nongold
63	usually plants store the food they produce for future use	nongold
64	green marine algae are a kind of producer	nongold
65	a diatom is a kind of producer	nongold
66	a  plant requires sunlight for photosynthesis	nongold
67	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
68	a process is a kind of event	nongold
69	answering questions requires information	nongold
70	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
71	a plant; living thing requires nutrients to grow	nongold
72	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
73	if something causes an increase in something else then that something produces that something else	nongold
74	vegetation means plants	nongold
75	food is a kind of object	nongold
76	synthesize means to make	nongold
77	an organism eating is a kind of action	nongold
78	person is synonymous with human	nongold
79	making something requires resources	nongold
80	life means living things	nongold
81	food is what an animal eats	nongold
82	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
83	processes sometimes produce waste products	nongold
84	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
85	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
86	to provide something means to be the source of that something	nongold
87	an animal needs to eat food for nutrients	nongold
88	a process usually requires all of the stages in that process	nongold
89	producing is similar to discharging	nongold
90	a leaf is a part of a tree	nongold
91	an event is a kind of action	nongold
92	food is a source of energy for animals; plants	nongold
93	if something causes a process then that something is required for that process	nongold
94	to create means to make	nongold
95	a tree is a kind of living thing	nongold
96	a living thing is a kind of object	nongold
97	providing something means making;delivering something	gold
98	a human is a kind of animal	nongold
99	cooking is a kind of process	nongold
