Question	Which of the following is an example of a physical change?	question
Answer	breaking a glass	answer
0	An example of a physical change is breaking an object	gold
1	glass is a kind of solid at room temperature	nongold
2	physical state means state of matter	nongold
3	state of matter means physical state	nongold
4	if something undergoes a physical change then the physical properties of that something will change	nongold
5	glass is a kind of object	gold
6	a kind of something is an example of that something	nongold
7	liquid is a kind of state of matter	nongold
8	solid is a kind of state of matter	nongold
9	glass is a kind of material	nongold
10	a phase change is a kind of physical change	nongold
11	when something breaks , a crack may form in that something	nongold
12	chemical change is the opposite of physical change	nongold
13	substances are made of matter	nongold
14	matter; materials; substances are made of atoms; particles	nongold
15	state of matter is a kind of physical property	nongold
16	glass is a kind of open container	nongold
17	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
18	materials are made of matter	nongold
19	to break down means to break into smaller pieces	nongold
20	water is a kind of matter	nongold
21	a glass contains water	nongold
22	breaking down an object changes that object's shape and that object's mass	nongold
23	state of matter at room temperature is a kind of physical property	nongold
24	objects are made of materials; substances; matter	nongold
25	an increase is a kind of change	nongold
26	a physical property is a kind of property	nongold
27	freezing is a kind of phase change	nongold
28	a crack is a kind of opening	nongold
29	glass is always nonmagnetic	nongold
30	matter is made of molecules	nongold
31	break down means change from a whole into pieces	nongold
32	a physical reaction is a kind of process	nongold
33	if a substance is mixed with another substance then those substances will undergo physical change	nongold
34	a change is a kind of event	nongold
35	water is a kind of liquid at room temperature	nongold
36	breaking down into pieces is a kind of change in shape	nongold
37	particles in objects are a kind of matter	nongold
38	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
39	surfaces sometimes cause objects to break	nongold
40	if something breaks , then that something cannot be used	nongold
41	glass is recyclable	nongold
42	breaking a part of the body means breaking a bone in that part of the body	nongold
43	breaking down is a kind of forming	nongold
44	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
45	gas is a kind of state of matter	nongold
46	if a glass expands too rapidly , then the glass will break	nongold
47	An example of hitting something is dropping an object onto that something	nongold
48	melting is a kind of phase change	nongold
49	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
50	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
51	glass is a kind of medium	nongold
52	a chemical property is the opposite of a physical property	nongold
53	ice is a kind of solid	nongold
54	aluminum is a kind of matter	nongold
55	crystal is a kind of  solid	nongold
56	plasma is a kind of state of matter	nongold
57	a solid is a kind of substance	nongold
58	hitting is a kind of motion	nongold
59	glass is a kind of product	nongold
60	a motion is a kind of event; action	nongold
61	sliding is a kind of motion	nongold
62	separate is similar to break down	nongold
63	Matter in the solid phase has definite shape	nongold
64	glass; objects made of glass cause refraction of light	nongold
65	movement is a kind of change	nongold
66	water expanding when it freezes is a physical property of water	nongold
67	conductivity is a kind of physical property	nongold
68	An example of mechanical energy is an object in motion	nongold
69	An example of a chemical change is acid breaking down substances	nongold
70	a liquid is a kind of substance	nongold
71	atoms are made of particles	nongold
72	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
73	if something is strong then that something  does not break easily	nongold
74	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
75	a metal is usually a solid at room temperature	nongold
76	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
77	an event is a kind of action	nongold
78	sliding is a kind of movement	nongold
79	formation of a state of matter is a kind of process	nongold
80	hitting something causes harm to that something	nongold
81	state means form	nongold
82	water is a kind of substance	nongold
83	mass is a kind of physical property	nongold
84	a magnetic field is a kind of force	nongold
85	Matter in the liquid phase has variable shape	nongold
86	heat energy can change the state of matter	nongold
87	cracking something usually has a negative impact on that something	nongold
88	ice is a kind of object	nongold
89	pulling is a kind of motion	nongold
90	to bang means to hit	nongold
91	cracking something may cause that something  to break apart	nongold
92	glass bottles are made of glass	nongold
93	as state of matter changes , mass will not change	nongold
94	metal is a kind of substance	nongold
95	motion; movement means moving; to move	nongold
96	a ball is a kind of object	nongold
97	matter; energy is always conserved in any physical or chemical process	nongold
98	mechanical energy is a kind of energy	nongold
99	magnetic force means magnetism	nongold
