Question	Which type of energy is found in fossil fuels?	question
Answer	chemical	answer
0	fossil fuel contains chemical energy	gold
1	fuel contains chemical energy	nongold
2	to be found in means to be contained in	gold
3	hydrogen contains chemical energy	nongold
4	a type is synonymous with a kind	gold
5	if something is a part of something then that something can be found in that something	nongold
6	fuel is a source of energy	nongold
7	petroleum is a kind of fossil fuel	nongold
8	fuel is a kind of energy source	nongold
9	chemical energy is a kind of energy	gold
10	fossil fuels are a kind of energy resource	nongold
11	heat is a kind of energy	nongold
12	oil is a kind of fossil fuel	nongold
13	natural gas is a kind of fossil fuel	nongold
14	a fossil fuel is a kind of natural resource	nongold
15	oil is a source of energy	nongold
16	if something is a source of something else then that something usually contains that something else	nongold
17	gasoline is a source of chemical energy	nongold
18	if something is a part of something else then that something else contains that something	nongold
19	carbohydrates store chemical energy	nongold
20	resources sometimes are used for energy	nongold
21	objects contain chemical energy	nongold
22	made up of means contains; made of	nongold
23	if something is made of something; a material then that something contains that something; that material	nongold
24	an energy source is a kind of resource	nongold
25	combustion means fire converts chemical energy into light energy and heat energy	nongold
26	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
27	thermal energy is a kind of energy	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	food is a kind of chemical energy	nongold
30	found in means existing in	nongold
31	made of is similar to contains	nongold
32	oil is a kind of energy resource	nongold
33	a fuel is used to make energy	nongold
34	contain is similar to store	nongold
35	fossil fuels; fossils are formed from dead organisms over time	nongold
36	photosynthesis stores; captures energy	nongold
37	gasoline is a kind of chemical power source	nongold
38	nuclear energy is a kind of energy	nongold
39	to discover means to find	nongold
40	most chemical reactions release or absorb heat energy	nongold
41	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
42	chemical energy is a kind of potential energy	nongold
43	to contain means to have inside	nongold
44	photosynthesis is a kind of chemical  process	nongold
45	fossil fuels are a nonrenewable resource	nongold
46	a battery contains chemical energy	nongold
47	cellular energy is a kind of chemical energy	nongold
48	to contain something means to have that something	nongold
49	gasoline is a kind of fuel	nongold
50	combustion is a kind of chemical change	nongold
51	contains means located in	nongold
52	electrical energy is a kind of energy	nongold
53	photosynthesis is a kind of chemical reaction	nongold
54	coal is a kind of fossil fuel	nongold
55	emit means produce	nongold
56	chemical reactions cause chemical change	nongold
57	the bonds of chemical compounds contain chemical energy	nongold
58	respiration releases energy	nongold
59	answering questions requires information	nongold
60	heat means heat energy	nongold
61	uranium is a kind of energy resource	nongold
62	fossil fuels have high potential energy	nongold
63	if something contains something , then something is able to provide something	nongold
64	burning gasoline is a source of  heat energy	nongold
65	an object; material; substance comes from that object or material's source	nongold
66	sulfur dioxide is formed by the combustion of fossil fuels	nongold
67	if something absorbs something else then that something will contain that something else	nongold
68	substances have chemical properties	nongold
69	hydrogen is a kind of element	nongold
70	natural gas is a source of heat by burning	nongold
71	natural resources are found in nature	nongold
72	a producer is a source of energy for consumers	nongold
73	if something comes from something else then that something else is a source of that something	nongold
74	coal is a kind of fuel	nongold
75	hydrogen is a kind of gas at room temperature	nongold
76	carbon is a kind of element	nongold
77	biomass is a kind of energy source	nongold
78	heat energy is synonymous with thermal energy	nongold
79	solar energy is a kind of energy	nongold
80	if something releases something else then that something is the source of that something else	nongold
81	renewable is the opposite of nonrenewable	nongold
82	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
83	combining; mixing two substances chemically causes chemical reactions	nongold
84	all elements are a kind of pure substance	nongold
85	a supply of something is a source of that something	nongold
86	a process is a kind of event	nongold
87	to give off means to be the source of	nongold
88	a component of something means a part of that something	nongold
89	energy transformation means one kind of energy changes into another kind of energy	nongold
90	oil is a nonrenewable resource	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	compound is a kind of chemical	nongold
93	powering is similar to fueling	nongold
94	substances contain chemical bond energy	nongold
95	matter; energy is always conserved in any physical or chemical process	nongold
96	biofuel is a kind of fuel	nongold
97	matter; materials; substances are made of atoms; particles	nongold
98	chemical change is a kind of chemical reaction	nongold
99	automobiles; industrialization are a source of carbon dioxide	nongold
