Question	Which human body system attacks viruses and bacteria once they have invaded the body?	question
Answer	immune	answer
0	the immune system attacks; gets rid of bacteria; viruses once they have invaded the body	gold
1	bacteria is a kind of pathogen sometimes	nongold
2	the immune system is a kind of body; human body system	gold
3	the immune system defends the body against disease	nongold
4	virus is a kind of living thing	nongold
5	bacteria is a kind of living thing	nongold
6	a bacterium is a kind of organism	nongold
7	bacteria sometimes cause disease	nongold
8	bacteria; viruses cause food poisoning	nongold
9	a human is a kind of animal	nongold
10	a bacterium is a kind of decomposer	nongold
11	a body system is a part of the body; an animal	nongold
12	a decomposer is usually a bacterium; fungus	nongold
13	organ system means body system	nongold
14	an animal is a kind of organism	nongold
15	human is a kind of organism	nongold
16	an animal is a kind of living thing	nongold
17	an organism is a living thing	nongold
18	pathogen is similar to harmful substance	nongold
19	an autoimmune disease is when the body attacks its own tissues	nongold
20	white blood cell destroys pathogens in the body	nongold
21	the body is a part of an organism	nongold
22	microorganisms can cause infections	nongold
23	disease-causing microbes have a negative impact on the body	nongold
24	a disordered immune system causes autoimmune diseases	nongold
25	pathogens can cause disease	nongold
26	infection often requires medical treatment	nongold
27	person is synonymous with human	nongold
28	In the food chain process bacteria have the role of decomposer	nongold
29	the excretory system is a kind of body system	nongold
30	bacteria is a part of soil	nongold
31	vaccines are a source of long-term immunity against some diseases for the human body	nongold
32	white blood cells are a part of the immune system	nongold
33	a decomposer is a kind of living thing	nongold
34	a body system is a kind of object	nongold
35	adding heat to something kills viruses; bacteria in that something	nongold
36	harming something has a  negative impact on; effect on that something	nongold
37	once means one time	nongold
38	a human is a kind of mammal	nongold
39	a fungus is a kind of organism	nongold
40	disease has a negative impact on an organism	nongold
41	a worm is a kind of animal	nongold
42	organisms mean life	nongold
43	an animal; living thing requires nutrients for survival	nongold
44	a mammal is a kind of animal	nongold
45	cells are a part of the body	nongold
46	organisms are a part of an environment	nongold
47	bacteria can help digest food in humans	nongold
48	a human cell is a kind of cell	nongold
49	death means to die	nongold
50	killing means harming something causing death	nongold
51	once-living means dead	nongold
52	a worm is a kind of decomposer	nongold
53	an event is a kind of action	nongold
54	harming an organism can cause that organism to die	nongold
55	cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses	nongold
56	the function of something is what that something  is used to do	nongold
57	a predator is a kind of animal	nongold
58	internal organs are a part of the body	nongold
59	the digestive system is a kind of body; human system	nongold
60	a fungus is a kind of living thing	nongold
61	a worm is a kind of living thing	nongold
62	a living thing is made of cells	nongold
63	killing means changing a living thing from alive to dead by harming	nongold
64	a person is a kind of animal	nongold
65	form is similar to body	nongold
66	specialized cells are a source of chemicals that destroy disease-causing microbes	nongold
67	an animal cell is a kind of cell	nongold
68	a plant is a kind of organism	nongold
69	a microorganism is a kind of decomposer	nongold
70	a germ is a kind of harmful substance	nongold
71	bacteria is small; microscopic in size	nongold
72	the integumentary system is a kind of body; organ system	nongold
73	reducing bacteria in food prevents illness in people	nongold
74	animals are a part of the biological kingdom Animalia	nongold
75	good bacteria grow on the skin; a human's skin	nongold
76	form means kind	nongold
77	good bacteria have a positive impact on a living thing's survival; health	nongold
78	disease means illness	nongold
79	dead organisms are a source of disease	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	sneezing is used for getting rid of bacteria; viruses by the body	nongold
82	requiring is similar to needing help	nongold
83	eating an animal; a plant means killing that animal; that plant	nongold
84	a living thing is a kind of object	nongold
85	can be means able to be	nongold
86	an animal; bacterium requires oxygen for survival; to breathe	nongold
87	the respiratory system is a kind of human; organ; body system	nongold
88	biotic means living	nongold
89	destroying is a kind of function	nongold
90	system means a set of objects	nongold
91	dead organisms are the source of nutrients for decomposers	nongold
92	helping something has a  positive impact on that something	nongold
93	irradiating food can be used to kill existing microorganisms in the food	nongold
94	bacteria can cause people to become ill	nongold
95	a body cell means a somatic cell	nongold
96	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
97	an animal needs to eat food for nutrients	nongold
98	survive means live	nongold
99	survive means live	nongold
