Question	Delilah put a container of water in the freezer and left it there overnight. The next morning she saw that the water in the container had changed to ice. Which of the following statements best explains why the water changed to ice?	question
Answer	Heat was taken away from the water.	answer
0	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
1	take away means decreasing	gold
2	a freezer; refrigerator is cool; cold in temperature	nongold
3	temperature is a measure of heat energy	nongold
4	ice is a kind of solid	nongold
5	ice is cold in temperature	nongold
6	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
7	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
8	ice is colder than water in temperature	nongold
9	cooling;colder means removing;reducing;decreasing heat;temperature	gold
10	heating means adding heat	nongold
11	heat means heat energy	nongold
12	ice is a kind of object	nongold
13	freezing is a kind of phase change	nongold
14	a container contains objects; material; substances	nongold
15	freezing means cold temperatures	nongold
16	a freezer is used for cooling things	gold
17	water is a kind of liquid at room temperature	gold
18	heat means temperature increases	nongold
19	to move away means to increase distance	nongold
20	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
21	cold means low in temperature	nongold
22	a container is a kind of object	nongold
23	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
24	freezing causes a solid to form	nongold
25	frozen means solid	nongold
26	water is a kind of substance	nongold
27	apart means away	nongold
28	something in a cold place becomes cold	nongold
29	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
30	take in means absorb	nongold
31	to lower means to decrease	nongold
32	ice is a kind of food	nongold
33	near; close is the opposite of far; away	nongold
34	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
35	to turn means to change	nongold
36	best means most positive	nongold
37	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
38	to remain means to not change	nongold
39	to add means to increase	nongold
40	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
41	an increase is a kind of change	nongold
42	to reduce means to decrease	nongold
43	to give off means to be the source of	nongold
44	colder; cooler means lower in temperature	nongold
45	toward is the opposite of away	nongold
46	a human is a kind of animal	nongold
47	to change means to become different	nongold
48	snow is a kind of ice	nongold
49	changed is the opposite of unchanged	nongold
50	an increase is the opposite of a decrease	nongold
51	contents means the substance in a container	nongold
52	unchanged means not changed	nongold
53	a body of water is a source of water	nongold
54	distant means far away	nongold
55	a liquid is a kind of substance	nongold
56	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
57	taking is the opposite of giving; leaving	nongold
58	if something transports something else then that something removes that something else from a place	nongold
59	heating is the opposite of cooling	nongold
60	water is a kind of object	nongold
61	to retain means to not change	nongold
62	to change means to cause a change	nongold
63	water is a part of an environment	nongold
64	temperature changing can cause phase changes	nongold
65	moving away from the source increases the distance	nongold
66	a solid is a kind of substance	nongold
67	an object; material; substance comes from that object or material's source	nongold
68	where something  comes from is a source of that something	nongold
69	water is a kind of matter	gold
70	taking in something means receiving; absorbing; getting something	nongold
71	high is similar to increase	nongold
72	a decrease is a kind of change	nongold
73	away is a kind of direction	nongold
74	solid is a kind of state of matter	nongold
75	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
76	if something returns to a place then that something increases in that place	nongold
77	material means substance	nongold
78	if a container contains something then that container touches that something	nongold
79	a body of water is a kind of environment	nongold
80	repel means move away	nongold
81	a living thing is a kind of object	nongold
82	liquid water cooling causes that liquid water to freeze	gold
83	liquid is a kind of state of matter	nongold
84	ice is a kind of water phase	nongold
85	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
86	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
87	stay the same means not changing	nongold
88	become cold means get cold	nongold
89	becoming is similar to changing	nongold
90	an animal is a kind of organism	nongold
91	if something comes from something else then that something else is a source of that something	nongold
92	increase means more	nongold
93	to conduct is similar to to transfer	nongold
94	if heat is added to a substance then that substance absorbs that heat	nongold
95	a source of something emits; produces; generates; provides that something	nongold
96	to maintain means to not change	nongold
97	if something transfers something else then that something is a source of something else	nongold
98	heat energy can change the state of matter	nongold
99	if something is places over a heat source then that something is exposed to that heat source	nongold
