Question	When someone plays the flute, sound is produced because the air in the flute is	question
Answer	vibrating.	answer
0	vibrating matter can produce sound	gold
1	a flute is a kind of musical instrument	gold
2	playing music causes sound to be produced	nongold
3	sound is a kind of air vibration	nongold
4	musical instruments make sound when they are played	gold
5	emit means produce	nongold
6	sound is produced when mechanical energy is transformed into sound energy	nongold
7	converting is similar to producing	nongold
8	a musical instrument is a kind of object	nongold
9	a source of something emits; produces; generates; provides that something	nongold
10	matter; molecules vibrating can cause sound	nongold
11	as the amount that matter vibrates increases , sound produced increases	nongold
12	air is a kind of gas	nongold
13	the air is a kind of substance	nongold
14	person is synonymous with human	nongold
15	vibrations are a source of sound	nongold
16	when two objects are touched; are contacted; move against each other , sound is produced	nongold
17	when mechanical  energy is transferred to the air , then the air will start to vibrate	nongold
18	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
19	air is a kind of matter	gold
20	vibration is a kind of motion	nongold
21	a violin is a kind of musical instrument	nongold
22	producing is similar to releasing	nongold
23	sound is a kind of sound energy	nongold
24	sound means sound energy	nongold
25	generate means produce	nongold
26	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
27	if something causes an increase in something else then that something produces that something else	nongold
28	air is a vehicle for sound	nongold
29	produce is similar to release	nongold
30	producing is similar to causing	nongold
31	noise means sound	nongold
32	objects are made of materials; substances; matter	nongold
33	as  matter vibrates harder; faster , the  volume of the sound produced will increase	nongold
34	gas is a kind of object	nongold
35	gas is a kind of substance	nongold
36	a vibration is similar to a wave	nongold
37	a person speaking is a source of sound	nongold
38	gas is a kind of material	nongold
39	sound is a kind of energy	nongold
40	wave motion is transferred from the source to matter to produce sound	nongold
41	sound can travel through air by vibrating air	nongold
42	gas is a kind of state of matter	nongold
43	to be formed by is similar to being produced by	nongold
44	loud means high in sound energy;sound intensity	nongold
45	a person is a kind of animal	nongold
46	motion; movement means moving; to move	nongold
47	motion is when moves an object; something to a direction	nongold
48	louder means higher; greater in volume	nongold
49	atmosphere means  air	nongold
50	matter; materials; substances are made of atoms; particles	nongold
51	oscillation means physical vibration	nongold
52	volume means the loudness of a sound	nongold
53	human voice is a kind of sound	nongold
54	mechanical energy is a kind of energy	nongold
55	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
56	affected means changed	nongold
57	to emit means to release	nongold
58	high is similar to increase	nongold
59	materials are made of matter	nongold
60	instrument means device	nongold
61	a surface is a part of an object	nongold
62	to produce means to provide	nongold
63	phase means state	nongold
64	volume is a property of matter	nongold
65	can be means able to be	nongold
66	an object is made of its parts	nongold
67	talking is when a human produces sound to communicate	nongold
68	counter means reduce; stop; resist	nongold
69	make means produce	gold
70	to convert means to change	nongold
71	sound waves means sound energy	nongold
72	a surface is a part of a material	nongold
73	converting is similar to releasing	nongold
74	blowing air into a whistle causes air to vibrate inside the whistle	nongold
75	a container contains objects; material; substances	nongold
76	variable means able to change	nongold
77	sound wave is a kind of wave	nongold
78	intense sound energy can move objects	nongold
79	hearing is a kind of sense	nongold
80	liquid is a kind of state of matter	nongold
81	hitting an object causes the particles in that object to vibrate	nongold
82	sound wave is similar to sound	nongold
83	material means substance	nongold
84	heat is a kind of energy	nongold
85	products are formed; are produced; are created	nongold
86	an increase is a kind of change	nongold
87	a device is a kind of object	nongold
88	air pressure is a property of air; the atmosphere	nongold
89	An example of mechanical energy is an object in motion	nongold
90	substances are made of matter	nongold
91	a surface is a kind of object	nongold
92	to add means to increase	nongold
93	air temperature is a kind of temperature	nongold
94	a motion is a kind of event; action	nongold
95	Matter in the gas phase has variable volume	nongold
96	molecules in a solid vibrates within a fixed place	nongold
97	particles in objects are a kind of matter	nongold
98	producing is a kind of function	nongold
99	when a sound is produced inside of a room , there is sometimes an echo after the sound	nongold
