Question	When a light bulb is turned on, energy changes from one form to another. Which of the following best describes this change?	question
Answer	electrical energy to light energy	answer
0	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
1	some light bulbs convert electrical energy; electricity into light energy and heat energy	gold
2	a light bulb is a kind of electrical device	nongold
3	when electricity flows to a light bulb , the light bulb will turn on; come on	nongold
4	light bulb means lightbulb	nongold
5	a light bulb is a part of a  lamp	nongold
6	an electrical device requires electricity to turn on	nongold
7	a light bulb generates visible light when it is turned on	nongold
8	electricity means electrical energy	gold
9	electrical energy is a kind of energy	nongold
10	light means light energy	gold
11	light is a kind of energy	nongold
12	light is a kind of energy	nongold
13	a light bulb requires electrical energy to produce light	nongold
14	to turn means to convert	nongold
15	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
16	form means kind	nongold
17	an incandescent light bulb converts electrical energy; electricity into light energy and heat energy by sending electricity through a filament	nongold
18	to turn means to change	nongold
19	to convert means to change	gold
20	heat is a kind of energy	nongold
21	state means form	nongold
22	to change into means to form	nongold
23	electricity is used as an energy source by electrical devices	nongold
24	an increase is a kind of change	nongold
25	conductivity is a property of a material; substance	nongold
26	the heat energy produced by the light bulb is not used	nongold
27	solar energy is a kind of light	nongold
28	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
29	a source of something emits; produces; generates; provides that something	nongold
30	electric devices require electrical energy to function	nongold
31	heat means heat energy	nongold
32	electromagnetic energy is a kind of energy	nongold
33	energy transformation means one kind of energy changes into another kind of energy	nongold
34	turning on is a kind of process	nongold
35	to illuminate means to light up	nongold
36	electrical current means electrical energy	nongold
37	a device is a kind of object	nongold
38	affected means changed	nongold
39	solar energy is a kind of energy	nongold
40	adding something is a kind of change	nongold
41	magnetic energy is a kind of energy	nongold
42	to change means to cause a change	nongold
43	an insulator is the opposite of a conductor	nongold
44	visible light is a kind of  light	nongold
45	heat energy can change the state of matter	nongold
46	variable means able to change	nongold
47	a complete electrical circuit is a source of  electrical energy	nongold
48	temperature is a measure of heat energy	nongold
49	sunlight is a kind of light	nongold
50	metal is an  electrical; electrical energy conductor	nongold
51	objects are made of materials; substances; matter	nongold
52	conductivity is a kind of physical property	nongold
53	the properties of something are used for describing that something	nongold
54	an object; material; substance comes from that object or material's source	nongold
55	solar energy is a kind of heat energy	nongold
56	a decrease is a kind of change	nongold
57	mechanical energy is a kind of energy	nongold
58	if the electrical  devices are connected in parallel circuit , then turning on or off any devices will not affect other devices	nongold
59	chemical energy is a kind of energy	nongold
60	a flashlight converts electrical energy; electricity into light energy	nongold
61	conductivity is a measure of how easily electricity travels through a material	nongold
62	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
63	forming is similar to converting	nongold
64	heating means adding heat	nongold
65	if something transfers something else then that something is a source of something else	nongold
66	an electric motor converts electrical energy into mechanical energy	nongold
67	to transform means to convert	nongold
68	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
69	electricity is made of moving charges; moving charged particles	nongold
70	light is a kind of wave	nongold
71	where something  comes from is a source of that something	nongold
72	if something comes from something else then that something else is a source of that something	nongold
73	a phase change is a kind of physical change	nongold
74	material means substance	nongold
75	to generate means to form	nongold
76	a human is a kind of animal	nongold
77	household appliances are a kind of electrical device	nongold
78	if the component of something changed , then the whole thing will change	nongold
79	a heating element converts electrical energy; electricity into heat energy for heating	nongold
80	if something generates energy for something else then that something powers that something else	nongold
81	turns is similar to changes	nongold
82	UV light is a kind of light	nongold
83	radiation is when electromagnetic waves transfers heat and light energy	nongold
84	electrical impulses are a kind of electrical energy	nongold
85	transfer is a kind of change	nongold
86	electrical signals are made of electrical energy	nongold
87	a change is a kind of event	nongold
88	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
89	closing an electric circuit causes an electrical device to function	nongold
90	if something emits something else then that something increases the amount of that something else	nongold
91	substances are made of matter	nongold
92	sound is a kind of energy	nongold
93	an event is a kind of action	nongold
94	converting is similar to producing	nongold
95	a light bulb is used for seeing in the dark	nongold
96	can be means able to be	nongold
97	if an object is made of a material then that object has the properties of that material	nongold
98	replace means change from one thing into  another	nongold
99	electrical devices are used for industrial purposes; household purposes by humans	nongold
