Question	Some of the new cars being made can run on a renewable fuel that is made mostly from corn. Scientists are developing even more renewable fuels to replace gasoline. Why are renewable fuels most likely becoming more important?	question
Answer	Nonrenewable fuel supplies are limited.	answer
0	if a resource is limited in supply then that resource needs to be replaced	nongold
1	a nonrenewable resource is limited in supply	gold
2	if a resource is not replaced then the resource has low availability	nongold
3	if a resource is limited in supply then that resource will run out	nongold
4	as the use of a resource decreases , the length of time that resource will be available increases	gold
5	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	gold
6	if something has a positive impact on something else then that something is important to that something else	gold
7	fossil fuels are a nonrenewable resource	nongold
8	if something requires something else then that something else is important to that something	nongold
9	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
10	as the use of alternative fuels increases , the use of gasoline will decrease	nongold
11	a renewable resource can be replaced	nongold
12	nonrenewable resources will eventually be depleted	nongold
13	renewable resources are often available for many years	nongold
14	renewable is the opposite of nonrenewable	nongold
15	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
16	to depend on; to rely on; to need means to require	nongold
17	a renewable resource is a kind of naturally replaced resource	nongold
18	resources becoming available has a positive impact on the things that need those resources	gold
19	fuel supply is a kind of resource	gold
20	ethanol sometimes is made of corn	nongold
21	the amount of something is similar to the availability of something	nongold
22	essential means required	nongold
23	operating an automobile usually requires fossil fuels	nongold
24	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
25	replacement means something that is replaced	nongold
26	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
27	less is similar to decrease	nongold
28	an increase is the opposite of a decrease	nongold
29	corn is a kind of plant	nongold
30	gasoline is a kind of fuel	nongold
31	to be required means to be necessary	nongold
32	replacing something causes that something to decrease	nongold
33	a scientist is a kind of human	nongold
34	less is the opposite of more	nongold
35	less means a reduced amount	nongold
36	vehicles usually require gasoline to operate	nongold
37	natural gas is a nonrenewable resource	nongold
38	using less of a resource increases the availability of that resource	nongold
39	alternative fuel is usually a renewable resource	nongold
40	corn is a kind of crop	nongold
41	increase means more	nongold
42	little is similar to decrease	nongold
43	fewer means lower; less in number	nongold
44	a car is a kind of vehicle	nongold
45	a fossil fuel is a kind of natural resource	nongold
46	replace means change from one thing into  another	nongold
47	little means low in amount	nongold
48	to be dependent on something means to depend on that something	nongold
49	a car is a kind of automobile	nongold
50	as the use of something decreases , the use of the source of that something will decrease	nongold
51	harming something has a  negative impact on; effect on that something	nongold
52	if something is required then that something must be provided	nongold
53	fuel efficient means uses less fuel	nongold
54	requiring is similar to needing help	nongold
55	an automobile is a kind of vehicle	nongold
56	oil is a nonrenewable resource	nongold
57	using resources decreases those resources	nongold
58	to lower means to decrease	nongold
59	the supply of an inexhaustible resource does not change over a long period of time	nongold
60	mostly means being the most	nongold
61	requiring something means needing that something	nongold
62	to be used for something means to be required by that something	nongold
63	a concern; a problem is a possible negative impact	nongold
64	oil is a source of gasoline	nongold
65	wasting a resource is reducing the amount  of that resource without using that resource	nongold
66	low is similar to decrease	nongold
67	to reduce means to decrease	nongold
68	corn is a kind of seed	nongold
69	deplete is similar to decrease	nongold
70	as the amount of a source of something decreases , the amount of that something will decrease	nongold
71	a renewable resource is a kind of natural resource	nongold
72	a requirement is a kind of limitation	nongold
73	if something is a raw material in a process then that something is required for that process	nongold
74	an inexhaustible resource is a kind of renewable resource	nongold
75	if something does not have to be replaced for a long time then that something will save money	nongold
76	role is similar to importance	nongold
77	too much is similar to increase	nongold
78	if something requires something else then that something requires a source of that something else	nongold
79	lack is similar to low; little	nongold
80	needing something means depending on that something	nongold
81	if a resource is limited in supply then that resource should be recycled	nongold
82	negative impact is the opposite of positive impact	nongold
83	to lack means to not have	nongold
84	as use of public transportation increases , the use of automobiles decreases	nongold
85	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
86	a decrease is a kind of change	nongold
87	a supply of something is a source of that something	nongold
88	as mileage per galon of gasoline increases , the amount of gasoline used will decrease	nongold
89	becoming is similar to changing	nongold
90	to conserve means to not change	nongold
91	high is similar to increase	nongold
92	using a gasoline engine requires burning  gasoline	nongold
93	using gasoline is a source of carbon dioxide	nongold
94	largest amount means most	nongold
95	wasting  a resource harms that resource	nongold
96	becoming is a kind of action	nongold
97	using less of a resource means conserving that resource	nongold
98	lower means less	nongold
99	an increase is a kind of change	nongold
