Question	A student pushes a wooden block across a sheet of sandpaper. Which characteristic of the block increases?	question
Answer	temperature	answer
0	feature is synonymous with characteristic	nongold
1	characteristic means property	gold
2	a sheet of sandpaper is a kind of object	gold
3	sandpaper is made of sand glued to the surface of paper	nongold
4	temperature is a measure of heat energy	nongold
5	a block is a kind of object	gold
6	a student is a kind of human	nongold
7	heat means temperature increases	nongold
8	sandpaper is used to smooth wooden objects	nongold
9	a rough surface is a part of sandpaper	nongold
10	sandpaper is a kind of tool for smoothing objects	nongold
11	trait is synonymous with characteristic	nongold
12	sandpaper is a kind of paper	nongold
13	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
14	a part of something means a characteristic of something	nongold
15	what an object is made of is a kind of characteristic	nongold
16	heat means heat energy	nongold
17	sand  is a kind of solid	nongold
18	pushing something can cause that something  to move	nongold
19	increase means more	nongold
20	sand  is a kind of material	nongold
21	friction causes the temperature of an object to increase	gold
22	temperature  rise means temperature increase	nongold
23	temperature is a property of weather	nongold
24	an increase is the opposite of a decrease	nongold
25	as roughness of a surface increases , friction will increase	nongold
26	sand  is a kind of substance	nongold
27	surface type is a kind of characteristic	nongold
28	sand has a rough surface	nongold
29	a surface is a part of an object	nongold
30	an object being pushed across another object causes their surfaces to move against each other	gold
31	a surface is a part of a material	nongold
32	temperature is a kind of condition	nongold
33	a sheet of is similar to a piece of	nongold
34	to add means to increase	nongold
35	a wall is a kind of surface	nongold
36	sand is made of small particles	nongold
37	a learned characteristic is a kind of acquired characteristic	nongold
38	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
39	an increase is a kind of change	nongold
40	high is similar to increase	nongold
41	a decrease is a kind of change	nongold
42	pushing is a kind of motion	nongold
43	temperature is an intensive property	nongold
44	a function is a kind of characteristic	nongold
45	to reduce means to decrease	nongold
46	to lower means to decrease	nongold
47	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
48	a source of something increases the amount of that something	nongold
49	wood has a smooth surface	nongold
50	to impact means to affect	nongold
51	impact means effect	nongold
52	a living thing is a kind of object	nongold
53	if an object slides across another object then those objects are touching	nongold
54	a structure is a kind of feature	nongold
55	wood is a kind of object	nongold
56	a surface is a kind of object	nongold
57	cold means low in temperature	nongold
58	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
59	aspect of something is similar to part of something	nongold
60	low is similar to decrease	nongold
61	a human is a kind of animal	nongold
62	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
63	variable means able to change	nongold
64	to cause means to have an effect	nongold
65	to slow; to slow down decreases speed	nongold
66	as moisture of an object decreases , the friction of that object against another object will increase	nongold
67	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
68	colder; cooler means lower in temperature	nongold
69	a wall is a kind of object	nongold
70	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
71	temperature rise means become warmer	nongold
72	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
73	sand is made of very small rocks; minerals	nongold
74	to change means to have an effect	nongold
75	a type is synonymous with a kind	nongold
76	when a cooler object touches a warmer object , thermal conduction occurs	nongold
77	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
78	material means substance	nongold
79	friction causes speed to decrease	nongold
80	an part of an object is smaller than the entire object	nongold
81	cold is a kind of weather	nongold
82	objects are made of materials; substances; matter	nongold
83	counter means reduce; stop; resist	nongold
84	the effects of something is a property of that something	nongold
85	something in a cold place becomes cold	nongold
86	moisture means liquid; liquid water	nongold
87	affected means changed	nongold
88	friction acts to counter the motion of two objects when their surfaces are touching	nongold
89	to vary means to change	nongold
90	room contains walls	nongold
91	change is a kind of impact	nongold
92	a structure of something is synonymous with a part of that something	nongold
93	a behavior is a kind of characteristic	nongold
94	friction occurs when two object's surfaces move against each other	gold
95	friction causes the speed of an object to decrease	nongold
96	a property of something is a feature of that something	nongold
97	causing is a kind of affecting	nongold
98	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
99	to limit means to decrease	nongold
