Question	Which pair of English and metric units has most nearly the same value?	question
Answer	liter and quart	answer
0	a liter is 1.06 quart	gold
1	quarts ( qt ) is a imperial unit used for measuring volume generally used for values between 1.0 and 4.0	gold
2	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	gold
3	liters are a kind of unit for measuring volume of liquids	nongold
4	pair means two	nongold
5	a gram  is a kind of unit for measuring mass	nongold
6	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
7	same means identical; equal in value; amount; number; quantity	nongold
8	both means two	nongold
9	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
10	most means over 50% of something	nongold
11	an ounce is a kind of unit for measuring mass	nongold
12	quail are a kind of bird	nongold
13	a meter is a kind of unit for measuring distance; measuring length	nongold
14	unit is similar to part	nongold
15	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
16	different is the opposite of the same	nongold
17	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
18	pair is a kind of combination	nongold
19	a human is a kind of animal	nongold
20	an animal is a kind of living thing	nongold
21	fluid ounce ( fl oz ) is a imperial unit used for measuring volume generally used for values between 0.125 and 8.0	nongold
22	usually means most of the time	nongold
23	a ratio is a measure of  one value divided by another value	nongold
24	the  property of something is the same for the things of same kind	nongold
25	one is a kind of number	nongold
26	greatest means largest; highest; most amount of something	nongold
27	meters;centimeters;kilometers are used to describe distance; describe length	nongold
28	if something changes , then that something is not the same	nongold
29	classifying is when one sorts something by kind; type	nongold
30	in common is similar to the same	nongold
31	cubic meter ( m^3 ) is a metric unit used for measuring volume	nongold
32	stay the same means not changing	nongold
33	a type is synonymous with a kind	nongold
34	gallons ( gal ) is a imperial unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
35	furthest; farthest means greatest; most; highest in distance	nongold
36	mostly means being the most	nongold
37	quantity means amount	nongold
38	all the other means the rest of	nongold
39	greater means higher; more in value	nongold
40	can be means able to be	nongold
41	ounces ( oz ) are a  imperial unit used for measuring weight generally used for values between 1.0 and 16.0	nongold
42	a living thing is a kind of object	nongold
43	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
44	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
45	not is similar to the opposite of	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
48	person is synonymous with human	nongold
49	if something has no impact on something else then that something else stays the same	nongold
50	high is similar to increase	nongold
51	identical is the opposite of different	nongold
52	measuring requires reading a measurement	nongold
53	opposite is a kind of different	nongold
54	a ratio is a measure of one measure over another measure; divided by another measure	nongold
55	another means different	nongold
56	affected means changed	nongold
57	measuring is used for describing an object	nongold
58	a centimeter is a kind of unit of measurement	nongold
59	an animal is a kind of organism	nongold
60	to be made of something means to be formed of that something	nongold
61	length is a part of size	nongold
62	variable means able to change	nongold
63	each is simiar to one	nongold
64	to be a combination of means to be made of	nongold
65	best means most positive	nongold
66	an event is a kind of action	nongold
67	the volume of an object can be used to describe  the size of that object	nongold
68	higher means greater; above in value; amount; number	nongold
69	composed of means made of	nongold
70	each is similar to individual	nongold
71	made up of means contains; made of	nongold
72	to be made of means to consist of	nongold
73	classifying means grouping objects; materials by their properties	nongold
74	largest amount means most	nongold
75	an object is made of its parts	nongold
76	the properties of something are used for describing that something	nongold
77	if something is copied then that something will be the same; similar; identical	nongold
78	to measure means to calculate	nongold
79	typically means usually	nongold
80	astronomical unit is a measure of distance between Earth and the Sun	nongold
81	amount is similar to number	nongold
82	to change means to become different	nongold
83	degrees celsius ( C ) is a metric unit used for measuring temperature generally used for values between -273.0 and 50000000.0	nongold
84	the number of parts of something is a property of that something	nongold
85	a measurement is a kind of data	nongold
86	to belong to a class means to be a kind of something	nongold
87	the head is a part of an animal	nongold
88	extreme means very high in value	nongold
89	a calculator is used for adding; subtracting; multiplying; dividing	nongold
90	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
91	to remain means to stay the same	nongold
92	the parts of something make up that something	nongold
93	if a value decreases then that value may become; may reach zero; 0	nongold
94	cubic centimeter ( cm^3 ) is a metric unit used for measuring volume	nongold
95	to tell the difference between things means to classify those things	nongold
96	if a property affects a value then that property is needed to calculate that value	nongold
97	calculation means measurement	nongold
98	density is a measure of mass of an object over volume; divided by volume	nongold
99	a component means a part of	nongold
