Question	Approximately how long does Earth take to complete its orbit around the Sun?	question
Answer	one year	answer
0	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	gold
1	approximately means about	nongold
2	a planet completes one orbit around its star over a period of one planetary year	nongold
3	planets orbit stars	nongold
4	how long something takes is a kind of measurement of time	nongold
5	the Earth revolves around the sun	nongold
6	the moon orbiting the Earth occurs approximately 13 times per year	nongold
7	revolving  around something means orbiting that something	gold
8	the Sun is a kind of star	nongold
9	Earth is a kind of planet	nongold
10	years are a kind of unit for measuring time	nongold
11	a revolution of the moon around the Earth takes 1; one month	nongold
12	a star is a kind of celestial object; celestial body	nongold
13	1 year is equal to 365 days	nongold
14	planets in the solar system orbit the Sun	nongold
15	1 year is equal to 12 months	nongold
16	a planet is a kind of celestial object; body	nongold
17	light year is a measure of the distance light travels in one year	nongold
18	moons orbit planets	nongold
19	orbit means orbital path	nongold
20	annual means once per year	nongold
21	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
22	the moon orbiting the Earth occurs once per month	nongold
23	the moon orbits the Earth	nongold
24	yearly means every year	nongold
25	orbiting is a kind of action	nongold
26	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
27	revolving is a kind of motion	nongold
28	Celestial bodies move in orbits in space around other celestial bodies	nongold
29	astronomy is the study of celestial (objects, bodies)	nongold
30	long means great in length	nongold
31	to a human a time period of 1000 years or more years is considered very long	nongold
32	days are a kind of unit for measuring time	nongold
33	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
34	length of time means period of time	nongold
35	the sun setting is a kind of event	nongold
36	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
37	month is a kind of period of time	nongold
38	the sun sets in the west	nongold
39	period is similar to amount of time	nongold
40	a moon is a kind of celestial object; body	nongold
41	a rotation of the moon takes 1; one month	nongold
42	an orbit is a kind of regular path	nongold
43	high is similar to increase	nongold
44	setting is a kind of motion	nongold
45	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
46	months are a kind of unit for measuring time	nongold
47	a cycle is a kind of process	nongold
48	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
49	Earth's revolution is a kind of cycle	nongold
50	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
51	an event is a kind of action	nongold
52	the sun rises in the east	nongold
53	a process is a kind of event	nongold
54	once means one time	nongold
55	a comet orbit occurs usually once per 1000.0 years	nongold
56	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
57	revolving is a kind of action	nongold
58	monthly means once per month	nongold
59	events occur at a specific place; at a specific time; with a specific frequency	nongold
60	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
61	a part of a process means a stage in a process	nongold
62	decades are a kind of unit for measuring time	nongold
63	incomplete is the opposite of complete	nongold
64	the day time is part of one day	nongold
65	the sun rising is a kind of event	nongold
66	each season occurs once per year	nongold
67	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
68	increase means more	nongold
69	a light-year is used for describing long distances	nongold
70	a planet's distance from the star causes the length of a planetary year	nongold
71	once per means every	nongold
72	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
73	answering questions requires information	nongold
74	a step in a process means a stage in a process	nongold
75	orbit is a kind of characteristic	nongold
76	a motion is a kind of event; action	nongold
77	a process usually requires all of the stages in that process	nongold
78	a component of something means a part of that something	nongold
79	a type is synonymous with a kind	nongold
80	something that happens is a kind of event	nongold
81	revolve once means to complete a revolution	nongold
82	an increase is a kind of change	nongold
83	movements of celestial bodies are a kind of event	nongold
84	a component means a part of	nongold
85	if an event is required for a process then that event must occur before that process can occur	nongold
86	the Earth rotates on its axis	nongold
87	both means two	nongold
88	hours are a kind of unit for measuring time	nongold
89	to add means to increase	nongold
90	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
91	a star is a source of light; light energy through nuclear reactions	nongold
92	instantaneously means short in time	nongold
93	all the other means the rest of	nongold
94	a cycle happens; occurs repeatedly	nongold
95	1 month is equal to 28-31 days	nongold
96	the new moon is when the dark half of the moon faces the Earth	nongold
97	Mars is a kind of planet	nongold
98	gravity causes orbits	nongold
99	can be means able to be	nongold
