Question	Which of these is not an example of a physical change of state?	question
Answer	stirring	answer
0	stirring is a kind of first-	nongold
1	physical state means state of matter	nongold
2	stirring is when something moves an object in a circular motion for mixing	nongold
3	if something undergoes a physical change then the physical properties of that something will change	nongold
4	a kind of something is an example of that something	nongold
5	state of matter means physical state	nongold
6	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
7	to change means to cause a change	nongold
8	a phase change is a kind of physical change	nongold
9	liquid is a kind of state of matter	nongold
10	state of matter is a kind of physical property	nongold
11	state of matter at room temperature is a kind of physical property	nongold
12	an increase is a kind of change	nongold
13	heat energy can change the state of matter	nongold
14	gas is a kind of state of matter	nongold
15	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	nongold
16	a physical property is a kind of property	nongold
17	a decrease is a kind of change	nongold
18	temperature is a measure of heat energy	nongold
19	heat means heat energy	nongold
20	a human is a kind of animal	nongold
21	chemical change is the opposite of physical change	nongold
22	vibration is a kind of motion	nongold
23	solid is a kind of state of matter	nongold
24	affected means changed	nongold
25	state means form	nongold
26	movement is a kind of change	nongold
27	a motion is a kind of event; action	nongold
28	if a substance is mixed with another substance then those substances will undergo physical change	nongold
29	intense means extreme	nongold
30	plasma is a kind of state of matter	nongold
31	a liquid is a kind of fluid	nongold
32	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
33	particles in objects are a kind of matter	nongold
34	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
35	variable means able to change	nongold
36	an animal is a kind of organism	nongold
37	a physical reaction is a kind of process	nongold
38	water is a kind of liquid at room temperature	nongold
39	objects are made of materials; substances; matter	nongold
40	adding something is a kind of change	nongold
41	shaking is a kind of motion	nongold
42	action can cause change	nongold
43	motion; movement means moving; to move	nongold
44	substances are made of matter	nongold
45	a liquid is a kind of substance	nongold
46	to add means to increase	nongold
47	changed is the opposite of unchanged	nongold
48	a change is a kind of event	nongold
49	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
50	an event is a kind of action	nongold
51	to be a source of something means to cause that something	nongold
52	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
53	vapor is synonymous with gas	nongold
54	An example of a physical change is breaking an object	nongold
55	a chemical property is the opposite of a physical property	nongold
56	to reduce means to decrease	nongold
57	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
58	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
59	water is a kind of matter	nongold
60	an animal is a kind of living thing	nongold
61	gas is a kind of substance	nongold
62	oscillation means physical vibration	nongold
63	unchanged means not changed	nongold
64	extreme means very high in value	nongold
65	forming something is a kind of change	nongold
66	causing is a kind of affecting	nongold
67	heat is a kind of energy	nongold
68	if the component of something changed , then the whole thing will change	nongold
69	material means substance	nongold
70	gas is a kind of object	nongold
71	the effects of something is a property of that something	nongold
72	shivering is a kind of shaking	nongold
73	to remain means to not change	nongold
74	heating means adding heat	nongold
75	materials are made of matter	nongold
76	boiling is a kind of phase change	gold
77	matter; materials; substances are made of atoms; particles	nongold
78	to lower means to decrease	nongold
79	reducing is a kind of change	nongold
80	a particle is a kind of object	nongold
81	to give off means to be the source of	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	to slow; to slow down decreases speed	nongold
84	a solid is a kind of substance	nongold
85	freezing is a kind of phase change	gold
86	a living thing is a kind of object	nongold
87	thunder is a kind of sound	nongold
88	to change means to have an effect	nongold
89	a person is a kind of animal	nongold
90	air is a kind of matter	nongold
91	not is similar to the opposite of	nongold
92	to modify means to change	nongold
93	can be means able to be	nongold
94	intense means high in intensity	nongold
95	gas is a kind of material	nongold
96	boiling is when liquids are heated above their boiling point	nongold
97	storm is a kind of weather; weather event	nongold
98	change is a kind of impact	nongold
99	person is synonymous with human	nongold
