Question	Which process directly adds carbon into the atmosphere?	question
Answer	burning fossil fuels	answer
0	to add means to increase	gold
1	burning fossil fuels increases the carbon in the atmosphere	gold
2	fire causes burning	nongold
3	biofuel releases carbon dioxide into the atmosphere	nongold
4	fossil fuels release carbon dioxide into the atmosphere	nongold
5	oil is a kind of fossil fuel	nongold
6	combustion means fire converts chemical energy into light energy and heat energy	nongold
7	natural gas is a source of heat by burning	nongold
8	a source of something emits; produces; generates; provides that something	nongold
9	using the fuel requires burning the fuel	nongold
10	the emission of something is when something is added into the atmosphere	nongold
11	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
12	natural gas is a kind of fossil fuel	nongold
13	a reaction is a kind of process	nongold
14	heating means adding heat	nongold
15	oil is a nonrenewable resource	nongold
16	a fire requires  oxygen to burn	nongold
17	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
18	atmosphere means  air	nongold
19	adding heat means increasing temperature	nongold
20	transferring is similar to adding	nongold
21	converting is similar to producing	nongold
22	carbon dioxide is a kind of gas	nongold
23	fossil fuels are a nonrenewable resource	nongold
24	producing is a kind of process	nongold
25	if something is a raw material then that something comes directly from a source	nongold
26	to combust means to catch fire	nongold
27	combustion is a kind of chemical change	nongold
28	a fossil fuel is a kind of natural resource	nongold
29	heat means heat energy	nongold
30	a chemical reaction is a kind of process	nongold
31	biofuel is a kind of fuel	nongold
32	the atmosphere is a part of nature; the environment	nongold
33	if an event occurs by adding something then that event requires that something	nongold
34	adding something is a kind of change	nongold
35	natural gas is a nonrenewable resource	nongold
36	fire is a kind of chemical reaction	nongold
37	fossil fuel contains chemical energy	nongold
38	to add means to combine	nongold
39	adding heat to an object sometimes causes chemical reactions	nongold
40	burning is a kind of action	gold
41	as the population of plants decreases , carbon in the atmosphere will increase	nongold
42	a flame are a part of a fire	nongold
43	high is similar to increase	nongold
44	a part of a process means a stage in a process	nongold
45	if something causes a process then that something is required for that process	nongold
46	combustion is a kind of exergonic reaction	nongold
47	powering is similar to fueling	nongold
48	atmospheric means of the atmosphere	nongold
49	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
50	fire transfers heat through waves	nongold
51	petroleum is a kind of fossil fuel	nongold
52	biogas means biofuel	nongold
53	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
54	to be formed by is similar to being produced by	nongold
55	burning wood is used to produce heat	nongold
56	alternative fuel is usually a renewable resource	nongold
57	temperature is a measure of heat energy	nongold
58	make means produce	nongold
59	to give off means to be the source of	nongold
60	to input means to add	nongold
61	a process is a kind of event	gold
62	gasoline is a kind of fuel	nongold
63	a producer is a kind of living thing	nongold
64	emit means produce	nongold
65	burning gasoline is a source of  heat energy	nongold
66	an increase is the opposite of a decrease	nongold
67	to contribute means to add	nongold
68	wood burns	nongold
69	a cycle is a kind of process	nongold
70	evaporation is a kind of process	nongold
71	to be used for something means to be required by that something	nongold
72	chemical reactions can cause gas to be released into the atmosphere	nongold
73	conversion is a kind of process	nongold
74	adding is a kind of activity	nongold
75	renewable is the opposite of nonrenewable	nongold
76	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
77	sulfur dioxide is formed by the combustion of fossil fuels	nongold
78	air is a kind of gas	nongold
79	providing something means making;delivering something	nongold
80	change is a kind of process	nongold
81	combustion is a kind of activity	nongold
82	fire gives off light; heat; smoke	nongold
83	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
84	to provide something means to be the source of that something	nongold
85	fossil fuels burning causes pollution	nongold
86	to reduce means to decrease	nongold
87	if something is a raw material in a process then that something is required for that process	nongold
88	if something transfers something else then that something is a source of something else	nongold
89	air is a part of the environment	nongold
90	fossil fuels are a kind of energy resource	nongold
91	carbon dioxide can be found in the air	nongold
92	answering questions requires information	nongold
93	more burning causes fire to be hotter	nongold
94	a component means a part of	nongold
95	to exhale means to release	nongold
96	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
97	an increase is a kind of change	nongold
98	photosynthesis is a kind of chemical  process	nongold
99	if something emits something else then that something increases the amount of that something else	nongold
