Question	Mr. Pratt does a science demonstration. He inflates a balloon, places it in a freezer, and then removes it after 10 minutes. Which best describes the balloon's volume when in the freezer and then after being removed and allowed to warm up?	question
Answer	contracts in the freezer and then expands as it gets warmer again	answer
0	expand means increase in volume	nongold
1	a balloon is a kind of container	nongold
2	contract is a kind of change in volume	gold
3	expand is a kind of change in volume	gold
4	a balloon is a kind of object	nongold
5	a balloon contains gas	gold
6	contract is the opposite of expand	gold
7	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
8	if  a  material is heated , then the  material will expand	nongold
9	if gas in a flexible container is heated then that container will expand	nongold
10	expand means increase in size	nongold
11	warm up means increase temperature	nongold
12	if gas is heated then that gas will expand; rise	nongold
13	when water freezes , that water expands	nongold
14	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
15	volume has no impact on boiling; melting; freezing point	nongold
16	as heat increases , a flexible container containing gas will expand	gold
17	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
18	remove means decrease	nongold
19	expand is a kind of change	nongold
20	being  on something; placed in something; placed over something means touching  that something	nongold
21	temperature changing can cause volume of the object to change	nongold
22	a demonstration is similar to an example	nongold
23	the volume of an object can be used to describe  the size of that object	nongold
24	warm; becoming warm means heat is added	gold
25	a container contains objects; material; substances	gold
26	heat means temperature increases	gold
27	a freezer is used for cooling things	nongold
28	liquids expand more than solids when heated	nongold
29	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
30	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
31	Matter in the gas phase has variable volume	gold
32	when metal conducts heat , that metal expands	nongold
33	volume is a property of matter	nongold
34	warmer means greater; higher in temperature; warmth	nongold
35	warm means medium heat energy; temperature	nongold
36	heating means adding heat	gold
37	contracting is a kind of movement	nongold
38	temperature is a measure of heat energy	nongold
39	Matter in the liquid phase has definite volume	nongold
40	moisture means liquid; liquid water	nongold
41	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
42	adding heat means increasing temperature	nongold
43	size; amount of space means volume	nongold
44	water expanding when it freezes is a physical property of water	nongold
45	Matter in the solid phase has definite volume	nongold
46	water is a kind of liquid at room temperature	nongold
47	a balloon is highly flexible	gold
48	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
49	water is a kind of substance	nongold
50	increasing heat causes thermal expansion	nongold
51	compress is the opposite of expand	nongold
52	a liquid is a kind of substance	nongold
53	a container is a kind of object	nongold
54	heat means heat energy	nongold
55	if a substance has volume , then the substance takes up space	nongold
56	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
57	a liquid is a kind of fluid	nongold
58	boiling means the volume of a liquid decreases	nongold
59	to add means to increase	nongold
60	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
61	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
62	heat energy is synonymous with thermal energy	nongold
63	to demonstrate means to exhibit	nongold
64	high is similar to increase	nongold
65	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
66	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
67	an increase is a kind of change	nongold
68	gas is a kind of material	nongold
69	when gas compresses , the temperature of the gas increases	nongold
70	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
71	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
72	the properties of something are used for describing that something	nongold
73	if  something is placed in warm air then that something will become warm	nongold
74	water is an thermal; thermal energy conductor	nongold
75	contents means the substance in a container	nongold
76	an increase is the opposite of a decrease	gold
77	water is a kind of matter	nongold
78	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
79	gas is a kind of substance	nongold
80	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
81	warm means warm temperature	nongold
82	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
83	gas is a kind of object	nongold
84	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
85	causing is similar to allowing	nongold
86	a bubble contains gas	nongold
87	water is a kind of object	nongold
88	if one surface; one substance; one object touches something then one is exposed to that something	nongold
89	mL means milliliters	nongold
90	if a container contains something then that container touches that something	nongold
91	absorbing energy causes objects; materials; substances to heat	nongold
92	to be used for is similar to allowing	nongold
93	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
94	material means substance	nongold
95	a balloon is made of rubber	nongold
96	minutes are a kind of unit for measuring time	nongold
97	objects are made of materials; substances; matter	nongold
98	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
99	the heat energy in the cooler object increases in thermal conduction	nongold
