Question	Uranus is one of the outer planets of the solar system. The average distance of Uranus from the Sun is 2.87 billion kilometers. Which best explains why Uranus revolves in its orbit instead of moving out into space?	question
Answer	Gravity pulls Uranus toward the Sun.	answer
0	gravity pulls objects towards planets	nongold
1	Uranus is a kind of planet	gold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
3	pulling is a kind of motion	nongold
4	as distance from an object decreases , the the pull of gravity on that object increases	nongold
5	Uranus is the planet that is seventh closest to the Sun	nongold
6	planets in the solar system orbit the Sun	nongold
7	planets orbit stars	gold
8	a planet is a kind of celestial object; body	nongold
9	some celestial bodies rotate in space	nongold
10	Celestial bodies move in orbits in space around other celestial bodies	nongold
11	revolving  around something means orbiting that something	gold
12	gravity causes orbits	gold
13	a star is a kind of celestial object; celestial body	nongold
14	pull is similar to attract	nongold
15	all planets orbit the sun in the same direction	nongold
16	rotating is similar to moving	nongold
17	motion; movement means moving; to move	nongold
18	planets are found in space	nongold
19	rotation is a kind of motion	nongold
20	the Sun is a kind of star	gold
21	gravity accelerates an object while that object falls by pulling on it	nongold
22	motion is when moves an object; something to a direction	nongold
23	moving is similar to travelling	nongold
24	a pull is a kind of force	nongold
25	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
26	towards means closer to something	nongold
27	toward is a kind of direction	nongold
28	to move toward means to move nearer	nongold
29	a rotation is a kind of movement	nongold
30	to cause is similar to bring	nongold
31	gravity is a kind of force	nongold
32	the Earth revolves around the sun	nongold
33	rotate means turn	nongold
34	moving changes position	nongold
35	distance moved; distance travelled is a measure of how far an object moves	nongold
36	travel means to move	nongold
37	distance is a property of space and includes ordered values of close; far	nongold
38	the four planets farthest from the sun are made of gas	nongold
39	far means great in distance	nongold
40	as the distance from an object increases , the force of gravity on that object will decrease	nongold
41	revolving is a kind of motion	nongold
42	a motion is a kind of event; action	nongold
43	furthest; farthest means greatest; most; highest in distance	nongold
44	setting is a kind of motion	nongold
45	movement is a kind of change	nongold
46	out is synonymous with outside	nongold
47	moving away from the source increases the distance	nongold
48	pulling away is similar to separating	nongold
49	a revolution occurs when something revolves around something else	nongold
50	the sun is a kind of yellow dwarf	nongold
51	to slow; to slow down decreases speed	nongold
52	celestial bodies; celestial objects are found in space	nongold
53	a planet is a kind of location	nongold
54	far is the opposite of close	nongold
55	toward is the opposite of away	nongold
56	celestial objects are located in outer space	nongold
57	to rotate means to complete a rotation	nongold
58	high is similar to increase	nongold
59	the sun rises in the east	nongold
60	the solar system is a kind of system	nongold
61	the mass of a planet causes the pull of gravity on that planet	nongold
62	stars colliding  is a kind of high-energy event in space	nongold
63	a force is a kind of push or pull on an object	nongold
64	orbiting is a kind of action	nongold
65	a billion is a kind of  number	nongold
66	to carry means to move something	nongold
67	push out means expel	nongold
68	spin means rotate	nongold
69	when something reaches something else , that something has usually completed its movement	nongold
70	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
71	a planet is a kind of place	nongold
72	speed is a measure of how fast an object is moving	nongold
73	as distance from a source of something increases , that something will decrease	nongold
74	movements of celestial bodies are a kind of event	nongold
75	an increase is a kind of change	nongold
76	pushing something can cause that something  to move	nongold
77	the sun is the strongest source of gravity in the solar system	nongold
78	force causes the speed of an object to increase; to decrease	nongold
79	orbit means orbital path	nongold
80	an increase is the opposite of a decrease	nongold
81	gas is a kind of object	nongold
82	the solar system contains eight planets	nongold
83	small stars burn for billions of years	nongold
84	the sky is similar to space	nongold
85	to lift means to move up	nongold
86	to move away means to increase distance	nongold
87	close means low in distance	nongold
88	closer means lower; less; a decrease in distance	nongold
89	a force continually acting on an object in the same direction that the object is moving can cause that object's speed to increase in a forward motion	nongold
90	low is similar to decrease	nongold
91	to add means to increase	nongold
92	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
93	low means down	nongold
94	something that happens is a kind of event	nongold
95	as the altitude increases , the gravity will decrease	nongold
96	place means space	nongold
97	to place in is similar to to move to	nongold
98	variable means able to change	nongold
99	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
