Question	The surface gravity of Pluto is the weakest of the nine planets because Pluto	question
Answer	has the smallest mass.	answer
0	Pluto is a kind of dwarf planet	gold
1	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	gold
2	Pluto is the planet that is ninth closest to the  Sun	nongold
3	a dwarf planet is usually much smaller in size; in mass than other planets	gold
4	pluto has not cleared its orbit	nongold
5	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
6	a planet is a kind of celestial object; body	nongold
7	weaker is the opposite of stronger	nongold
8	smaller means less; lower in size	gold
9	weak means low in strength	nongold
10	a planet's  moon is smaller than that planet	nongold
11	larger; bigger is the opposite of smaller	nongold
12	a star is usually larger than a planet	nongold
13	if something weakens , then that something is weaker	nongold
14	an increase is the opposite of a decrease	nongold
15	an part of an object is smaller than the entire object	nongold
16	less is similar to decrease	gold
17	strong means high in strength	nongold
18	less is the opposite of more	nongold
19	a star is a kind of celestial object; celestial body	nongold
20	small is the opposite of large	nongold
21	decreasing is similar to becoming smaller	nongold
22	larger means greater; higher; more; increase in size	nongold
23	low is similar to decrease	nongold
24	a surface is a kind of object	nongold
25	lower means less	nongold
26	a surface is a part of an object	nongold
27	mass is a property of objects; matter	nongold
28	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
29	low is the opposite of high	nongold
30	fewer means lower; less in number	nongold
31	mass is similar to size	nongold
32	lowest means least in value; amount; number	nongold
33	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
34	gravity causes orbits	nongold
35	gravity is a kind of force	nongold
36	the four planets closest to the sun are made of rock	nongold
37	the Sun is a kind of star	nongold
38	to lower means to decrease	nongold
39	the mass of a planet causes the pull of gravity on that planet	gold
40	high is similar to increase	nongold
41	mass; weight is a property of matter; objects; materials	nongold
42	largest means greatest in size	nongold
43	mass is a measure of the amount of matter in an object	nongold
44	planets have cleared their orbits	nongold
45	the mass of an object causes the gravitational force exerted by that object	nongold
46	the sun is a kind of yellow dwarf	nongold
47	a surface is a part of a material	nongold
48	mass is a kind of physical property	nongold
49	objects are made of materials; substances; matter	nongold
50	Earth is a kind of planet	nongold
51	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
52	Uranus is a kind of planet	nongold
53	planets orbit stars	nongold
54	to reduce means to decrease	nongold
55	increase means more	nongold
56	greater means higher; more in value	nongold
57	fewest means lowest; least in number	nongold
58	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
59	particles in objects are a kind of matter	nongold
60	planets in the solar system orbit the Sun	nongold
61	can be means able to be	nongold
62	extreme means very high in value	nongold
63	the solar system contains eight planets	nongold
64	matter; materials; substances are made of atoms; particles	nongold
65	the bottom is the lowest part of something	nongold
66	the earth has more mass than the moon	nongold
67	greatest means largest; highest; most amount of something	nongold
68	little is similar to decrease	nongold
69	as the mass of an object increases , the force of gravity on that object will increase	nongold
70	slowest means lowest in  speed	nongold
71	if an amount of objects decreases then those objects are fewer in number	nongold
72	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
73	highest means largest; greatest; most in height	nongold
74	the sun is the strongest source of gravity in the solar system	nongold
75	to add means to increase	nongold
76	largest amount means most	nongold
77	weight means the force of gravity acting on an object	nongold
78	an atom is the smallest particle; unit that has the properties of an element	nongold
79	if a value decreases then that value may become; may reach zero; 0	nongold
80	a particle is a kind of object	nongold
81	weight is a measure of the force of the gravity on the mass of an object	nongold
82	massive means great in mass	nongold
83	gravity pulls objects towards planets	nongold
84	an increase is a kind of change	nongold
85	higher means greater; above in value; amount; number	nongold
86	the four planets farthest from the sun are made of gas	nongold
87	Jupiter is a kind of planet	nongold
88	when things erode , those things may become smaller	nongold
89	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
90	an object has properties	nongold
91	shortest means least; smallest in length	nongold
92	a decrease is a kind of change	nongold
93	Jupiter is a kind of outer planet	nongold
94	to slow; to slow down decreases speed	nongold
95	Weight is  the  force of gravity acting on an object	nongold
96	a planet is a kind of location	nongold
97	answering questions requires information	nongold
98	an object is made of its parts	nongold
99	furthest; farthest means greatest; most; highest in distance	nongold
