Question	Based on their locations in the periodic table, which element has chemical properties most similar to those of calcium, Ca?	question
Answer	beryllium, Be	answer
0	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	gold
1	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	gold
2	calcium is a kind of element	nongold
3	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
4	substances have chemical properties	nongold
5	a  chemical property is a kind of  property	nongold
6	a metal is a kind of element	nongold
7	argon is a kind of element	nongold
8	sodium is a kind of metal	nongold
9	an element is a kind of  substance	nongold
10	sodium is a kind of element	nongold
11	potassium is a kind of element	nongold
12	elements in the same group on the Periodic Table of Elements have similar chemical properties	gold
13	an alkaline earth metal is a kind of element	nongold
14	substances are made of elements	nongold
15	metal is a kind of substance	nongold
16	an  element is a kind of atom	nongold
17	tungsten is a kind of metal	nongold
18	chromium is a kind of metal	nongold
19	zinc is a kind of metal	nongold
20	an atom is the smallest particle; unit that has the properties of an element	nongold
21	a type of something is a kind of property of that something	nongold
22	calcium carbonate is made of calcium, carbon, and oxygen	nongold
23	all elements are a kind of pure substance	nongold
24	metals are found on the left side of the periodic table of elements	nongold
25	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
26	an element is made of one kind of atoms	nongold
27	elements in the same group on the Periodic Table of Elements have similar properties	nongold
28	an atom is a kind of object	nongold
29	a halogen is a kind of element	nongold
30	magnesium is a kind of substance	nongold
31	helium is a kind of element	nongold
32	an ion has a net positive; net negative charge	nongold
33	nonmetal means not metal	nongold
34	to be formed by is similar to being produced by	nongold
35	the  chemical symbol for argon is Ar	nongold
36	magnesium is a kind of alkaline earth metal	nongold
37	a nonmetal is a kind of element	nongold
38	an atom is exceptionally small in size	nongold
39	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
40	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
41	place is synonymous with location	nongold
42	the majority of the elements on the periodic table are metals	nongold
43	hydrogen is a kind of element	nongold
44	to be made of something means to be formed of that something	nongold
45	compound is a kind of chemical	nongold
46	metals are made of metal	nongold
47	An example of a chemical property is the elements a compound is made of	nongold
48	the effects of something is a property of that something	nongold
49	composed of means made of	nongold
50	can be means able to be	nongold
51	zinc is always nonmagnetic	nongold
52	made of is similar to contains	nongold
53	contains means located in	nongold
54	a bonding property is a kind of chemical property	nongold
55	if a substance is made of one element , then the substance is called an element	nongold
56	a planet is a kind of location	nongold
57	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
58	metalloid is a kind of element	nongold
59	the chemistry of something is similar to what that something is made of	nongold
60	iron is a kind of element	nongold
61	located means situated	nongold
62	provide is similar to give; make	nongold
63	a compound can be chemically separated into the elements that it is made of	nongold
64	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
65	K means potassium	nongold
66	nonmetal means nonmetals	nongold
67	to give is similar to to cause	nongold
68	a chemical compound is a kind of compound	nongold
69	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
70	an ion with negative charge is formed by atom  gaining electrons	nongold
71	chemical composition is a kind of property	nongold
72	alkali metals are located on the left side; first column on the periodic table	nongold
73	form means kind	nongold
74	the Periodic Table is a table displays elements	nongold
75	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
76	a compound is a kind of substance	nongold
77	argon is a kind of gas	nongold
78	copper is a kind of element	nongold
79	structure is a property of an object; a material; a substance	nongold
80	chemical reactions cause new substances; different substances to form	nongold
81	magnesium fluoride; MgF2 is a kind of substance	nongold
82	an element is a kind of material	nongold
83	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
84	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
85	place; location is synonymous with position	nongold
86	Na means sodium	nongold
87	metal is a kind of material	nongold
88	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
89	reaction to light is a kind of chemical property	nongold
90	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
91	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
92	a pure substance is made of only one kind of atom; molecule	nongold
93	matter; materials; substances are made of atoms; particles	nongold
94	according to is similar to be determined by	nongold
95	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
96	the chemical symbol for tellurium is Te	nongold
97	chromium is always nonmagnetic	nongold
98	combustibility is a kind of  chemical property	nongold
99	a chemical property is the opposite of a physical property	nongold
