Question	One property of liquids is that they have a definite	question
Answer	volume	answer
0	definite is the opposite of variable	nongold
1	Matter in the liquid phase has definite volume	gold
2	Matter in the solid phase has definite volume	nongold
3	volume is a property of matter	gold
4	fixed is similar to definite	nongold
5	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
6	volume has no impact on boiling; melting; freezing point	nongold
7	density is a measure of mass of an object over volume; divided by volume	nongold
8	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
9	Matter in the gas phase has variable volume	nongold
10	a liquid is a kind of substance	nongold
11	a physical property is a kind of property	nongold
12	the volume of an object can be used to describe  the size of that object	nongold
13	indefinite means variable	nongold
14	if a substance has volume , then the substance takes up space	nongold
15	water is a kind of liquid at room temperature	nongold
16	volume is an extensive property	nongold
17	a chemical property is the opposite of a physical property	nongold
18	a solid is a kind of substance	nongold
19	density is a kind of physical property	nongold
20	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
21	a  chemical property is a kind of  property	nongold
22	liquid is a kind of state of matter	nongold
23	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
24	can be means able to be	nongold
25	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
26	to be characterized by  a property means to have that property	nongold
27	objects are made of materials; substances; matter	nongold
28	temperature is a measure of heat energy	nongold
29	size; amount of space means volume	nongold
30	milliliters is a kind of unit for measuring volume of liquids	nongold
31	variable means able to change	nongold
32	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
33	state of matter at room temperature is a kind of physical property	nongold
34	air mass means a volume of air	nongold
35	if an object has a small volume and large mass , then the object will  have a high density	nongold
36	Matter in the solid phase has definite shape	nongold
37	to contain something means to have that something	nongold
38	solid is a kind of state of matter	nongold
39	state of matter is a kind of physical property	nongold
40	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	nongold
41	liters are a kind of unit for measuring volume of liquids	nongold
42	made up of means contains; made of	nongold
43	material means substance	nongold
44	substances are made of matter	nongold
45	temperature changing can cause volume of the object to change	nongold
46	an object has properties	nongold
47	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
48	quantity means amount	nongold
49	a liquid is a kind of fluid	nongold
50	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
51	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
52	to be made of means to consist of	nongold
53	all elements are a kind of pure substance	nongold
54	unit is similar to part	nongold
55	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
56	to add means to increase	nongold
57	the effects of something is a property of that something	nongold
58	an increase is a kind of change	nongold
59	to contain means to have inside	nongold
60	composed of means made of	nongold
61	material composition is a kind of chemical property	nongold
62	heat means heat energy	nongold
63	water is a kind of substance	nongold
64	composition is a property of an object; matter	nongold
65	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
66	to be made of something means to be formed of that something	nongold
67	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
68	must have means require	nongold
69	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
70	expand is a kind of change in volume	nongold
71	substances are made of molecules	nongold
72	affected means changed	nongold
73	form means kind	nongold
74	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
75	consistent means constant	nongold
76	if two substances have the same volume , then the  substance with less density will have less mass	nongold
77	water is a kind of matter	nongold
78	chemical composition is a kind of property	nongold
79	mass is a kind of physical property	nongold
80	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
81	volume means the loudness of a sound	nongold
82	matter is made of molecules	nongold
83	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
84	cubic meter ( m^3 ) is a metric unit used for measuring volume	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	approximately means about	nongold
87	matter; materials; substances are made of atoms; particles	nongold
88	materials are made of matter	nongold
89	not is similar to the opposite of	nongold
90	a human is a kind of animal	nongold
91	an object is made of its parts	nongold
92	the volume of a liquid displaced is similar to the volume of a liquid increased	nongold
93	variability of shape; variability of volume is a kind of physical property	nongold
94	gas is a kind of state of matter	nongold
95	according to is similar to be determined by	nongold
96	moisture means liquid; liquid water	nongold
97	particles in objects are a kind of matter	nongold
98	constant is similar to same	nongold
99	composition means the (materials, substances) of which something is composed	nongold
