Question	When oil is burning, the reaction will	question
Answer	only release energy	answer
0	to emit means to release	nongold
1	most chemical reactions release or absorb heat energy	nongold
2	exergonic chemical reactions only release energy	gold
3	oil is a kind of substance; matter	nongold
4	fire is a kind of chemical reaction	gold
5	oil is a source of energy	nongold
6	respiration releases energy	nongold
7	combustion is a kind of exothermic reaction	nongold
8	fire causes burning	gold
9	oil is a kind of liquid	nongold
10	oil is a kind of liquid	nongold
11	producing is similar to releasing	nongold
12	converting is similar to releasing	nongold
13	combustion means fire converts chemical energy into light energy and heat energy	nongold
14	produce is similar to release	nongold
15	chemical energy is a kind of energy	nongold
16	combustion is a kind of exergonic reaction	gold
17	heat is a kind of energy	gold
18	heat means heat energy	nongold
19	if something releases something else then that something is the source of that something else	gold
20	burning gasoline is a source of  heat energy	nongold
21	fuel contains chemical energy	nongold
22	a flame are a part of a fire	nongold
23	gasoline is a source of chemical energy	nongold
24	fossil fuel contains chemical energy	nongold
25	combustion is a kind of chemical change	nongold
26	a chemical reaction is a kind of process	nongold
27	petroleum is a kind of fossil fuel	nongold
28	food is a kind of chemical energy	nongold
29	fuel is a source of energy	nongold
30	to combust means to catch fire	gold
31	to exhale means to release	nongold
32	a reaction is a kind of process	nongold
33	chemical reactions cause chemical change	nongold
34	to add means to increase	nongold
35	an endothermic reaction converts heat energy into chemical energy	nongold
36	heat energy is synonymous with thermal energy	nongold
37	an exothermic process releases heat energy; light energy	nongold
38	cooking causes a chemical reaction	nongold
39	oil is a kind of fossil fuel	nongold
40	fuel is a kind of energy source	nongold
41	if something causes an increase in something else then that something produces that something else	nongold
42	to give off means to be the source of	gold
43	a source of something emits; produces; generates; provides that something	nongold
44	thermal energy is a kind of energy	nongold
45	a fire requires  oxygen to burn	nongold
46	An example of combustion is explosion	nongold
47	adding heat to an object sometimes causes chemical reactions	nongold
48	photosynthesis is a kind of chemical reaction	nongold
49	emit means produce	nongold
50	fire gives off light; heat; smoke	gold
51	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
52	burning is a kind of action	nongold
53	a burner is a kind of object; surface	nongold
54	oil is  insoluble in water	nongold
55	hydrogen contains chemical energy	nongold
56	chemical change is a kind of chemical reaction	nongold
57	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
58	temperature is a measure of heat energy	nongold
59	cooking oil is a kind of oil	nongold
60	releasing energy is a kind of function	nongold
61	burning coal is a kind of exothermic reaction	nongold
62	fire transfers heat through waves	nongold
63	high is similar to increase	nongold
64	chemical energy is a kind of potential energy	nongold
65	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
66	an increase is the opposite of a decrease	nongold
67	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
68	combining; mixing two substances chemically causes chemical reactions	nongold
69	vegetable oil is a kind of fuel	nongold
70	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
71	if too much heat is transferred to an object then that object may burn	nongold
72	energy transformation means one kind of energy changes into another kind of energy	nongold
73	a stove generates heat for cooking usually	nongold
74	gas is a kind of substance	nongold
75	an exothermic reaction increases the amount of heat	nongold
76	if something causes a process then that something is required for that process	nongold
77	hot means high in heat energy; temperature	nongold
78	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
79	a hot pack reaction is a kind of exothermic reaction	nongold
80	sulfur dioxide is formed by the combustion of fossil fuels	nongold
81	a process is a kind of event	nongold
82	combustibility means the ability of combustion	nongold
83	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
84	photosynthesis is a kind of chemical  process	nongold
85	if something generates energy for something else then that something powers that something else	nongold
86	burning wood is used to produce heat	nongold
87	an event is a kind of action	nongold
88	if gases are released by a chemical reaction then the total mass of the product will be less than the total mass of the reactants	nongold
89	a liquid is a kind of substance	nongold
90	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
91	deplete is similar to decrease	nongold
92	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
93	oil is a kind of energy resource	nongold
94	heating means adding heat	nongold
95	a fuel is used to make energy	nongold
96	fossil fuels have high potential energy	nongold
97	low is similar to decrease	nongold
98	affected means changed	nongold
99	to reduce means to decrease	nongold
