Question	Sandy and Keith plan to move a 6-kilogram block. If they wanted to calculate the mechanical energy required to move the block, what units would they use to report their answer?	question
Answer	joules	answer
0	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	gold
1	a kilogram is a kind of unit for measuring mass	nongold
2	calculation means measurement	nongold
3	mechanical energy is a kind of energy	nongold
4	to measure means to calculate	gold
5	An example of mechanical energy is an object in motion	nongold
6	mechanical energy can  cause objects to move	nongold
7	mechanical energy is used to move something by animals	nongold
8	a block is a kind of object	nongold
9	to report means to show	nongold
10	timing; multiplying is a kind of calculating	nongold
11	kinetic energy is a kind of mechanical energy	nongold
12	sand is made of very small rocks; minerals	nongold
13	a gram  is a kind of unit for measuring mass	nongold
14	measuring sometimes requires  recording; learning an amount	nongold
15	a meter is a kind of unit for measuring distance; measuring length	nongold
16	sand  is a kind of solid	nongold
17	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
18	requiring something means needing that something	nongold
19	recording an observation sometimes requires measuring	nongold
20	sand  is a kind of substance	nongold
21	sand is made of small particles	nongold
22	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
23	a simple machine requires mechanical energy to function	nongold
24	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
25	answering questions requires information	nongold
26	unit is similar to part	nongold
27	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
28	motion; movement means moving; to move	nongold
29	sand  is a kind of material	nongold
30	calculating is similar to estimating	nongold
31	to be used for something means to be required by that something	nongold
32	calculating speed requires knowing distance travelled	nongold
33	distance moved; distance travelled is a measure of how far an object moves	nongold
34	recording data is similar to showing data	nongold
35	a measurement is a kind of data	nongold
36	if a property affects a value then that property is needed to calculate that value	nongold
37	measuring requires reading a measurement	nongold
38	when an animal moves , chemical energy is converted to mechanical energy	nongold
39	sand is similar to soil	nongold
40	sand is always nonmagnetic	nongold
41	a motion is a kind of event; action	nongold
42	meters;centimeters;kilometers are used to describe distance; describe length	nongold
43	an animal requires energy to move	nongold
44	objects are made of materials; substances; matter	nongold
45	motion is a source of kinetic energy in an object	nongold
46	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
47	recording is similar to measuring	nongold
48	An example of an object with kinetic energy is an object in motion	nongold
49	to be required means to be necessary	nongold
50	wind carries; transports sand; dirt from one place to another place	nongold
51	square meter ( m^2 ) is a metric unit used for measuring area	nongold
52	requiring is similar to needing help	nongold
53	waves contain mechanical energy	nongold
54	vibration is a kind of motion	nongold
55	mechanical force is a kind of mechanical energy	nongold
56	picometer ( pm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
57	an instrument is a piece of equipment	nongold
58	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
59	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
60	density is a measure of mass of an object over volume; divided by volume	nongold
61	mechanical weathering is when rocks are broken down by mechanical means	nongold
62	an increase is a kind of change	nongold
63	measuring is used for describing an object	nongold
64	a molecule is a kind of object	nongold
65	a tool is a kind of object	nongold
66	K means potassium	nongold
67	a centimeter is a kind of unit of measurement	nongold
68	high is similar to increase	nongold
69	a particle is a kind of object	nongold
70	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
71	seconds are a kind of unit for measuring time	nongold
72	to depend on; to rely on; to need means to require	nongold
73	mechanical energy exerted by an object can be used to push or pull another object	nongold
74	milliliters is a kind of unit for measuring volume of liquids	nongold
75	mass is a measure of the amount of matter in an object	nongold
76	observations; data are a part of the results of an experiment	nongold
77	an event is a kind of action	nongold
78	heat is a kind of energy	nongold
79	sand  is a kind of mixture	nongold
80	a human is a kind of animal	nongold
81	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
82	decimeters ( dm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 10.0	nongold
83	materials are made of matter	nongold
84	sand is insoluble in water	nongold
85	sand is insoluble in water	nongold
86	instrument means tool	nongold
87	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
88	a molecule is a kind of particle	nongold
89	one is a kind of number	nongold
90	matter; materials; substances are made of atoms; particles	nongold
91	An example of a mixture is sand; clay; soil mixed together	nongold
92	cubic meter ( m^3 ) is a metric unit used for measuring volume	nongold
93	heat means heat energy	nongold
94	the function of something is what that something  is used to do	nongold
95	pulling is a kind of motion	nongold
96	can be means able to be	nongold
97	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
98	a unit for measuring time is a kind of time interval	nongold
99	movement is a kind of change	nongold
