Question	Which of the following is an example of matter changing state?	question
Answer	heating a pan of water until the water is all gone	answer
0	a pan;frying pan is a kind of container for cooking; food	nongold
1	water is an thermal; thermal energy conductor	nongold
2	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
3	a pan is a kind of object	nongold
4	pot;pan;frying pan is made of metal for cooking	nongold
5	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
6	liquid is a kind of state of matter	gold
7	heating means adding heat	gold
8	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
9	metal is a thermal; thermal energy conductor	nongold
10	water is a kind of matter	nongold
11	water is a kind of liquid at room temperature	gold
12	heat energy can change the state of matter	nongold
13	temperature is a measure of heat energy	nongold
14	state of matter means physical state	nongold
15	heat means heat energy	gold
16	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
17	boiling is a kind of phase change	nongold
18	heating is the opposite of cooling	nongold
19	boiling is when liquids are heated above their boiling point	nongold
20	physical state means state of matter	nongold
21	water is a kind of substance	nongold
22	heat means the transfer of thermal energy	nongold
23	heat energy is synonymous with thermal energy	nongold
24	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
25	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
26	conductivity is a property of a material; substance	nongold
27	solid is a kind of state of matter	nongold
28	state of matter is a kind of physical property	nongold
29	state of matter at room temperature is a kind of physical property	nongold
30	thermal conduction is when heat flows from warmer object to cooler object	nongold
31	adding heat means increasing temperature	nongold
32	a thermal conductor is made of materials that conduct thermal energy	nongold
33	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
34	a kind of something is an example of that something	nongold
35	a liquid is a kind of substance	nongold
36	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
37	a phase change is a kind of physical change	nongold
38	heat means temperature increases	nongold
39	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
40	objects are made of materials; substances; matter	nongold
41	materials are made of matter	nongold
42	heat energy  can be used to heat up  an object	nongold
43	water is a kind of object	nongold
44	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
45	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
46	substances are made of matter	nongold
47	conductivity is a kind of physical property	nongold
48	a thermal insulator slows; prevents the transfer of heat	nongold
49	a container contains objects; material; substances	nongold
50	material means substance	nongold
51	disappeared is similar to gone	gold
52	to add means to increase	nongold
53	metal is a kind of material	nongold
54	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
55	plastic is a kind of thermal insulator	nongold
56	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
57	ability to undergo a phase change is a property of a substance; material	nongold
58	friction causes the temperature of an object to increase	nongold
59	if something is places over a heat source then that something is exposed to that heat source	nongold
60	if one surface; one substance; one object touches something then one is exposed to that something	nongold
61	cooling is a kind of process	nongold
62	heating salt water causes the water to evaporate while the salt remains	nongold
63	boiling means the volume of a liquid decreases	nongold
64	if an object is made of a material then that object has the properties of that material	nongold
65	when a cooler object touches a warmer object , thermal conduction occurs	nongold
66	a hot substance is a source of heat	nongold
67	an increase is a kind of change	nongold
68	thermal energy is a kind of energy	nongold
69	boiling is a kind of event	nongold
70	if a container contains something then that container touches that something	nongold
71	the heat energy in the cooler object increases in thermal conduction	nongold
72	temperature changing can cause phase changes	nongold
73	gas is a kind of state of matter	gold
74	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
75	a surface is a part of a material	nongold
76	a hot plate is a source of heat	nongold
77	cooling means temperature decreases	nongold
78	evaporating is a kind of phase change	nongold
79	a container is a kind of object	nongold
80	a burner is a kind of object; surface	nongold
81	boiling point is the highest temperature a liquid can reach	nongold
82	affected means changed	nongold
83	if heat is added to a substance then that substance absorbs that heat	nongold
84	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
85	boiling point is a property of a substance; material	nongold
86	glass is a kind of solid at room temperature	nongold
87	a source of heat can be used to heat something	nongold
88	a source of heat can be used to heat something	nongold
89	adding something is a kind of change	nongold
90	a metal is usually a solid at room temperature	nongold
91	mass has no impact on boiling; melting; freezing point	nongold
92	a hot; warm something is a source of heat	nongold
93	fire transfers heat through waves	nongold
94	variable means able to change	nongold
95	phase means state	nongold
96	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
97	to change means to cause a change	nongold
98	friction converts mechanical energy into heat energy	nongold
99	to give off means to be the source of	nongold
