Question	A scientist is comparing two body cells of a multicellular organism. Which of the following is most likely identical?	question
Answer	number of chromosomes	answer
0	a multicellular organism is made of many cells	nongold
1	a multicellular organism is a kind of living thing	nongold
2	a multicellular organism contains more than one cell	nongold
3	a multicellular organism has more than one cell	nongold
4	a scientist is a kind of human	nongold
5	same means identical; equal in value; amount; number; quantity	gold
6	two somatic cells from the same multicellular organism will have the same number of chromosomes	gold
7	identical is the opposite of different	nongold
8	a chromosome is a part of a cell	nongold
9	how many means what number	nongold
10	identical means copy	nongold
11	multicellular organisms produce more cells through cell division	nongold
12	the cells of multicellular organisms can specialize	nongold
13	a chromosomes of a human contains thousands of genes	nongold
14	one is a kind of number	nongold
15	amount is similar to number	nongold
16	four is a kind of number	nongold
17	if something is copied then that something will be the same; similar; identical	nongold
18	a single-celled organism is a kind of living thing	nongold
19	a single-celled organism is a kind of organism	nongold
20	single-cell organism means unicellular organism	nongold
21	classifying requires comparing	nongold
22	comparing requires measuring	nongold
23	a body cell means a somatic cell	gold
24	single-celled organism is made of only one cell	nongold
25	scientists make observations	nongold
26	comparing requires observing that something	nongold
27	a multicellular organism is large enough to be visible	nongold
28	cells are a part of the body	nongold
29	a  chromosome contains genes	nongold
30	a single-cell organism cannot specialize	nongold
31	many means high in number	nongold
32	often is similar to likely	nongold
33	the number of parts of something is a property of that something	nongold
34	different is the opposite of the same	nongold
35	the body is a part of an organism	nongold
36	an animal is a kind of organism	nongold
37	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
38	similarity means the same property	nongold
39	chromosome is made of DNA	nongold
40	an organism is a living thing	nongold
41	researcher is a kind of scientist	nongold
42	the number of body parts of an organism is an inherited characteristic	nongold
43	an animal cell is a kind of cell	nongold
44	a cell is very small	nongold
45	a somatic cell of a human contains 23 pairs of; 46  chromosomes	nongold
46	a human cell is a kind of cell	nongold
47	a sex cell of a human contains 23 chromosomes	nongold
48	mitosis produces two cells with the same number of chromosomes as the parent cell	nongold
49	alleles are found at the same place on a chromosome	nongold
50	new cells with a full set of chromosomes are formed by fertilization	nongold
51	a living thing is made of cells	nongold
52	all living things are made of cells according to the cell theory	nongold
53	cell division increases the number of cells in the body	nongold
54	both means two	nongold
55	if two things are made from the same objects; material then those two things are similar	nongold
56	an animal is a kind of living thing	nongold
57	genes are located on chromosomes	nongold
58	opposite is a kind of different	nongold
59	a unicellular organism has one cell	nongold
60	an animal is a kind of eukaryote	nongold
61	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
62	single means one	nongold
63	unique  is the opposite of diverse	nongold
64	classifying is when one sorts something by kind; type	nongold
65	the  property of something is the same for the things of same kind	nongold
66	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
67	a biologist is a kind of scientist	nongold
68	a cell is a kind of object	nongold
69	genetic segregation is when each sex cell receives one copy of each chromosome	nongold
70	if two things perform the same function then those two things are similar	nongold
71	the cell membrane is a part of a cell	nongold
72	to change means to become different	nongold
73	the cell membrane is the membrane around the cell of all living things	nongold
74	each is similar to individual	nongold
75	a cell membrane is a kind of cell structure	nongold
76	mitosis produces cells that are identical to the parent cell	nongold
77	can be means able to be	nongold
78	a plant cell is a kind of cell	nongold
79	if two things have the same features then those two things are alike	nongold
80	a human sperm cell has 23; twenty-three chromosomes	nongold
81	a human is a kind of animal	nongold
82	most means over 50% of something	nongold
83	organisms mean life	nongold
84	conjugation causes two genetically identical cells	nongold
85	the parent cell is the original cell	nongold
86	not is similar to the opposite of	nongold
87	to be made of something means to be formed of that something	nongold
88	cells copy DNA	nongold
89	a cell nucleus is a part of a cell	nongold
90	to match means to be the same	nongold
91	if something changes , then that something is not the same	nongold
92	largest amount means most	nongold
93	a structure of something is synonymous with a part of that something	nongold
94	according to is similar to be determined by	nongold
95	answering questions requires information	nongold
96	a plant is made of plant cells	nongold
97	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	nongold
98	form is similar to body	nongold
99	composed of means made of	nongold
