Question	Which is not an example of animal instinct?	question
Answer	hunting skills	answer
0	animal instinct means instinctive behavior	gold
1	hunting; scavenging is a kind of skill	nongold
2	hunting is a kind of action	nongold
3	skills are learned characteristics; behaviors	gold
4	hunting requires seeing; sensing prey	nongold
5	hunting is when a human kills an animal for food; recreation in the wild	nongold
6	hunting is when an animal kills another animal to eat that animal	nongold
7	a kind of something is an example of that something	nongold
8	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	gold
9	an animal is a kind of living thing	nongold
10	hunting means humans kill animals in the wild	nongold
11	an animal is a kind of organism	nongold
12	an animal knows how to do  instinctive behaviors when it is born	nongold
13	skills often require practice	nongold
14	a predator is a kind of animal	nongold
15	if an animal is trained to do something then that something is a learned behavior	nongold
16	a human is a kind of animal	nongold
17	a living thing is a kind of object	nongold
18	ability is a kind of characteristic	nongold
19	classifying is a kind of skill	nongold
20	answering questions requires information	nongold
21	an organism is a living thing	nongold
22	a deer is a kind of prey	nongold
23	actions mean behavior	nongold
24	can be means able to be	nongold
25	prey  is a kind of animal	nongold
26	An example of an instinct is the kangaroo's ability to crawl into its mother's pouch to drink milk	nongold
27	a tool is a kind of object	nongold
28	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
29	seeking something means trying to find; searching for something	nongold
30	action means activity	nongold
31	a plant is a kind of organism	nongold
32	an event is a kind of action	nongold
33	a behavior is a kind of characteristic	nongold
34	killing means changing a living thing from alive to dead by harming	nongold
35	a deer is a kind of animal	nongold
36	trait means property	nongold
37	performance is similar to ability	nongold
38	human is a kind of organism	nongold
39	a plant is a kind of living thing	nongold
40	intelligence is an acquired characteristic	nongold
41	not is similar to the opposite of	nongold
42	a predator is a kind of enemy to its prey	nongold
43	over hunting means overhunting	nongold
44	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
45	being able to read is a kind of skill	nongold
46	trait is synonymous with characteristic	nongold
47	a type is synonymous with a kind	nongold
48	curiosity is a kind of human quality	nongold
49	driving is a kind of skill for operating a vehicle	nongold
50	a mammal is a kind of animal	nongold
51	a sense is a kind of ability	nongold
52	An example of an instinctive behavior is a baby bird pecking at its shell to hatch	nongold
53	An example of hunting is an otter cracking open clams with a rock	nongold
54	knowing sometimes requires determing	nongold
55	a rabbit is a kind of prey	nongold
56	a wolf is a kind of animal	nongold
57	a component of something means a part of that something	nongold
58	a learned characteristic is a kind of acquired characteristic	nongold
59	to be capable means can	nongold
60	using tools is a learned characteristic	nongold
61	a component means a part of	nongold
62	a motion is a kind of event; action	nongold
63	aspect of something is similar to part of something	nongold
64	a structure of something is synonymous with a part of that something	nongold
65	cooking is a kind of skill for preparing food	nongold
66	prey is a kind of food for predators	nongold
67	conditioned behavior is a kind of learned behavior	nongold
68	form means kind	nongold
69	can means having the ability to	nongold
70	better means good	nongold
71	impact means effect	nongold
72	to act on means to affect	nongold
73	a plant; living thing requires food for survival	nongold
74	a predator eats other animals for food	nongold
75	inability is the opposite of ability	nongold
76	survive means live	nongold
77	survive means live	nongold
78	process is similar to method	nongold
79	an object is made of its parts	nongold
80	to try means to make an effort	nongold
81	an hawk is a kind of predator	nongold
82	sense is a kind of characteristic of an animal	nongold
83	something is used for that something's purpose	nongold
84	a factor impacts something	nongold
85	the ability to do means be able to do	nongold
86	a process is a kind of event	nongold
87	a fox is a kind of animal	nongold
88	a hawk is a kind of animal	nongold
89	a part of something means a characteristic of something	nongold
90	a rabbit is a kind of animal	nongold
91	high is similar to increase	nongold
92	characteristic means property	nongold
93	to be made of something means to be formed of that something	nongold
94	to depend on; to rely on; to need means to require	nongold
95	to be used for something means to be required by that something	nongold
96	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
97	to be formed by is similar to being produced by	nongold
98	good means positive	nongold
99	to give is similar to to cause	nongold
