Question	What is the main reason we can see the Moon?	question
Answer	The Moon reflects the light from the Sun.	answer
0	sight means to see	nongold
1	a moon is a kind of celestial object; body	gold
2	the Moon is Earth's moon	nongold
3	the moon reflects sunlight towards the Earth	gold
4	the sun is a source of light; light energy called sunlight	gold
5	seeing requires light	nongold
6	observe means see	nongold
7	to view means to see	nongold
8	to see means to look	nongold
9	sight means vision	nongold
10	viewing means observing light	nongold
11	seeing is used for sensing visual things	nongold
12	visible means able to be seen	nongold
13	sunlight is a kind of light	gold
14	moons are large; solid; spherical	nongold
15	the Sun is a kind of star	nongold
16	reflection is when light is reflected from one object; one place to  another object; another place	nongold
17	the moon orbits the Earth	nongold
18	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
19	eyes can sense;detect light energy for seeing	nongold
20	eyes are used for seeing by animals by sensing light	nongold
21	the moon is the celestial object that is closest to the  Earth	nongold
22	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
23	eyes are a part of a human for seeing	nongold
24	to bounce back means to reflect	nongold
25	planets reflect the light of the sun	nongold
26	eyes are usually part of an animal for seeing	nongold
27	reflecting light; sound is the opposite of absorbing light; sound	nongold
28	to shine means to emit light	nongold
29	a cause of something is a reason for that something	nongold
30	if an object reflects light toward the eye then that object can be seen	gold
31	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
32	an animal is a kind of living thing	nongold
33	type of moon; kind of moon means moon phase	nongold
34	to receive sunlight means to absorb sunlight	nongold
35	the sun is a source of radiation; heat called sunlight	nongold
36	light reflecting off of an object causes that object to be visible to the observer	nongold
37	where something  comes from is a source of that something	gold
38	sight is a kind of sense	nongold
39	the Moon is closer to the Earth than the Sun	nongold
40	if something comes from something else then that something else is a source of that something	nongold
41	the new moon is when the lighted half of the moon faces the Sun	nongold
42	comets reflect the light of the sun	nongold
43	a planet is a kind of celestial object; body	nongold
44	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
45	the sun is a kind of yellow dwarf	nongold
46	brightness means amount of light	nongold
47	a living thing is a kind of object	nongold
48	reflection is a property of light	nongold
49	sunlight means solar energy	nongold
50	visible light is a kind of  light	nongold
51	if an object reflects more light then that object is more easily seen	nongold
52	receiving sunlight  is synonymous with absorbing sunlight	nongold
53	a full moon is a kind of phase of the moon	nongold
54	the moon is less bright than the sun	nongold
55	shiny things; objects reflect light	nongold
56	bright means bright; light in color	nongold
57	sunlight is a kind of solar energy	nongold
58	a star is a kind of celestial object; celestial body	nongold
59	solar radiation means solar energy	nongold
60	the sun is the source of solar energy called sunlight	nongold
61	sunlight shining means sunlight is provided	nongold
62	the sun is not a star in the night sky	nongold
63	light means light energy	nongold
64	the moon rotates on its axis	nongold
65	a human is a kind of animal	nongold
66	the new moon is when the dark half of the moon faces the Earth	nongold
67	to reflect light means to scatter light	nongold
68	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
69	the eyes are part of the head used for seeing	nongold
70	the dark half of the moon is not visible	nongold
71	the Moon has less water; air than Earth	nongold
72	solar energy is a kind of light	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	Earth's shadow falling on the moon causes a lunar eclipse	nongold
75	an animal is a kind of organism	nongold
76	the solar system contains the moon	nongold
77	human eyes can only see light in the range of visible light	nongold
78	moons; comets; planets are part of the solar system	nongold
79	intensity of sunlight is similar to amount of sunlight	nongold
80	invisible means cannot be seen	nongold
81	can be means able to be	nongold
82	bright means a lot of light	nongold
83	a moon phase is a kind of natural event	nongold
84	a planet's  moon is smaller than that planet	nongold
85	better look means see better	nongold
86	if something transfers something else then that something is a source of something else	nongold
87	a new moon is a kind of phase of the moon	nongold
88	UV light is a kind of light	nongold
89	the Sun is the  star that is closest to Earth	nongold
90	bouncing something back means reflecting that something	nongold
91	objects are made of materials; substances; matter	nongold
92	the moon rising occurs once per day	nongold
93	can means having the ability to	nongold
94	reflection is a kind of process	nongold
95	an organism is a living thing	nongold
96	looking directly at an eclipse of the Sun causes harm to the eyes	nongold
97	if something is outside during the day , then that something will reflect enough light to be seen	nongold
98	the moon does not contain air; water	nongold
99	the phases of the Moon change the appearance of the Moon	nongold
