Question	Changes in the weather are important to people living in Alaska. Which two tools best help scientists to share information about weather?	question
Answer	radio and computer	answer
0	communicating means sharing information	gold
1	a computer is used for communication; finding information	gold
2	helping means to assist in a change	nongold
3	a radio is a kind of tool	gold
4	to be used  for something means to help to do that something	gold
5	answering questions requires information	nongold
6	Alaska is a state located in the United States of America	nongold
7	if something requires something else then that something else is important to that something	nongold
8	a scientist is a kind of human	nongold
9	a computer is a kind of tool	gold
10	to help means to aid	nongold
11	helping means something can be done; completed more easily; better	nongold
12	both means two	nongold
13	if something has a positive impact on something else then that something is important to that something else	nongold
14	person is synonymous with human	nongold
15	instrument means tool	nongold
16	weather is a property of a environment	nongold
17	temperature is a property of weather	nongold
18	to help; to benefit means to be of use	nongold
19	data means information	nongold
20	scientists make observations	nongold
21	a person is a kind of animal	nongold
22	precipitation is a kind of weather	nongold
23	weather  usually happens in troposphere	nongold
24	a radio is used for communication	gold
25	climate is the usual kind of weather in a location over a period of time	nongold
26	to be helpful means to help to do	nongold
27	helping something has a  positive impact on that something	nongold
28	if studying something is used to learn about something then that something is a source of information	nongold
29	getting information sometimes requires observing; observation	nongold
30	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
31	knowing the properties of something means knowing information about that something	nongold
32	communication has a positive impact on a person's life	nongold
33	heat has a great impact on weather	nongold
34	a tool is a kind of object	nongold
35	weather is  a measure of the condition of the air in a place at a certain time	nongold
36	a human is a kind of animal	nongold
37	weather changes from seasons to seasons	nongold
38	role is similar to importance	nongold
39	precipitation is a property of weather	nongold
40	a change is a kind of event	nongold
41	a weather report describes weather	nongold
42	change is a kind of impact	nongold
43	variable means able to change	nongold
44	researcher is a kind of scientist	nongold
45	to be used for something means to be required by that something	nongold
46	a radio contains a speaker	nongold
47	learning; studying information causes one to know that information	nongold
48	best means most positive	nongold
49	an increase is a kind of change	nongold
50	storm is a kind of weather; weather event	nongold
51	an animal is a kind of organism	nongold
52	affected means changed	nongold
53	life means living things	nongold
54	information is used to describe something	nongold
55	requiring is similar to needing help	nongold
56	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
57	a climate is synonymous with an environment	nongold
58	a planet is a kind of place	nongold
59	an environment is a kind of place	nongold
60	change is a kind of process	nongold
61	to change means to cause a change	nongold
62	weather is a source of wind and water for the weathering process	nongold
63	technology is similar to tool	nongold
64	a user is a kind of person	nongold
65	high is similar to increase	nongold
66	something that is used for communication increases communication	nongold
67	location is a kind of information	nongold
68	live means to be alive	nongold
69	winter has cold temperatures;weather	nongold
70	cloudy is a kind of  weather	nongold
71	an event is a kind of action	nongold
72	an animal is a kind of living thing	nongold
73	to depend on; to rely on; to need means to require	nongold
74	speaking is a kind of communication	nongold
75	clear weather means sunny; not cloudy; not rainy weather	nongold
76	device means tool	nongold
77	events occur at a specific place; at a specific time; with a specific frequency	nongold
78	a decrease is a kind of change	nongold
79	monitoring something is used for knowing information about that something	nongold
80	a radio is a kind of electrical device	nongold
81	if something required by something else is in a place then that something else may be in that place	nongold
82	an organism is a living thing	nongold
83	a research team is made of humans	nongold
84	dying is the opposite of living; surviving	nongold
85	windy is a kind of weather	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	summer has hot temperatures; weather	nongold
88	sunny is a kind of weather	nongold
89	if something causes a process then that something is required for that process	nongold
90	sky conditions are a property of weather	nongold
91	adding something is a kind of change	nongold
92	a region is similar to an environment	nongold
93	action can cause change	nongold
94	scientific discoveries sometimes require specific technologies	nongold
95	live is similar to stay	nongold
96	performing a task in less time; more quickly; faster has a positive impact on a person's life	nongold
97	a cloud is a kind of weather	nongold
98	to lower means to decrease	nongold
99	language is a kind of communication	nongold
