Question	One way to protect against food poisoning is to	question
Answer	cook food to proper temperatures.	answer
0	cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses	gold
1	poison causes harm to living things; organisms	nongold
2	protecting something means preventing harm to that something	nongold
3	baking is when a human makes food by adding heat	nongold
4	baking is similar to cooking	nongold
5	harming something has a  negative impact on; effect on that something	nongold
6	to protect means to defend	nongold
7	cooking food requires adding heat energy to the food	nongold
8	cooking causes a chemical reaction	nongold
9	cookware is used for cooking	nongold
10	a poison is very poisonous	nongold
11	frying food is a kind of cooking	nongold
12	poisoning an environment means poisoning the organisms in that environment	nongold
13	something hard; something strong can be used for protection	nongold
14	food poisoning is a kind of illness	gold
15	a poison is a kind of substance	nongold
16	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
17	pot;pan;frying pan is made of metal for cooking	nongold
18	something harmful can cause harm	nongold
19	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
20	protecting is a kind of function	nongold
21	cooking is a kind of skill for preparing food	nongold
22	cooking is a kind of process	nongold
23	harming an organism can cause that organism to die	nongold
24	temperature is a measure of heat energy	nongold
25	protecting a living thing has a  positive impact on that living thing's survival; health	gold
26	if food is cooked then heat energy is added to that food	gold
27	adverse effect means negative impact	nongold
28	a human is a kind of animal	nongold
29	protection means resistance to damage increases	nongold
30	an animal is a kind of organism	nongold
31	to protect means to make safe	nongold
32	negative impact is the opposite of positive impact	gold
33	a poisonous animal is dangerous	nongold
34	a pan;frying pan is a kind of container for cooking; food	nongold
35	bacteria; viruses cause food poisoning	gold
36	helping something has a  positive impact on that something	nongold
37	to eat means to consume food	nongold
38	heating means adding heat	nongold
39	to serve as means to be used as	nongold
40	toxic means poisonous	nongold
41	a microwave cooks food faster than an oven does	nongold
42	to cause means to make	nongold
43	microwaves harm people that have pacemakers	nongold
44	breakfast is a kind of food	nongold
45	cooking is a kind of action	nongold
46	food is a kind of substance	nongold
47	a hot plate is a source of heat	nongold
48	to help; to benefit means to be of use	nongold
49	hot means high in heat energy; temperature	nongold
50	a stove is used for cooking by generating heat	nongold
51	to be a source of something means to cause that something	nongold
52	heat means heat energy	gold
53	food spoiling has a negative impact on the health of the animal that eats that food	nongold
54	chemical splashing can cause harm to humans; to the eyes	nongold
55	something dangerous can cause harm	nongold
56	answering questions requires information	nongold
57	warm means medium heat energy; temperature	nongold
58	fresh food is usually safe to eat	nongold
59	harm means danger	nongold
60	human is a kind of organism	nongold
61	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
62	to be used  for something means to help to do that something	nongold
63	eating food that contains pesticides can have a negative impact on humans	nongold
64	to cause means to have an effect	nongold
65	an animal usually requires a warm body temperature for survival	nongold
66	high is similar to increase	nongold
67	an oven is a source of heat	nongold
68	food is what an animal eats	nongold
69	food is a kind of object	nongold
70	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
71	a stove generates heat for cooking usually	nongold
72	to give is similar to to cause	nongold
73	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
74	best means most positive	nongold
75	heat energy is synonymous with thermal energy	nongold
76	a burner is a part of a  stove	nongold
77	an animal is a kind of living thing	nongold
78	the immune system defends the body against disease	nongold
79	temperature is a kind of condition	nongold
80	requiring is similar to needing help	nongold
81	person is synonymous with human	nongold
82	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
83	inhibitor means something that prevents something from happening	nongold
84	soup is a kind of food	nongold
85	a negative impact is a kind of consequence; risk	nongold
86	a plant; living thing requires food for survival	nongold
87	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
88	an increase is the opposite of a decrease	nongold
89	solution is similar to a positive impact	nongold
90	providing something means making;delivering something	nongold
91	safe is the opposite of unsafe; harm; danger	nongold
92	to slow; to slow down decreases speed	nongold
93	to add means to increase	nongold
94	killing means harming something causing death	gold
95	a vegetable is a kind of food	nongold
96	if a living thing requires something then that something has a positive impact on that living thing	nongold
97	a positive impact is a helpful effect	nongold
98	covering something is a kind of protection	nongold
99	staying warm has a positive impact on an animal's survival; health	nongold
