Question	Which characteristic is the best example of an inherited trait?	question
Answer	eye color	answer
0	eye color is an inherited characteristic	gold
1	the color of; coloration of fur is an inherited characteristic	nongold
2	an inherited characteristic is a kind of characteristic	nongold
3	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
4	the colors of parts of an organism are inherited characteristics	nongold
5	feature is synonymous with characteristic	nongold
6	trait is synonymous with characteristic	gold
7	a kind of something is an example of that something	nongold
8	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
9	personality is an acquired characteristic	nongold
10	intelligence is an acquired characteristic	nongold
11	eyes are a part of a human for seeing	nongold
12	eyes are usually part of an animal for seeing	nongold
13	a part of something means a characteristic of something	nongold
14	senses are an inherited characteristic	nongold
15	an animal is a kind of organism	nongold
16	what an object is made of is a kind of characteristic	nongold
17	the shape of body parts is an inherited characteristic	nongold
18	a human is a kind of animal	nongold
19	a type is synonymous with a kind	nongold
20	coloration means a thing's color	nongold
21	an animal is a kind of living thing	nongold
22	characteristic means property	nongold
23	a face is often a part of an animal	nongold
24	a learned characteristic is a kind of acquired characteristic	nongold
25	the condition of parts of an organism are acquired characteristics	nongold
26	an organism is a living thing	nongold
27	coloration means a pattern of colors	nongold
28	freckles are an inherited characteristic	nongold
29	unique  is the opposite of diverse	nongold
30	the number of body parts of an organism is an inherited characteristic	nongold
31	the head is a part of an animal	nongold
32	the length of body parts is an inherited characteristic	nongold
33	the size of an organism is an inherited characteristic	nongold
34	a living thing is a kind of object	nongold
35	children; young is synonymous with offspring	nongold
36	an ear is a kind of body part	nongold
37	genes are able to determine the inherited characteristics of a living thing	nongold
38	human is a kind of organism	nongold
39	color is a property of  an object; a material	nongold
40	person is synonymous with human	nongold
41	species is an inherited characteristic	nongold
42	if an animal's fur is a color then that animal is that color	nongold
43	a nose is a part of a body	nongold
44	the eyes are part of the head used for seeing	nongold
45	human is similar to individual	nongold
46	a dog is a kind of animal	nongold
47	a cat is a kind of animal	nongold
48	dark eyes is a dominant trait in human	nongold
49	trait means property	nongold
50	a child is a kind of young human	nongold
51	a body part is a kind of object	nongold
52	a structure of something is synonymous with a part of that something	nongold
53	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
54	blood type is an inherited characteristic	nongold
55	a structure is a kind of feature	nongold
56	the thickness of the parts of an organism is an inherited characteristic	nongold
57	style is an acquired characteristic	nongold
58	curly hair is an inherited characteristic	nongold
59	a behavior is a kind of characteristic	nongold
60	a baby is the offspring of a parent	nongold
61	a baby is the offspring of a parent	nongold
62	to impact means to affect	nongold
63	a scar is an acquired characteristic	nongold
64	to look like means to have the visual properties of	nongold
65	to be characterized by  a property means to have that property	nongold
66	not is similar to the opposite of	nongold
67	best means most positive	nongold
68	the body is a part of an organism	nongold
69	an increase is the opposite of a decrease	nongold
70	if something affects a part of something else then that something affects that something else	nongold
71	blue eyes are similar to light eyes	nongold
72	answering questions requires information	nongold
73	brown is a kind of color	nongold
74	small is the opposite of large	nongold
75	color is a kind of physical; visual property	nongold
76	height is an inherited characteristic	nongold
77	affected means changed	nongold
78	reproductive behavior is an inherited characteristic	nongold
79	genetic; hereditary means of genes; heredity	nongold
80	fur is often part of an animal	nongold
81	ability is a kind of characteristic	nongold
82	high is similar to increase	nongold
83	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
84	sound of voice is an inherited characteristic	nongold
85	the  diet of an animal is an inherited characteristic	nongold
86	good means positive	nongold
87	an part of an object is smaller than the entire object	nongold
88	a human is a kind of mammal	nongold
89	colorless means no color	nongold
90	coloration is a kind of adaptation for hiding;camouflage	nongold
91	a puppy is a young; baby dog	nongold
92	parents produce offspring	nongold
93	physical fitness is an acquired characteristic	nongold
94	skills are learned characteristics; behaviors	nongold
95	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
96	sense is a kind of characteristic of an animal	nongold
97	phenotype of an organism means the visible traits of  an organism	nongold
98	better means good	nongold
99	a girl is a kind of organism	nongold
