Question	In 1987, a supernova was detected in the Large Magellanic Cloud galaxy, which is approximately 169,000 light years from Earth. Which event produces a supernova?	question
Answer	the explosion of a massive star	answer
0	a supernova is formed by a star exploding	gold
1	exploding is similar to explosion	gold
2	An example of combustion is explosion	nongold
3	a supernova is a kind of celesetial object	nongold
4	a source of something emits; produces; generates; provides that something	nongold
5	galaxies are located  millions of light years from Earth	nongold
6	massive means giant	nongold
7	if something causes an increase in something else then that something produces that something else	nongold
8	a galaxy is a kind of very large system of stars	nongold
9	something that happens is a kind of event	nongold
10	a star collapsing causes a supernova	nongold
11	a galaxy is a kind of celestial body; celestial object	nongold
12	a cloud is a kind of object	nongold
13	a galaxy is a kind of celestial body	nongold
14	massive means great in mass	nongold
15	Earth is a kind of planet	nongold
16	an event is a kind of action	nongold
17	a star is a kind of celestial object; celestial body	nongold
18	a change is a kind of event	nongold
19	massive is similar to large	nongold
20	a galaxy is made of stars	nongold
21	a star is formed by collapsing clouds of gas and dust	nongold
22	approximately means about	nongold
23	producing is similar to causing	nongold
24	events occur at a specific place; at a specific time; with a specific frequency	nongold
25	a supernova is bright	nongold
26	a process is a kind of event	nongold
27	to produce means to create	nongold
28	generate means produce	nongold
29	a motion is a kind of event; action	nongold
30	to be formed by is similar to being produced by	gold
31	exploding fireworks is a kind of explosion	nongold
32	emit means produce	nongold
33	small stars burn for billions of years	nongold
34	event is similar to occurrence	nongold
35	to detect means to find	nongold
36	to happen means to occur	nongold
37	a galaxy contains dust; stars; planets	nongold
38	if something releases something else then that something is the source of that something else	nongold
39	a type is synonymous with a kind	nongold
40	clouds are located in the atmosphere	nongold
41	a star is a source of light; light energy through nuclear reactions	nongold
42	explosions can cause harm to an organism	nongold
43	to produce means to result in	nongold
44	converting is similar to producing	nongold
45	make means produce	nongold
46	a white dwarf is a kind of star	nongold
47	a star produces light and heat	nongold
48	producing is a kind of process	nongold
49	products are formed; are produced; are created	nongold
50	to be a source of something means to cause that something	nongold
51	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
52	stars are located light years apart from each other	nongold
53	can be means able to be	nongold
54	a galaxy is held together by gravity	nongold
55	a light-year is used for describing long distances	nongold
56	Earth is located in the Milky Way Galaxy	nongold
57	stellar means related to stars	nongold
58	galaxies are usually thousands of light years in diameter	nongold
59	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
60	a typical galaxy contains billions of stars	nongold
61	clouds are usually found in the sky	nongold
62	years are a kind of unit for measuring time	nongold
63	to be made of something means to be formed of that something	nongold
64	to cause an event is similar to being involved in that event	nongold
65	a halo is a part of a galaxy	nongold
66	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
67	the sun rising is a kind of event	nongold
68	producing is similar to releasing	nongold
69	intense means high in intensity	nongold
70	a nebula is a kind of celestial body	nongold
71	a yellow dwarf is a kind of main-sequence star	nongold
72	movements of celestial bodies are a kind of event	nongold
73	a cloud is a kind of weather	nongold
74	composed of means made of	nongold
75	the sun setting is a kind of event	nongold
76	galaxies often contain hundreds of billions of stars	nongold
77	a star is made of gases	nongold
78	to contribute is similar to produce	nongold
79	produce is similar to release	nongold
80	a black hole is formed by a high-mass star collapsing	nongold
81	a cycle happens; occurs repeatedly	nongold
82	a component of something means a part of that something	nongold
83	revolving  around something means orbiting that something	nongold
84	a galaxy is made of a group of objects in space	nongold
85	a kind of something is an example of that something	nongold
86	clouds and dust block visible light	nongold
87	a star's type is determined by the star's mass	nongold
88	no longer means used to be	nongold
89	a spiral galaxy is a kind of galaxy	nongold
90	a component means a part of	nongold
91	answering questions requires information	nongold
92	astronomy is the study of celestial (objects, bodies)	nongold
93	to generate means to create	nongold
94	main-sequences stars are a kind of star	nongold
95	absorption is a kind of event	nongold
96	creating is similar to causing	nongold
97	if something generates energy for something else then that something powers that something else	nongold
98	destruction means to destroy	nongold
99	a galaxy is a kind of structure	nongold
