Question	A simple food chain includes hawks, lizards, and insects. Which will most likely happen to the lizard and hawk populations if a pesticide is sprayed to kill the insects, and the lizard and hawk populations cannot find other food in this ecosystem?	question
Answer	Both the lizard population and the hawk population will decrease.	answer
0	hawks;eagles eat snakes;lizards; rats; rabbits; mice	gold
1	a lizard is a kind of animal	gold
2	as the population of insects decreases , the population of lizards will likely decrease because lizards eat insects	nongold
3	a pesticide is usually very poisonous to insects	nongold
4	an hawk is a kind of predator	nongold
5	lizards eat insects	gold
6	a hawk is a kind of animal	gold
7	a hawk is a kind of bird	nongold
8	if a source of food for an animal decreases then the animal will have to find other types of food to survive	nongold
9	an insect is a kind of prey	nongold
10	a pesticide is used for protecting plants by killing insects	nongold
11	a pesticide is infrequently poisonous to humans	nongold
12	as  population of prey decreases , the population of predators will  decrease	gold
13	killing means harming something causing death	gold
14	harming an animal species causes that animal's population to decrease	gold
15	a predator eats other animals for food	nongold
16	as population of predators increases , the population of prey will decrease in an environment	nongold
17	an insect is a kind of animal	gold
18	predators eat prey	gold
19	an animal; living thing requires nutrients for survival	nongold
20	prey is a kind of food for predators	nongold
21	if an organism eats something then that something is a source of frood to that organism	nongold
22	an ecosystem is a kind of habitat	nongold
23	eating food that contains pesticides can have a negative impact on humans	nongold
24	a predator usually kills its prey to eat it	nongold
25	an environment is similar to an ecosystem	nongold
26	as population of predators decreases , the population of prey will increase in an environment	nongold
27	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
28	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	gold
29	a food contains nutrients for living things	nongold
30	using a pesticide usually requires spraying that pesticide on crops	nongold
31	harming something has a  negative impact on; effect on that something	nongold
32	An insect is a pollinating animal	nongold
33	an ecosystem contains a large community of; large numbers of living organisms	nongold
34	an increase is the opposite of a decrease	nongold
35	food is what an animal eats	nongold
36	a plant; living thing requires food for survival	nongold
37	killing a living thing decreases the number; population size of that living thing	nongold
38	to reduce means to decrease	nongold
39	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
40	harming an organism can cause that organism to die	nongold
41	producer is a kind of role in the food chain process; in an ecosystem	nongold
42	an organism is a living thing	nongold
43	negative impacts on a species will decrease populations of a species	nongold
44	to eat means to consume food	nongold
45	eating prey requires catching prey	nongold
46	if a new predator begins eating prey then the population of that prey will decrease	nongold
47	an animal needs to eat food for nutrients	nongold
48	living things eat their food source	nongold
49	as the cause of something decreases , that something will decrease	nongold
50	a predator is a kind of animal	nongold
51	death means to die	nongold
52	a role in the ecosystem is a role in the food chain process	nongold
53	prey  is a kind of animal	nongold
54	a bird is a kind of living thing	nongold
55	as the supply of food in an environment decreases , the population of animals in that environment will decrease	nongold
56	harming an animal species has a  negative impact on the population size of that species	nongold
57	to prey on an animal means to eat that animal	nongold
58	less is similar to decrease	nongold
59	an ecosystem contains nonliving things	nongold
60	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
61	a bird is a kind of animal	nongold
62	harming an environment causes harm to the living things; to the organisms in that environment	nongold
63	a living thing is a kind of object	nongold
64	an animal is a kind of living thing	gold
65	organisms are a part of an environment	nongold
66	animals; living things live and feed in their habitats; near their habitats	nongold
67	to lower means to decrease	nongold
68	poisoning an environment means poisoning the organisms in that environment	nongold
69	as the amount of a source of something decreases , the amount of that something will decrease	nongold
70	if the population of an organism increases then the ecosystem may become overpopulated with that organism	nongold
71	killing means changing a living thing from alive to dead by harming	nongold
72	an environment means an area	nongold
73	toxic means poisonous	nongold
74	diet means what an animal eats	nongold
75	eating an animal; a plant means killing that animal; that plant	nongold
76	eating something decreases the amount of that something	nongold
77	pesticides can cause pollution	nongold
78	an animal is a member of an animal species	nongold
79	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
80	low is similar to decrease	nongold
81	a poisonous animal is dangerous	nongold
82	poison causes harm to living things; organisms	nongold
83	if an animal eats another animal then that animal is a carnivore or omnivore or predator	gold
84	if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water	nongold
85	high is similar to increase	nongold
86	if a living thing requires something then that something has a positive impact on that living thing	nongold
87	as the number of sources of food increase in an environment , the population of the organisms will increase in that environment	nongold
88	A bird is a pollinating animal	nongold
89	positive impacts on a species will increase populations of a species	nongold
90	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
91	a decrease is a kind of change	nongold
92	decreasing something negative has a positive impact on a thing	nongold
93	birds sometimes eat insects	nongold
94	destroying animal habitats has a negative  impact on an ecosystem	nongold
95	an eagle is a kind of predator	nongold
96	consumers eat other organisms	nongold
97	an animal is a kind of organism	nongold
98	an eagle is a kind of carnivore	nongold
99	food is a kind of object	nongold
