Question	Mold is often found growing on old bread. In a food chain, mold is a ___.	question
Answer	decomposer	answer
0	a decomposer is a kind of living thing	nongold
1	In the food chain process fungi have the role of decomposer	gold
2	mold is a kind of fungus	gold
3	a decomposer is usually a bacterium; fungus	gold
4	decomposition is when a decomposer breaks down dead organisms	nongold
5	bacteria; molds; yeast cause food to spoil	nongold
6	In the food chain process bacteria have the role of decomposer	nongold
7	a microorganism is a kind of decomposer	nongold
8	to decompose means to decay	nongold
9	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
10	a bacterium is a kind of decomposer	nongold
11	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
12	bread is a kind of food	nongold
13	In the food chain process a  green plant has the role of  producer	nongold
14	dead organisms are the source of nutrients for decomposers	nongold
15	a worm is a kind of decomposer	nongold
16	a fungus is a kind of living thing	nongold
17	a fungus is a kind of organism	nongold
18	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
19	to be found in means to be contained in	nongold
20	if some nutrients are in the soil then those nutrients are in the food chain	nongold
21	a plant; living thing requires nutrients to grow	nongold
22	dough is a kind of food	nongold
23	a plant is a kind of living thing	nongold
24	a plant is a kind of organism	nongold
25	found in means existing in	nongold
26	all living things grow	nongold
27	producer is a kind of role in the food chain process; in an ecosystem	nongold
28	if something is a part of something then that something can be found in that something	nongold
29	an organism is a living thing	nongold
30	a living thing is a kind of object	nongold
31	to decompose means to separate	nongold
32	an animal is a kind of living thing	nongold
33	a food contains nutrients for living things	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	food web is synonymous with food chain	nongold
36	green plants are a kind of producer	nongold
37	In the food chain process some types of plankton have the role of producer	nongold
38	a plant; living thing requires food for survival	nongold
39	forming is similar to growing	nongold
40	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
41	an animal is a kind of organism	nongold
42	an earthworm is a kind of decomposer	nongold
43	if something is made of something; a material then that something contains that something; that material	nongold
44	food is a kind of substance	nongold
45	a role in the ecosystem is a role in the food chain process	nongold
46	dead organisms rot	nongold
47	a bacterium is a kind of organism	nongold
48	death means to die	nongold
49	a human is a kind of animal	nongold
50	a producer is a kind of living thing	nongold
51	made up of means contains; made of	nongold
52	fungi absorb nutrients from decaying tissue	nongold
53	if a plant dies then that plant will not produce food	nongold
54	made of is similar to contains	nongold
55	producers pass materials they use through the food chain	nongold
56	a vegetable is a kind of plant	nongold
57	a leaf is a part of a  green plant	nongold
58	a plant requires photosynthesis to grow; survive	nongold
59	a vegetable is a kind of food	nongold
60	to digest means to break down food	nongold
61	dead plants means dead plant material	nongold
62	old is the opposite of new	nongold
63	food is a kind of object	nongold
64	products are formed; are produced; are created	nongold
65	an animal; living thing requires nutrients for survival	nongold
66	bacteria is a kind of living thing	nongold
67	nutrients are a kind of matter	nongold
68	can be means able to be	nongold
69	if a living thing dies then that living thing is dead	nongold
70	form means kind	nongold
71	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
72	to be formed by is similar to being produced by	nongold
73	to be made of something means to be formed of that something	nongold
74	remains mean parts of a dead organism	nongold
75	typically means usually	nongold
76	objects are made of materials; substances; matter	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	a mushroom is a kind of fungus	nongold
79	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
80	living things eat their food source	nongold
81	emit means produce	nongold
82	make means produce	nongold
83	material means substance	nongold
84	roots are a part of a plant; tree	nongold
85	nutrients are a kind of substance	nongold
86	to contain means to have inside	nongold
87	plant parts are made of plants	nongold
88	composed of means made of	nongold
89	developing means growing	nongold
90	a producer produces its own food	nongold
91	an object; material; substance comes from that object or material's source	nongold
92	no longer means used to be	nongold
93	a leaf is a kind of plant	nongold
94	to be made of means to consist of	nongold
95	plant and animal matter means organic matter	nongold
96	vegetation means plants	nongold
97	a plant requires soil for survival; to grow	nongold
98	new means different from the former one	nongold
99	nonliving; non-living; die is the opposite of living; alive; live	nongold
