Question	The movement of an air mass over Earth's surface causes	question
Answer	local weather changes	answer
0	the movement of an air mass over Earth's surface causes sudden local weather changes	gold
1	motion; movement means moving; to move	nongold
2	local means relating to a certain area	nongold
3	movement is a kind of change	nongold
4	wind means moving air	nongold
5	a stationary air mass is a kind of air mass	nongold
6	air mass means a volume of air	nongold
7	weather is  a measure of the condition of the air in a place at a certain time	nongold
8	near means local	nongold
9	sky conditions are a property of weather	nongold
10	the ground means Earth's surface	nongold
11	rotating is similar to moving	nongold
12	a land mass is a kind of object	nongold
13	travel means to move	nongold
14	to change means to cause a change	nongold
15	weather  usually happens in troposphere	nongold
16	atmosphere means  air	nongold
17	motion is when moves an object; something to a direction	nongold
18	temperature is a property of weather	nongold
19	moving is similar to travelling	nongold
20	weather is a property of a environment	nongold
21	water vapor has an impact on weather conditions associated with an air mass	nongold
22	wind direction is a property of weather	nongold
23	wind speed is a property of weather	nongold
24	flowing is a kind of motion	nongold
25	a plane travels through the atmosphere	nongold
26	distance moved; distance travelled is a measure of how far an object moves	nongold
27	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
28	movements of celestial bodies are a kind of event	nongold
29	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
30	storm is a kind of weather; weather event	nongold
31	Earth's surface is made of rock	nongold
32	an increase is a kind of change	nongold
33	flying is a kind of motion through air; space	nongold
34	affected means changed	nongold
35	throughout means over	nongold
36	cloudy is a kind of  weather	nongold
37	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
38	air masses formed over the ocean near the equator are usually moist; warm	nongold
39	events occur at a specific place; at a specific time; with a specific frequency	nongold
40	the air is a kind of substance	nongold
41	a change is a kind of event	nongold
42	uneven heating of the Earth's surface cause wind	nongold
43	a airplane is used for moving people; products across bodies of water; to far away places	nongold
44	flight is similar to a movement in the air made by an airplane	nongold
45	windy is a kind of weather	nongold
46	a cold front is when a cooler air mass moves into contact with an area of warmer air	nongold
47	an airplane is a kind of vehicle	nongold
48	temperature changing does not cause mass to change	nongold
49	the ground is part of the Earth	nongold
50	air is a kind of gas	nongold
51	if something moves then that something is in a different location	nongold
52	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
53	to add means to increase	nongold
54	a cloud is a kind of weather	nongold
55	high is similar to increase	nongold
56	a warm front is when warm air mass rises and passes over; collides a cold air mass	nongold
57	an air mass has similar temperature and moisture throughout it	nongold
58	to change means to have an effect	nongold
59	shift means move	nongold
60	a decrease is a kind of change	nongold
61	to give is similar to to cause	nongold
62	sliding is a kind of movement	nongold
63	An example of stormy weather is rain	nongold
64	arrival is a kind of movement	nongold
65	a surface is a part of an object	nongold
66	precipitation is a property of weather	nongold
67	precipitation is a kind of weather	nongold
68	to cause is similar to bring	nongold
69	if the component of something changed , then the whole thing will change	nongold
70	impact means effect	nongold
71	extreme means very high in value	nongold
72	to turn means to change	nongold
73	returning is a kind of movement	nongold
74	wind   is a kind of airflow	nongold
75	a motion is a kind of event; action	nongold
76	the atmosphere contains gases; liquids; solids	nongold
77	to happen means to occur	nongold
78	weather changes from seasons to seasons	nongold
79	answering questions requires information	nongold
80	to cause means to have an effect	nongold
81	causing means influencing	nongold
82	adding something is a kind of change	nongold
83	the atmosphere is similar to the sky	nongold
84	natural events usually cause changes to Earth's surface	nongold
85	the atmosphere is a kind of area	nongold
86	Earth has air	nongold
87	air is a kind of matter	nongold
88	change is a kind of process	nongold
89	something that happens is a kind of event	nongold
90	tornado is a kind of weather	nongold
91	weather is a source of wind and water for the weathering process	nongold
92	high pressure systems cause clear weather	nongold
93	moving changes position	nongold
94	place means area	nongold
95	causing is a kind of affecting	nongold
96	rising is a kind of motion	nongold
97	variable means able to change	nongold
98	to reduce means to decrease	nongold
99	air pressure affects wind speed	nongold
