Question	Which pair of elements has the most similar properties?	question
Answer	N and P	answer
0	similarity means the same property	nongold
1	if two things are made from the same objects; material then those two things are similar	nongold
2	if two objects are similar , then the two objects share properties	nongold
3	pair means two	nongold
4	a type of something is a kind of property of that something	nongold
5	both means two	nongold
6	same means identical; equal in value; amount; number; quantity	nongold
7	different types of matter have different chemical properties	nongold
8	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
9	identical is the opposite of different	nongold
10	an object has properties	nongold
11	structure is a property of an object; a material; a substance	nongold
12	the  property of something is the same for the things of same kind	nongold
13	an  element is a kind of atom	nongold
14	elements in the same group on the Periodic Table of Elements have similar properties	gold
15	a  chemical property is a kind of  property	gold
16	an element is made of one kind of atoms	nongold
17	N means nitrogen	gold
18	matter; materials; substances are made of atoms; particles	nongold
19	an atom is the smallest particle; unit that has the properties of an element	nongold
20	different is the opposite of the same	nongold
21	similar means in common	nongold
22	if two things have the same features then those two things are alike	nongold
23	electron configuration is a property of elements	nongold
24	if something is copied then that something will be the same; similar; identical	nongold
25	a chemical property is the opposite of a physical property	nongold
26	classifying means grouping objects; materials by their properties	nongold
27	a structure of something is synonymous with a part of that something	nongold
28	pair is a kind of combination	nongold
29	an element is a kind of  substance	nongold
30	an atom is a kind of object	nongold
31	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
32	to change means to become different	nongold
33	each is similar to individual	nongold
34	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
35	if two things perform the same function then those two things are similar	nongold
36	to be made of something means to be formed of that something	nongold
37	identical means copy	nongold
38	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
39	a bonding property is a kind of chemical property	nongold
40	a molecule is made of atoms chemically combined; bonded	nongold
41	when two substances together form a compound then those substances cannot be physically separated	nongold
42	opposite is a kind of different	nongold
43	all elements are a kind of pure substance	nongold
44	the effects of something is a property of that something	nongold
45	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
46	An example of a chemical property is the elements a compound is made of	nongold
47	carbon is a kind of element	nongold
48	hydrogen is a kind of element	nongold
49	made of is similar to contains	nongold
50	substances have chemical properties	nongold
51	a structure is a kind of feature	nongold
52	composition is a property of an object; matter	nongold
53	a physical property is a kind of property	gold
54	a compound can be chemically separated into the elements that it is made of	nongold
55	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
56	a property is similar to a factor	nongold
57	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
58	two objects are usually different in size	nongold
59	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
60	can be means able to be	nongold
61	the properties of something are used for describing that something	nongold
62	if a substance is made of one element , then the substance is called an element	nongold
63	to be characterized by  a property means to have that property	nongold
64	a compound is made of two or more elements that have been chemically combined	nongold
65	a property of something is a feature of that something	nongold
66	an atom is exceptionally small in size	nongold
67	interatomic means existing or acting between atoms	nongold
68	characteristic means property	nongold
69	if a solution is formed , then the  components of the solution are similar throughout	nongold
70	N means newton	nongold
71	apart is the opposite of together	nongold
72	An example of a chemical property is how a material reacts chemically	nongold
73	traits can be determined by one pair; many pairs of genes in an organism	nongold
74	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
75	chemical composition is a kind of property	nongold
76	different materials usually have different properties	nongold
77	classifying is when one sorts something by kind; type	nongold
78	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
79	made up of means contains; made of	nongold
80	a molecule is the smallest particle; unit that has the properties of a compound	nongold
81	atomic number is a property of elements	nongold
82	the number of parts of something is a property of that something	nongold
83	an object is made of its parts	nongold
84	objects are made of materials; substances; matter	nongold
85	atoms are made of particles	nongold
86	less is the opposite of more	nongold
87	the properties of something can be used to identify; used to describe that something	nongold
88	composed of means made of	nongold
89	substances are made of elements	nongold
90	if two objects are apart from each other then matter is between those two objects	nongold
91	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
92	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
93	if something is not the same as something else then that something is different from that something else	nongold
94	an atom is made of protons; neutrons; electrons	nongold
95	not is similar to the opposite of	nongold
96	definite is the opposite of variable	nongold
97	classifying requires comparing	nongold
98	state of matter at room temperature is a kind of physical property	nongold
99	shape of the parts of something is a property of that something	nongold
