Question	A student uses a hand lens to observe which of these objects?	question
Answer	an insect	answer
0	an insect is a kind of animal	nongold
1	a hand lens; a magnifying lens is synonymous with a magnifying glass	gold
2	an insect is a kind of prey	nongold
3	a magnifying glass is a kind of tool for observing small things	gold
4	a student is a kind of human	nongold
5	a hand is a kind of object	nongold
6	An insect is a pollinating animal	nongold
7	inspect; observe means examine	nongold
8	optical tools are used for observing materials up close; in greater detail	nongold
9	lenses are a kind of object	nongold
10	magnifying glass is used to see  small things by making objects appear bigger	gold
11	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
12	an insect usually has a small size	gold
13	viewing means observing light	nongold
14	a living thing is a kind of object	nongold
15	an animal is a kind of living thing	nongold
16	binoculars are a kind of instrument for observing distant objects	nongold
17	binoculars are used for observing distant objects	nongold
18	a hand is a part of the body	nongold
19	observe means see	gold
20	an insect has three body parts	nongold
21	detecting is similar to observing	nongold
22	An example of observing things is taking a picture	nongold
23	an organism is a living thing	nongold
24	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	nongold
25	looking is similar to observing	nongold
26	look at means observe	nongold
27	a microscope is a kind of tool for observing small things	nongold
28	determining often requires measuring; observing	nongold
29	studying is similar to observing	nongold
30	measuring is a kind of observing	nongold
31	a human hand is large enough to be visible	nongold
32	a tool is a kind of object	nongold
33	instrument means tool	nongold
34	an part of an object is smaller than the entire object	nongold
35	a lens is a part of a telescope	nongold
36	if an object reflects light toward the eye then that object can be seen	nongold
37	if something is visible , then that something can be observed	nongold
38	an animal is a kind of organism	nongold
39	seeing is used for sensing visual things	nongold
40	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
41	to view means to see	nongold
42	eyes are used for seeing by animals by sensing light	nongold
43	lenses are a part of eyeglasses	nongold
44	to see means to look	nongold
45	an animal is a member of an animal species	nongold
46	a surface is a part of an object	nongold
47	studying  something usually requires seeing that something	nongold
48	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
49	instrument means device	nongold
50	getting information sometimes requires observing; observation	nongold
51	carnivores; omnivores; herbivores are a kind of animal	nongold
52	an insect has six legs	nongold
53	a fly is a kind of insect	nongold
54	a butterfly is a kind of insect	nongold
55	to look like means to have the visual properties of	nongold
56	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
57	an instrument is a piece of equipment	nongold
58	eyes are a part of a human for seeing	nongold
59	capturing an animal can be used for studying that animal	nongold
60	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
61	a ladybug is a kind of insect	nongold
62	an eyeglass lens is a kind of object	nongold
63	sight means to see	nongold
64	a type is synonymous with a kind	nongold
65	predators eat prey	nongold
66	shiny things; objects reflect light	nongold
67	learning about something sometimes requires observing that something	nongold
68	the function of something is what that something  is used to do	nongold
69	a camera is a kind of tool for recording images	nongold
70	a wasp is a kind of insect	nongold
71	a human is a kind of animal	nongold
72	prey  is a kind of animal	nongold
73	light reflecting off of an object causes that object to be visible to the observer	nongold
74	to serve as means to be used as	nongold
75	eyes are usually part of an animal for seeing	nongold
76	to be used for something means to be required by that something	nongold
77	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	nongold
78	an object is an item	nongold
79	visible means able to be seen	nongold
80	a surface is a part of a material	nongold
81	reflecting light; sound is the opposite of absorbing light; sound	nongold
82	can be means able to be	nongold
83	objects are made of materials; substances; matter	nongold
84	image means visual depiction of an object	nongold
85	recording an observation sometimes requires measuring	nongold
86	answering questions requires information	nongold
87	form means kind	nongold
88	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
89	a camera is used for recording images	nongold
90	the senses are used for making observations	nongold
91	a butterfly is a kind of animal	nongold
92	examining sometimes requires measuring	nongold
93	a device is a kind of object	nongold
94	to get a better look at means to see better	nongold
95	if an object is made of a material then that object has the properties of that material	nongold
96	a bird is a kind of living thing	nongold
97	observations; data are a part of the results of an experiment	nongold
98	a labybug  has a small  size	nongold
99	an object is made of its parts	nongold
