Question	In which pair of elements are both metalloids?	question
Answer	Sb and Te	answer
0	metalloid is a kind of element	gold
1	an  element is a kind of atom	nongold
2	silicon is a kind of metalloid	nongold
3	pair means two	nongold
4	an element is made of one kind of atoms	nongold
5	both means two	nongold
6	carbon is a kind of element	nongold
7	oxygen  is a kind of element	nongold
8	tellurium is a kind of metalloid	gold
9	a nonmetal is a kind of element	nongold
10	the chemical symbol for tellurium is Te	gold
11	hydrogen is a kind of element	nongold
12	an atom is the smallest particle; unit that has the properties of an element	nongold
13	the chemical symbol for antimony is Sb	gold
14	antimony is a kind of metalloid	gold
15	nonmetal means nonmetals	nongold
16	nonmetal means not metal	nongold
17	substances are made of elements	nongold
18	electron configuration is a property of elements	nongold
19	matter; materials; substances are made of atoms; particles	nongold
20	an atom is a kind of object	nongold
21	the outer electron shell is a part of the electron configuration	nongold
22	nitrogen is a kind of element	nongold
23	an atom is made of protons; neutrons; electrons	nongold
24	all elements are a kind of pure substance	nongold
25	a metal is a kind of element	nongold
26	an element is a kind of  substance	nongold
27	the nitrogen family is a kind of group in periodic table	nongold
28	pair is a kind of combination	nongold
29	the basic unit of matter is atom	nongold
30	an alkaline earth metal is a kind of element	nongold
31	if a substance is made of one element , then the substance is called an element	nongold
32	atoms are made of particles	nongold
33	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
34	a halogen is a kind of element	nongold
35	a proton is a part of an atom; an element	nongold
36	answering questions requires information	nongold
37	to be made of something means to be formed of that something	nongold
38	an element is identified by its number of protons	nongold
39	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
40	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
41	atom cannot be divided into smaller substances	nongold
42	made of is similar to contains	nongold
43	a compound can be chemically separated into the elements that it is made of	nongold
44	a pure substance is made of only one kind of atom; molecule	nongold
45	an element is a kind of material	nongold
46	atomic number is a property of elements	nongold
47	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
48	all the other means the rest of	nongold
49	state means form	nongold
50	can be means able to be	nongold
51	composed of means made of	nongold
52	to be formed by is similar to being produced by	nongold
53	decomposing is similar to separating	nongold
54	substances are made of matter	nongold
55	a compound is made of two or more elements that have been chemically combined	nongold
56	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
57	chemical compounds contain chemical bonds between atoms; between elements	nongold
58	copper is a kind of element	nongold
59	An example of a chemical property is the elements a compound is made of	nongold
60	if something is made of something else then that something can be broken down into that something else	nongold
61	to tell the difference between things means to classify those things	nongold
62	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
63	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
64	made up of means contains; made of	nongold
65	form means kind	nongold
66	an electron is a kind of charged particle	nongold
67	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
68	P means phosphorus	nongold
69	an event is a kind of action	nongold
70	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
71	interatomic means existing or acting between atoms	nongold
72	a component of something means a part of that something	nongold
73	a type is synonymous with a kind	nongold
74	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
75	the structure  of an atom can be used for identifying the element	nongold
76	a component means a part of	nongold
77	opposite is a kind of different	nongold
78	chromium is a kind of metal	nongold
79	a group; family in the periodic table means a column in the periodic table	nongold
80	classifying is when one sorts something by kind; type	nongold
81	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
82	to group means to separate	nongold
83	a structure of something is synonymous with a part of that something	nongold
84	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
85	metals are found on the left side of the periodic table of elements	nongold
86	to split means to break down	nongold
87	metal is a kind of substance	nongold
88	Texas is a state located in the United States of America	nongold
89	state of matter means physical state	nongold
90	to be a combination of means to be made of	nongold
91	identical means copy	nongold
92	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
93	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
94	elements in oxygen family have six; 6 valence electrons	nongold
95	not is similar to the opposite of	nongold
96	nonmetals are found to the right of the zigzag line on the periodic table	nongold
97	wood is a kind of nonmetal	nongold
98	apart is the opposite of together	nongold
99	particles in objects are a kind of matter	nongold
