Question	Within a substance, atoms that collide frequently and move independently of one another are most likely in a	question
Answer	gas.	answer
0	atoms in a gas collide frequently	gold
1	atoms in a gas move independently of one another	gold
2	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
3	colliding means coming into a collision	nongold
4	rarely means not	nongold
5	often is similar to likely	nongold
6	matter; materials; substances are made of atoms; particles	nongold
7	gas is a kind of substance	gold
8	atoms are made of particles	nongold
9	gas is a kind of state of matter	nongold
10	interatomic means existing or acting between atoms	nongold
11	a cycle happens; occurs repeatedly	nongold
12	colliding is a kind of touching	nongold
13	an atom is a kind of object	nongold
14	a molecule is made of atoms chemically combined; bonded	nongold
15	particles in objects are a kind of matter	nongold
16	a  gas is a kind of  element	nongold
17	an atom is made of protons; neutrons; electrons	nongold
18	an  element is a kind of atom	nongold
19	particles in a liquid are closer together than particles in a gas	nongold
20	typically means usually	nongold
21	a pure substance is made of only one kind of atom; molecule	nongold
22	gas is a kind of nonmetal	nongold
23	gas is a kind of object	nongold
24	being pushed together is similar to colliding	nongold
25	events occur at a specific place; at a specific time; with a specific frequency	nongold
26	if an event is more common then that event will occur more frequently	nongold
27	gaseous means of gas	nongold
28	a molecule is a kind of particle	nongold
29	answering questions requires information	nongold
30	an element is made of one kind of atoms	nongold
31	an atom is the smallest particle; unit that has the properties of an element	nongold
32	liquid is a kind of state of matter	nongold
33	substances are made of matter	nongold
34	atom cannot be divided into smaller substances	nongold
35	if two objects move apart from each other then those two objects separate from each other	nongold
36	gas is a kind of material	nongold
37	motion; movement means moving; to move	nongold
38	particles in a liquid are close to each other	nongold
39	material means substance	nongold
40	to disperse means to separate	nongold
41	to cause an event means to make that event more likely	nongold
42	a motion is a kind of event; action	nongold
43	an event is a kind of action	nongold
44	a particle is a kind of object	nongold
45	hydrogen is a kind of gas at room temperature	nongold
46	event is similar to occurrence	nongold
47	if something is insoluble in something , then they will remain separated	nongold
48	air is a kind of gas	nongold
49	usual means happens frequently over long periods of time	nongold
50	to happen means to occur	nongold
51	phase means state	nongold
52	can be means able to be	nongold
53	variable means able to change	nongold
54	solid is a kind of state of matter	nongold
55	once means one time	nongold
56	a liquid is a kind of substance	nongold
57	a molecule is a kind of object	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	vapor is synonymous with gas	nongold
60	physical state means state of matter	nongold
61	oxygen is a kind of gas at room temperature	nongold
62	revolving is a kind of motion	nongold
63	objects are made of materials; substances; matter	nongold
64	if something enters something else then that something is in that something else	nongold
65	state of matter means physical state	nongold
66	a process is a kind of event	nongold
67	100% probability means always	nongold
68	shift means move	nongold
69	something that happens is a kind of event	nongold
70	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
71	a part of something is present in that something	nongold
72	air is a kind of matter	nongold
73	to cause means to result in	nongold
74	a living thing is a kind of object	nongold
75	usually means most of the time	nongold
76	chance means likelihood	nongold
77	state means form	nongold
78	to pass means to occur	nongold
79	high is similar to increase	nongold
80	an element is a kind of  substance	nongold
81	the basic unit of matter is atom	nongold
82	electrons surround; orbit the nucleus of an atom	nongold
83	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
84	apart is the opposite of together	nongold
85	once per means every	nongold
86	a component of something means a part of that something	nongold
87	to cause an event is similar to being involved in that event	nongold
88	particles in a solid are closer together than particles in a liquid	nongold
89	heat means heat energy	nongold
90	out is synonymous with outside	nongold
91	all elements are a kind of pure substance	nongold
92	to give off means to be the source of	nongold
93	to pass through means to move through	nongold
94	substances are made of molecules	nongold
95	if two objects are apart from each other then matter is between those two objects	nongold
96	a component means a part of	nongold
97	charged particles are a kind of high-energy particles	nongold
98	particles in a liquid flows past each other	nongold
99	form means kind	nongold
