Question	Mitosis occurs in living things when a cell divides to produce two cells. Compared to the original cell, how many chromosomes are in each of the resulting cells?	question
Answer	the same number	answer
0	how many means what number	nongold
1	mitosis produces two cells with the same number of chromosomes as the parent cell	gold
2	the parent cell is the original cell	gold
3	same means identical; equal in value; amount; number; quantity	gold
4	to produce means to result in	gold
5	mitosis produces cells that are identical to the parent cell	gold
6	one is a kind of number	nongold
7	four is a kind of number	nongold
8	a chromosome is a part of a cell	nongold
9	mitosis produces two diploid cells from a diploid parent cell	nongold
10	many means high in number	nongold
11	if something is copied then that something will be the same; similar; identical	nongold
12	amount is similar to number	nongold
13	if something changes , then that something is not the same	nongold
14	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
15	a living thing is made of cells	nongold
16	different is the opposite of the same	nongold
17	to split means to divide	nongold
18	to cause means to result in	nongold
19	two somatic cells from the same multicellular organism will have the same number of chromosomes	nongold
20	the number of parts of something is a property of that something	nongold
21	an organism is a living thing	nongold
22	life means living things	nongold
23	producing is similar to causing	nongold
24	mitosis is a source of two identical nuclei	nongold
25	new cells with a full set of chromosomes are formed by fertilization	nongold
26	fewer means lower; less in number	nongold
27	make means produce	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	a living thing is a kind of object	nongold
30	converting is similar to producing	nongold
31	to remain means to stay the same	nongold
32	an animal is a kind of eukaryote	nongold
33	stay the same means not changing	nongold
34	to produce means to provide	nongold
35	biotic means living	nongold
36	a cell is very small	nongold
37	lowest means least in value; amount; number	nongold
38	an animal is a kind of living thing	nongold
39	emit means produce	nongold
40	to contribute is similar to produce	nongold
41	both means two	nongold
42	to match means to be the same	nongold
43	a producer is a kind of living thing	nongold
44	to be formed by is similar to being produced by	nongold
45	producing is a kind of process	nongold
46	living things can all reproduce	nongold
47	multicellular organisms produce more cells through cell division	nongold
48	organisms mean life	nongold
49	to change means to become different	nongold
50	all living things are made of cells according to the cell theory	nongold
51	meiosis produces cells that are different from the parent cell	nongold
52	all living things have life cycles	nongold
53	in common is similar to the same	nongold
54	if something has no impact on something else then that something else stays the same	nongold
55	to happen means to occur	nongold
56	to produce means to create	nongold
57	result means outcome	nongold
58	comparing requires measuring	nongold
59	to split means to break down	nongold
60	pair means two	nongold
61	new means different from the former one	nongold
62	constant is similar to same	nongold
63	a single-celled organism is a kind of living thing	nongold
64	to subdivide is similar to to divide	nongold
65	generate means produce	nongold
66	an animal cell is a kind of cell	nongold
67	if something causes an increase in something else then that something produces that something else	nongold
68	the  property of something is the same for the things of same kind	nongold
69	survive means live	nongold
70	survive means live	nongold
71	chromosome is made of DNA	nongold
72	nonliving; non-living; die is the opposite of living; alive; live	nongold
73	high is similar to increase	nongold
74	produce is similar to release	nongold
75	one in  two means half; 50%	nongold
76	greatest means largest; highest; most amount of something	nongold
77	live means to be alive	nongold
78	cell division is a kind of process	nongold
79	a protozoan is a kind of animal	nongold
80	cell division means cell reproduction	nongold
81	decomposing is similar to separating	nongold
82	the number of body parts of an organism is an inherited characteristic	nongold
83	the cell cycle is when a cell forms new cells	nongold
84	living things perform biological processes	nongold
85	to add means to increase	nongold
86	products are formed; are produced; are created	nongold
87	producing is similar to releasing	nongold
88	product means result	nongold
89	cancerous cells are formed by abnormal cell division	nongold
90	largest amount means most	nongold
91	affected means changed	nongold
92	comparing requires observing that something	nongold
93	can be means able to be	nongold
94	a multicellular organism is a kind of living thing	nongold
95	higher means greater; above in value; amount; number	nongold
96	living things eat their food source	nongold
97	a chromosomes of a human contains thousands of genes	nongold
98	alleles are found at the same place on a chromosome	nongold
99	cell division often causes growth; healing	nongold
