Question	One cause of heat in a car engine is caused by friction between parts. Which of these reduces the amount of heat produced by friction?	question
Answer	oil	answer
0	a car engine is a source of heat	nongold
1	to reduce means to decrease	gold
2	oil is a kind of substance; matter	nongold
3	a car engine is a part of a car	nongold
4	a source of something increases the amount of that something	nongold
5	friction causes the temperature of an object to increase	gold
6	producing is similar to causing	nongold
7	an engine is a part of an automobile	nongold
8	heat means heat energy	gold
9	friction occurs when two object's surfaces move against each other	nongold
10	temperature is a measure of heat energy	gold
11	if something emits something else then that something increases the amount of that something else	nongold
12	to be a source of something means to cause that something	nongold
13	if something causes an increase in something else then that something produces that something else	gold
14	heating means adding heat	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	oil is a kind of liquid	gold
17	oil is a kind of liquid	nongold
18	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	nongold
19	friction converts mechanical energy into heat energy	nongold
20	reducing is a kind of change	nongold
21	as the amount of a source of something decreases , the amount of that something will decrease	nongold
22	a car is a kind of vehicle	nongold
23	a decrease is a kind of change	nongold
24	to lower means to decrease	nongold
25	heat energy is synonymous with thermal energy	nongold
26	a car is a kind of automobile	nongold
27	a car is a kind of object	nongold
28	a heat engine converts heat energy into mechanical energy	nongold
29	an increase is the opposite of a decrease	gold
30	an increase is a kind of change	nongold
31	heat means temperature increases	nongold
32	to change means to cause a change	nongold
33	less is similar to decrease	nongold
34	an automobile is a kind of vehicle	nongold
35	to add means to increase	nongold
36	affected means changed	nongold
37	adding heat means increasing temperature	nongold
38	a surface is a part of an object	nongold
39	a surface is a part of a material	nongold
40	increase means more	nongold
41	friction acts to counter the motion of two objects when their surfaces are touching	nongold
42	friction is a kind of force	nongold
43	heat means the transfer of thermal energy	nongold
44	a vehicle is a kind of object	nongold
45	oil is  insoluble in water	nongold
46	to cause means to have an effect	nongold
47	causing is a kind of affecting	nongold
48	due to means caused by	nongold
49	material means substance	nongold
50	generate means produce	nongold
51	oil is a source of gasoline	nongold
52	objects are made of materials; substances; matter	nongold
53	emit means produce	nongold
54	to impact means to affect	nongold
55	conductivity is a property of a material; substance	nongold
56	friction exerts force on moving objects	nongold
57	high temperatures can cause an object to combust	nongold
58	converting is similar to producing	nongold
59	an object; material; substance comes from that object or material's source	nongold
60	a component means a part of	nongold
61	as the cause of something decreases , that something will decrease	nongold
62	change is a kind of impact	nongold
63	high is similar to increase	nongold
64	extreme means very high in value	nongold
65	to give off means to be the source of	nongold
66	oil is a kind of pollutant	nongold
67	to drive means to cause	nongold
68	causing means influencing	nongold
69	an automobile engine converts chemical energy into mechanical energy and heat energy	nongold
70	a source of heat can be used to heat something	nongold
71	a source of heat can be used to heat something	nongold
72	friction causes speed to decrease	nongold
73	cooking oil is a kind of oil	nongold
74	make means produce	nongold
75	if an object is made of a material then that object has the properties of that material	nongold
76	a hot substance is a source of heat	nongold
77	combustion is a kind of chemical change	nongold
78	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
79	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
80	to contribute is similar to produce	nongold
81	a component of something means a part of that something	nongold
82	an object is made of its parts	nongold
83	producing is a kind of process	nongold
84	a body part is a kind of object	nongold
85	variable means able to change	nongold
86	to change means to have an effect	nongold
87	touching is when a body part makes contact with the surface of an object	nongold
88	if something transfers something else then that something is a source of something else	nongold
89	the effects of something is a property of that something	nongold
90	a surface is a kind of object	nongold
91	absorbing energy causes objects; materials; substances to heat	nongold
92	where something  comes from is a source of that something	nongold
93	impact means effect	nongold
94	friction causes the speed of an object to decrease	nongold
95	if something affects a part of something else then that something affects that something else	nongold
96	low is similar to decrease	nongold
97	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
98	to combust means to catch fire	nongold
99	to be formed by is similar to being produced by	nongold
