Question	Mitosis occurs in living things when a cell divides to produce two cells. Compared to the original cell, how many chromosomes are in each of the resulting cells?	question
Answer	the same number	answer
0	mitosis produces two cells with the same number of chromosomes as the parent cell	gold
1	mitosis produces cells that are identical to the parent cell	gold
2	the parent cell is the original cell	gold
3	two somatic cells from the same multicellular organism will have the same number of chromosomes	nongold
4	how many means what number	nongold
5	to produce means to result in	gold
6	mitosis produces two diploid cells from a diploid parent cell	nongold
7	a chromosome is a part of a cell	nongold
8	to cause means to result in	nongold
9	one is a kind of number	nongold
10	new cells with a full set of chromosomes are formed by fertilization	nongold
11	same means identical; equal in value; amount; number; quantity	gold
12	four is a kind of number	nongold
13	to split means to divide	nongold
14	many means high in number	nongold
15	an animal is a kind of living thing	nongold
16	a living thing is made of cells	nongold
17	genetic segregation is when each sex cell receives one copy of each chromosome	nongold
18	an organism is a living thing	nongold
19	a single-celled organism is a kind of living thing	nongold
20	a somatic cell of a human contains 23 pairs of; 46  chromosomes	nongold
21	living things can all reproduce	nongold
22	a human sperm cell has 23; twenty-three chromosomes	nongold
23	amount is similar to number	nongold
24	each sex cell provides half the number of chromosomes in a fertilized egg through sexual reproduction	nongold
25	a chromosomes of a human contains thousands of genes	nongold
26	meiosis produces cells that are different from the parent cell	nongold
27	a single-celled organism is a kind of organism	nongold
28	life means living things	nongold
29	an animal cell is a kind of cell	nongold
30	converting is similar to producing	nongold
31	a sex cell of a human contains 23 chromosomes	nongold
32	single-celled organism is made of only one cell	nongold
33	a  chromosome contains genes	nongold
34	alleles are found at the same place on a chromosome	nongold
35	cell division means cell reproduction	nongold
36	the cell cycle is when a cell forms new cells	nongold
37	an animal; living thing requires nutrients for survival	nongold
38	a plant cell is a kind of cell	nongold
39	multicellular organisms produce more cells through cell division	nongold
40	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
41	mitosis is a source of two identical nuclei	nongold
42	a cell is very small	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	if something is copied then that something will be the same; similar; identical	nongold
45	producing is similar to causing	nongold
46	genes are located on chromosomes	nongold
47	different is the opposite of the same	nongold
48	one in  two means half; 50%	nongold
49	the number of parts of something is a property of that something	nongold
50	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
51	all living things have life cycles	nongold
52	identical means copy	nongold
53	comparing requires observing that something	nongold
54	to reproduce means to have; to produce offspring	nongold
55	both means two	nongold
56	if something causes an increase in something else then that something produces that something else	nongold
57	classifying requires comparing	nongold
58	a plant is a kind of living thing	nongold
59	atomic number means proton number	nongold
60	chromosome is made of DNA	nongold
61	comparing requires measuring	nongold
62	organisms mean life	nongold
63	if something changes , then that something is not the same	nongold
64	if a living thing requires something then that something has a positive impact on that living thing	nongold
65	products are formed; are produced; are created	nongold
66	a plant; living thing requires food for survival	nongold
67	emit means produce	nongold
68	reproduction increases the number; population of a living thing	nongold
69	pair means two	nongold
70	reproduction produces; produce offspring	nongold
71	decomposing is similar to separating	nongold
72	make means produce	nongold
73	a multicellular organism is made of many cells	nongold
74	a single-cell organism cannot specialize	nongold
75	a plant is made of plant cells	nongold
76	to be formed by is similar to being produced by	nongold
77	a producer is a kind of living thing	nongold
78	each is simiar to one	nongold
79	classifying is when one sorts something by kind; type	nongold
80	identical is the opposite of different	nongold
81	nonliving; non-living; die is the opposite of living; alive; live	nongold
82	an animal is a kind of organism	nongold
83	generate means produce	nongold
84	biotic means living	nongold
85	all living things are made of cells according to the cell theory	nongold
86	a plant is a kind of organism	nongold
87	stay the same means not changing	nongold
88	to contribute is similar to produce	nongold
89	an animal is a kind of eukaryote	nongold
90	a living thing is a kind of object	nongold
91	product means result	nongold
92	new means different from the former one	nongold
93	a fungus is a kind of living thing	nongold
94	basic life functions occur in the cells of organisms	nongold
95	if something has no impact on something else then that something else stays the same	nongold
96	cancerous cells are formed by abnormal cell division	nongold
97	result means outcome	nongold
98	the cell is the most basic structural unit of life	nongold
99	if a sex cell receives more than one copy of a chromosome then then the zygote will receive more than two copies of that chromosme	nongold
