Question	Which is true about the Sun and Earth?	question
Answer	The Sun gives light and heat energy to Earth.	answer
0	sunlight means solar energy	nongold
1	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
2	sunlight produces heat	nongold
3	sunlight is a kind of solar energy	nongold
4	the sun is a source of light; light energy called sunlight	nongold
5	the sun is the source of solar energy called sunlight	nongold
6	the sun is a source of radiation; heat called sunlight	nongold
7	sunlight is a kind of light	nongold
8	heat means heat energy	nongold
9	solar energy is a kind of light	nongold
10	solar energy is a kind of heat energy	nongold
11	Earth is a kind of planet	nongold
12	a star produces light and heat	nongold
13	light means light energy	nongold
14	solar energy is a kind of energy	nongold
15	the sun  is the source of energy for physical cycles on Earth	nongold
16	light is a kind of energy	nongold
17	light is a kind of energy	nongold
18	temperature is a measure of heat energy	nongold
19	heat is a kind of energy	nongold
20	the Sun is a kind of star	nongold
21	a source of something emits; produces; generates; provides that something	nongold
22	heating means adding heat	nongold
23	the sun is the source of energy for life on Earth	nongold
24	transferring is similar to giving	gold
25	provide is similar to give; make	nongold
26	to give is similar to to cause	nongold
27	solar power means solar energy	nongold
28	a planet is a kind of celestial object; body	nongold
29	to provide something means to be the source of that something	nongold
30	a star is a kind of celestial object; celestial body	nongold
31	to give off means to be the source of	nongold
32	to be used for something means to be required by that something	nongold
33	if something requires something else then that something requires a source of that something else	nongold
34	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
35	radiant energy  is a kind of energy	nongold
36	if something comes from something else then that something else is a source of that something	nongold
37	hot means high in heat energy; temperature	nongold
38	where something  comes from is a source of that something	nongold
39	the Earth revolves around the sun	nongold
40	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
41	if something transfers something else then that something is a source of something else	nongold
42	a living thing is a kind of object	nongold
43	a  plant requires sunlight for photosynthesis	nongold
44	both means two	nongold
45	to depend on; to rely on; to need means to require	nongold
46	the Sun transmits light to earth through space	nongold
47	life means living things	nongold
48	if something causes a process then that something is required for that process	nongold
49	a source of something increases the amount of that something	nongold
50	a human is a kind of animal	nongold
51	an object; material; substance comes from that object or material's source	nongold
52	an animal is a kind of living thing	nongold
53	light is a kind of nonliving thing	nongold
54	if something generates energy for something else then that something powers that something else	nongold
55	requiring something means needing that something	nongold
56	the Sun is the  star that is closest to Earth	nongold
57	if something gains something from something else then that something else is a source of that something	nongold
58	a hot; warm something is a source of heat	nongold
59	to power means to provide energy for	nongold
60	a plant is a kind of living thing	nongold
61	heat means temperature increases	nongold
62	UV light is a kind of light	nongold
63	a star is a source of light; light energy through nuclear reactions	nongold
64	can be means able to be	nongold
65	a component of something means a part of that something	nongold
66	being in the sun is synonymous with being in the sunlight	nongold
67	high is similar to increase	nongold
68	receive means get	nongold
69	emit means produce	nongold
70	if a living thing requires something then that something has a positive impact on that living thing	nongold
71	fire gives off light; heat; smoke	nongold
72	if something emits something else then that something increases the amount of that something else	nongold
73	increase means more	nongold
74	taking is the opposite of giving; leaving	nongold
75	to be in the sun means to be in the sunlight	nongold
76	heat means the transfer of thermal energy	nongold
77	a component means a part of	nongold
78	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
79	heat energy is synonymous with thermal energy	nongold
80	what something needs is a property of that something	nongold
81	an event is a kind of action	nongold
82	to be a source of something means to cause that something	nongold
83	food is a source of energy for animals; plants	nongold
84	adding heat means increasing temperature	nongold
85	if something transfers energy to something else then that something else absorbs that energy	nongold
86	a source of something supplies that something	nongold
87	to be formed by is similar to being produced by	nongold
88	if something contains something , then something is able to provide something	nongold
89	helping something has a  positive impact on that something	nongold
90	if something releases something else then that something is the source of that something else	nongold
91	good means positive	nongold
92	heat energy can change the state of matter	nongold
93	a process is a kind of event	nongold
94	Earth is a planet that is closer to the  Sun than Jupiter	nongold
95	an organism is a living thing	nongold
96	Earth radiates heat into outer space	nongold
97	absorbing sunlight causes objects to heat	nongold
98	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
99	if it is night then the sun has set	nongold
