Question	During a presentation on astronomy, Professor Williams discussed various measurements in space. Which objects was she referring to when she talked about how astronomical units	question
Answer	were determined?	answer
0	determining often requires measuring; observing	nongold
1	astronomy is the study of celestial (objects, bodies)	gold
2	astronomical unit is a measure of distance between Earth and the Sun	gold
3	according to is similar to be determined by	nongold
4	determine is similar to cause	nongold
5	to measure means to calculate	nongold
6	astronomy is a kind of branch of science	nongold
7	measuring is used for describing an object	nongold
8	calculation means measurement	nongold
9	identifying is similar to determining	nongold
10	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
11	astronomical body means celestial body	nongold
12	measuring requires reading a measurement	nongold
13	a measurement is a kind of data	nongold
14	celestial bodies; celestial objects are found in space	nongold
15	A celestial body is any identifiable object in space	nongold
16	celestial objects are located in outer space	nongold
17	a human is a kind of animal	nongold
18	distance is a property of space and includes ordered values of close; far	nongold
19	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
20	determining is similar to controlling	nongold
21	measuring is a kind of observing	nongold
22	a star is a kind of celestial object; celestial body	gold
23	unit is similar to part	nongold
24	a living thing is a kind of object	nongold
25	binary stars can be used to determine a star's mass	nongold
26	an event is a kind of action	nongold
27	a centimeter is a kind of unit of measurement	nongold
28	property is similar to measurement	nongold
29	a moon is a kind of celestial object; body	nongold
30	measuring is a kind of science skill	nongold
31	Celestial bodies move in orbits in space around other celestial bodies	nongold
32	timing; multiplying is a kind of calculating	nongold
33	an part of an object is smaller than the entire object	nongold
34	a planet is a kind of celestial object; body	gold
35	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
36	a star's type is determined by the star's mass	nongold
37	determining is similar to learning	nongold
38	can be means able to be	nongold
39	a meter is a kind of unit for measuring distance; measuring length	nongold
40	instrument means tool	nongold
41	some celestial bodies rotate in space	nongold
42	the properties of something are used for describing that something	nongold
43	a room is a kind of object	nongold
44	a paper is a kind of object	nongold
45	a sheet of paper is a kind of object	nongold
46	affected means changed	nongold
47	if a property affects a value then that property is needed to calculate that value	nongold
48	a source of something emits; produces; generates; provides that something	nongold
49	to classify means to decide what class something belongs to	nongold
50	system means a set of objects	nongold
51	person is synonymous with human	nongold
52	a unit for measuring time is a kind of time interval	nongold
53	a type is synonymous with a kind	nongold
54	the Sun is a kind of star	gold
55	locating means determining	nongold
56	a tool is a kind of object	nongold
57	answering questions requires information	nongold
58	speaking is a kind of communication	nongold
59	a galaxy is made of a group of objects in space	nongold
60	the location of an object can be used to describe that object	nongold
61	the sky is similar to space	nongold
62	observations; data are a part of the results of an experiment	nongold
63	an object is made of its parts	nongold
64	space is a vacuum	nongold
65	both means two	nongold
66	a light-year is used for describing long distances	nongold
67	a physical property is a kind of property	nongold
68	consistent means constant	nongold
69	typically means usually	nongold
70	to be formed by is to be the result of	nongold
71	measuring sometimes requires  recording; learning an amount	nongold
72	a moon is located in space	nongold
73	the night time is part of one day	nongold
74	all the time means at day and at night	nongold
75	a process is a kind of event	nongold
76	a result of something is evidence of that something	nongold
77	a motion is a kind of event; action	nongold
78	an animal is a kind of living thing	nongold
79	a table is a kind of object	nongold
80	size; amount of space means volume	nongold
81	the day time is part of one day	nongold
82	days are a kind of unit for measuring time	nongold
83	Earth is a kind of planet	gold
84	a vehicle is a kind of object	nongold
85	objects are made of materials; substances; matter	nongold
86	an object is an item	nongold
87	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
88	how long something takes is a kind of measurement of time	nongold
89	a measure of time is a length of time	nongold
90	approximately means about	nongold
91	a particle is a kind of object	nongold
92	room contains walls	nongold
93	the volume of an object can be used to describe  the size of that object	nongold
94	recording an observation sometimes requires measuring	nongold
95	an instrument is a piece of equipment	nongold
96	a kilogram is a kind of unit for measuring mass	nongold
97	seconds are a kind of unit for measuring time	nongold
98	a scientist is a kind of human	nongold
99	calculating is similar to estimating	nongold
