Question	Which nongaseous compound can be made from two elements that are gases at room temperature?	question
Answer	water	answer
0	water is a kind of liquid at room temperature	gold
1	liquid; solid means nongaseous	gold
2	oxygen is a kind of gas at room temperature	gold
3	a compound is made of two or more elements that have been chemically combined	nongold
4	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
5	water is a kind of compound	gold
6	a compound can be chemically separated into the elements that it is made of	nongold
7	hydrogen is a kind of gas at room temperature	gold
8	a  gas is a kind of  element	nongold
9	gaseous means of gas	nongold
10	substances are made of elements	nongold
11	to be made of something means to be formed of that something	nongold
12	a compound is a kind of substance	nongold
13	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
14	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
15	water is a kind of substance	nongold
16	compound is a kind of chemical	nongold
17	elements in noble gases family are gases at room temperature	nongold
18	a chemical compound is a kind of compound	nongold
19	carbon dioxide is a kind of gas	nongold
20	vapor is synonymous with gas	nongold
21	water is made of hydrogen and oxygen	gold
22	an element is a kind of  substance	nongold
23	gas is a kind of substance	nongold
24	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
25	water contains dissolved oxygen	nongold
26	water is a kind of matter	nongold
27	air is a kind of gas	nongold
28	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
29	An example of a chemical property is the elements a compound is made of	nongold
30	an element is made of one kind of atoms	nongold
31	composed of means made of	nongold
32	liquid is a kind of state of matter	nongold
33	air temperature is a kind of temperature	nongold
34	oxygen gas is made of only  oxygen element	nongold
35	water is an thermal; thermal energy conductor	nongold
36	gas is a kind of state of matter	nongold
37	an  element is a kind of atom	nongold
38	a compound is a kind of material	nongold
39	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
40	to exhale means to release	nongold
41	a liquid is a kind of substance	nongold
42	if a substance is made of one element , then the substance is called an element	nongold
43	both means two	nongold
44	the boiling point of water is 212F; 100C; 373K	nongold
45	the atmosphere contains gases; liquids; solids	nongold
46	substances are made of matter	nongold
47	gas is a kind of nonmetal	nongold
48	heat means heat energy	nongold
49	temperature is a measure of heat energy	nongold
50	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
51	materials are made of matter	nongold
52	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
53	to be made of means to consist of	nongold
54	air is a kind of matter	nongold
55	solid is a kind of state of matter	nongold
56	chlorine is a kind of element	nongold
57	gas is a kind of material	nongold
58	an element is a kind of material	nongold
59	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
60	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
61	a body of water contains water	nongold
62	to make means to form	nongold
63	to add means to increase	nongold
64	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
65	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
66	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
67	hydrogen is a kind of element	gold
68	all elements are a kind of pure substance	nongold
69	atmosphere means  air	nongold
70	a pure substance is made of only one kind of atom; molecule	nongold
71	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
72	a molecule is made of atoms chemically combined; bonded	nongold
73	steam;water vapor is a kind of water above 100 degrees celsius	nongold
74	matter; materials; substances are made of atoms; particles	nongold
75	made of is similar to contains	nongold
76	substances are made of molecules	nongold
77	if something is made of something else then that something can be broken down into that something else	nongold
78	a solid is a kind of substance	nongold
79	boiling is a kind of phase change	nongold
80	state of matter at room temperature is a kind of physical property	nongold
81	chemical compounds contain chemical bonds between atoms; between elements	nongold
82	argon is a kind of gas	nongold
83	made up of means contains; made of	nongold
84	a carbohydrate is a kind of compound	nongold
85	the chemistry of something is similar to what that something is made of	nongold
86	boiling is when liquids are heated above their boiling point	nongold
87	chemical reactions cause new substances; different substances to form	nongold
88	chemical reactions can cause gas to be released into the atmosphere	nongold
89	combustion is a kind of chemical change	nongold
90	a nonmetal is a kind of element	nongold
91	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
92	a solution is made of one substance dissolved in another substance	nongold
93	objects are made of materials; substances; matter	nongold
94	combining; mixing two substances chemically causes chemical reactions	nongold
95	methane is a kind of compound	nongold
96	water vapor is found in the atmosphere	nongold
97	a metal is usually a solid at room temperature	nongold
98	where something  comes from is a source of that something	nongold
99	state means form	nongold
